sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,Tab-LSTM,test,17.344444,16.918937,-0.425507,0.672998,0.785238,15.850000,15.681995,16.666666,17.037903,19.516666,18.036913
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,Tab-LSTM,test,19.394445,17.521697,-1.872748,1.872748,3.593224,18.475000,16.322750,19.108334,17.640793,20.600000,18.601547
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,Tab-LSTM,test,20.347222,18.278612,-2.068610,2.068610,4.325209,19.549999,17.193354,20.450001,18.442522,21.041666,19.199961
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,Tab-LSTM,test,20.366667,18.396676,-1.969990,1.969990,3.897656,19.549999,17.400515,20.450001,18.537699,21.100000,19.251816
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,Tab-LSTM,test,20.563889,18.677550,-1.886339,1.886339,3.647219,19.983334,17.740427,20.350000,18.837036,21.358334,19.455187
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,Tab-LSTM,test,20.805556,19.522809,-1.282747,1.282747,1.739801,20.350000,18.643078,20.708334,19.718914,21.358334,20.206436
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,Tab-LSTM,test,20.747222,19.569593,-1.177629,1.177629,1.456788,20.325001,18.798201,20.558332,19.671585,21.358334,20.238993
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,Tab-LSTM,test,20.483334,19.806829,-0.676505,0.676505,0.507787,19.908333,19.020906,20.341667,19.975140,21.200001,20.424440
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,Tab-LSTM,test,20.511111,20.036256,-0.474855,0.474855,0.264219,19.908333,19.270439,20.341667,20.143681,21.283333,20.694647
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,Tab-LSTM,test,20.197222,18.846816,-1.350406,1.350406,1.842258,19.191668,18.016056,20.283333,18.916784,21.116667,19.607609
Negev_winter_2021-08-14,2021-08-14,Negev,winter,soft,Tab-LSTM,test,19.383334,19.591400,0.208066,0.234711,0.074333,18.350000,18.702608,19.466667,19.778225,20.333334,20.293365
Negev_winter_2021-08-21,2021-08-21,Negev,winter,soft,Tab-LSTM,test,18.850000,19.726772,0.876773,0.876773,0.988753,17.666666,18.798201,18.683332,19.963154,20.200001,20.418962
Negev_winter_2021-08-28,2021-08-28,Negev,winter,soft,Tab-LSTM,test,18.250001,18.677078,0.427077,0.445421,0.323856,17.200001,17.615208,17.983334,18.876873,19.566668,19.539152
Negev_winter_2021-09-01,2021-09-01,Negev,winter,soft,Tab-LSTM,test,17.905555,18.212165,0.306609,0.306609,0.188901,17.116667,17.126554,17.666666,18.397869,18.933332,19.112070
Negev_winter_2021-09-07,2021-09-07,Negev,winter,soft,Tab-LSTM,test,17.219444,17.775043,0.555599,0.555599,0.391055,16.525000,16.713200,17.116667,18.005329,18.016666,18.606602
Negev_winter_2021-09-14,2021-09-14,Negev,winter,soft,Tab-LSTM,test,16.936111,16.262026,-0.674085,0.674085,0.592128,16.158333,15.014201,16.674999,16.438171,17.975000,17.333706
Negev_winter_2021-09-21,2021-09-21,Negev,winter,soft,Tab-LSTM,test,16.163889,16.552259,0.388371,0.388371,0.156310,14.883333,15.285255,16.491667,16.783375,17.116667,17.588148
Negev_winter_2021-09-28,2021-09-28,Negev,winter,soft,Tab-LSTM,test,14.969444,14.838944,-0.130500,0.335265,0.116131,13.741667,13.463051,14.641666,14.948814,16.525000,16.104967
Negev_winter_2021-10-01,2021-10-01,Negev,winter,soft,Tab-LSTM,test,14.969444,13.898640,-1.070805,1.070805,1.233188,13.741667,12.485276,14.641666,13.986172,16.525000,15.224471
Negev_winter_2021-10-07,2021-10-07,Negev,winter,soft,Tab-LSTM,test,14.619445,12.853332,-1.766112,1.766112,3.277184,13.741667,11.500022,14.200000,12.931362,15.916667,14.128613
Negev_winter_2021-10-14,2021-10-14,Negev,winter,soft,Tab-LSTM,test,13.883334,12.424322,-1.459011,1.459011,2.274592,12.908334,10.930076,13.800000,12.471756,14.941667,13.871135
Negev_winter_2021-10-21,2021-10-21,Negev,winter,soft,Tab-LSTM,test,13.780556,10.064626,-3.715929,3.715929,14.016274,12.908334,8.576283,13.658334,10.084604,14.775000,11.532992
Negev_winter_2021-10-28,2021-10-28,Negev,winter,soft,Tab-LSTM,test,12.186111,10.963603,-1.222508,1.222508,1.767083,10.566667,9.530862,11.641666,10.944427,14.350000,12.415520
Negev_winter_2021-11-01,2021-11-01,Negev,winter,soft,Tab-LSTM,test,11.955556,9.219846,-2.735710,2.735710,7.609042,10.566667,7.593625,11.500000,9.263949,13.800000,10.801963
Negev_winter_2021-11-07,2021-11-07,Negev,winter,soft,Tab-LSTM,test,10.636111,7.753713,-2.882397,2.882397,8.310681,9.066667,6.243919,10.625000,7.744864,12.216666,9.272357
Negev_winter_2021-11-14,2021-11-14,Negev,winter,soft,Tab-LSTM,test,10.383334,5.692684,-4.690649,4.690649,22.219456,9.066667,4.143709,9.975000,5.934754,12.108334,6.999589
Negev_winter_2021-11-21,2021-11-21,Negev,winter,soft,Tab-LSTM,test,8.652778,5.714909,-2.937869,2.937869,8.924221,6.483333,4.249927,8.908334,5.878085,10.566667,7.016716
Negev_winter_2021-11-28,2021-11-28,Negev,winter,soft,Tab-LSTM,test,7.394444,6.287482,-1.106962,1.106962,1.315352,6.183333,4.802185,6.916667,6.227149,9.083333,7.833112
Negev_winter_2021-12-01,2021-12-01,Negev,winter,soft,Tab-LSTM,test,7.225000,5.822359,-1.402641,1.402641,2.061703,6.183333,4.384902,6.916667,5.866733,8.575000,7.215443
Negev_winter_2021-12-07,2021-12-07,Negev,winter,soft,Tab-LSTM,test,6.922222,6.045985,-0.876237,0.876237,1.159326,6.175000,4.431656,6.483333,6.193604,8.108334,7.512695
Negev_winter_2021-12-14,2021-12-14,Negev,winter,soft,Tab-LSTM,test,6.172222,4.879560,-1.292662,1.292662,1.848066,5.258333,3.409646,6.208333,5.009934,7.050000,6.219102
Negev_winter_2021-12-21,2021-12-21,Negev,winter,soft,Tab-LSTM,test,5.036111,4.810942,-0.225169,0.528965,0.305147,2.825000,3.280695,5.308333,4.927089,6.975000,6.225044
Negev_winter_2021-12-28,2021-12-28,Negev,winter,soft,Tab-LSTM,test,3.738889,5.192966,1.454077,1.454077,2.902117,1.991667,3.761769,2.850000,5.198092,6.375000,6.619036
Negev_winter_2022-01-01,2022-01-01,Negev,winter,soft,Tab-LSTM,test,3.377778,4.471300,1.093522,1.093522,1.386254,1.991667,2.907839,2.850000,4.544159,5.291667,5.961903
Negev_winter_2022-01-07,2022-01-07,Negev,winter,soft,Tab-LSTM,test,3.180555,5.243237,2.062682,2.062682,4.346351,1.991667,3.737670,2.850000,5.320678,4.700000,6.671363
Negev_winter_2022-01-14,2022-01-14,Negev,winter,soft,Tab-LSTM,test,3.116667,5.772608,2.655942,2.655942,7.114892,1.991667,4.332185,2.850000,5.792808,4.508333,7.192831
Negev_winter_2022-01-21,2022-01-21,Negev,winter,soft,Tab-LSTM,test,4.350000,5.369463,1.019463,1.019463,1.122922,2.758333,3.797865,4.108333,5.471489,6.183333,6.839035
Negev_winter_2022-01-28,2022-01-28,Negev,winter,soft,Tab-LSTM,test,5.544445,4.594761,-0.949684,0.949684,0.996372,4.216667,3.007919,5.775000,4.652566,6.641667,6.123797
Negev_winter_2022-02-01,2022-02-01,Negev,winter,soft,Tab-LSTM,test,6.255555,4.696154,-1.559402,1.559402,3.154155,5.775000,3.144751,6.233333,4.736496,6.758333,6.207214
Negev_winter_2022-02-07,2022-02-07,Negev,winter,soft,Tab-LSTM,test,6.466667,5.631712,-0.834954,0.834954,1.044509,5.775000,4.114112,6.283333,5.764309,7.341667,7.016716
Negev_winter_2022-02-14,2022-02-14,Negev,winter,soft,Tab-LSTM,test,5.819697,7.346415,1.526718,1.526718,2.578859,3.709091,5.890118,6.283333,7.257295,7.466667,8.891832
Negev_winter_2022-02-21,2022-02-21,Negev,winter,soft,Tab-LSTM,test,4.497475,7.013738,2.516264,2.516264,6.811074,2.127273,5.447563,4.381818,6.980210,6.983333,8.613441
Negev_winter_2022-02-28,2022-02-28,Negev,winter,soft,Tab-LSTM,test,3.872727,7.755004,3.882277,3.882277,15.139474,2.127273,6.216879,3.709091,7.750114,5.781818,9.298019
Negev_winter_2022-03-01,2022-03-01,Negev,winter,soft,Tab-LSTM,test,3.872727,8.099919,4.227192,4.227192,17.930735,2.127273,6.584901,3.709091,8.050303,5.781818,9.664555
