sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,18.725000,17.050516,-1.674484,1.674484,2.803898
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.116667,17.787951,-1.328716,1.328716,1.765487
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.250000,20.263447,-0.986553,0.986553,0.973287
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.250000,20.315880,-0.934120,0.934120,0.872581
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.250000,20.022463,-1.227537,1.227537,1.506847
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.250000,19.893219,-1.356781,1.356781,1.840855
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,22.108334,20.493710,-1.614624,1.614624,2.607011
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.908333,20.165453,-1.742880,1.742880,3.037630
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.908333,20.329004,-1.579329,1.579329,2.494279
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,21.908333,20.322441,-1.585892,1.585892,2.515053
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,20.866667,20.454075,-0.412592,0.412592,0.170232
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,19.975000,18.902044,-1.072956,1.072956,1.151235
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,18.100000,18.086061,-0.013939,0.013939,0.000194
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,18.100000,17.457853,-0.642147,0.642147,0.412353
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,18.000000,16.714306,-1.285694,1.285694,1.653009
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.416666,17.073643,0.656977,0.656977,0.431618
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.416666,16.432606,0.015940,0.015940,0.000254
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,15.841666,12.392882,-3.448784,3.448784,11.894110
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,15.491667,15.504496,0.012829,0.012829,0.000165
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,15.491667,13.728946,-1.762721,1.762721,3.107186
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.407692,13.086461,0.678769,0.678769,0.460728
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.407692,11.803841,-0.603851,0.603851,0.364636
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.238461,11.792460,-0.446001,0.446001,0.198917
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.238461,10.364561,-1.873900,1.873900,3.511503
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.015385,9.820719,-2.194666,2.194666,4.816558
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,10.984615,7.697475,-3.287140,3.287140,10.805289
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,9.084616,9.127389,0.042773,0.042773,0.001830
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,7.038462,6.014592,-1.023870,1.023870,1.048310
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,7.038462,4.545389,-2.493073,2.493073,6.215413
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,7.038462,5.906376,-1.132086,1.132086,1.281618
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,7.038462,6.389954,-0.648508,0.648508,0.420563
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,2.876923,3.736880,0.859957,0.859957,0.739526
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,2.876923,3.710545,0.833622,0.833622,0.694925
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,2.876923,2.065275,-0.811648,0.811648,0.658772
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,2.876923,5.185584,2.308661,2.308661,5.329913
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,2.876923,3.571787,0.694864,0.694864,0.482836
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,4.223077,4.193039,-0.030038,0.030038,0.000902
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,6.384615,3.926936,-2.457679,2.457679,6.040187
Northwest_winter_2022-02-01,2022-02-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,6.384615,4.024639,-2.359976,2.359976,5.569488
Northwest_winter_2022-02-07,2022-02-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,6.384615,4.096032,-2.288583,2.288583,5.237613
Northwest_winter_2022-02-14,2022-02-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,4.207692,4.263926,0.056234,0.056234,0.003162
Northwest_winter_2022-02-21,2022-02-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,3.392308,5.579029,2.186721,2.186721,4.781748
Northwest_winter_2022-02-28,2022-02-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,3.392308,7.838789,4.446482,4.446482,19.771200
Northwest_winter_2022-03-01,2022-03-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,3.392308,8.046860,4.654552,4.654552,21.664854
Northwest_winter_2022-03-07,2022-03-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,3.392308,5.148380,1.756073,1.756073,3.083791
Northwest_winter_2022-03-14,2022-03-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,3.392308,3.604900,0.212593,0.212593,0.045196
Northwest_winter_2022-03-21,2022-03-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,4.976923,2.994679,-1.982244,1.982244,3.929289
Northwest_winter_2022-03-28,2022-03-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,7.930769,5.017733,-2.913036,2.913036,8.485781
Northwest_winter_2022-04-01,2022-04-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,9.592308,8.655689,-0.936619,0.936619,0.877255
Northwest_winter_2022-04-07,2022-04-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,9.592308,12.352304,2.759996,2.759996,7.617580
Northwest_winter_2022-04-14,2022-04-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,9.592308,10.777119,1.184811,1.184811,1.403776
Northwest_winter_2022-04-21,2022-04-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,9.700000,11.326818,1.626818,1.626818,2.646536
Northwest_winter_2022-04-28,2022-04-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.069231,12.953403,0.884172,0.884172,0.781761
Northwest_winter_2022-05-01,2022-05-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.946154,15.363944,2.417790,2.417790,5.845710
Northwest_winter_2022-05-07,2022-05-07,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,12.946154,11.844824,-1.101330,1.101330,1.212927
Northwest_winter_2022-05-14,2022-05-14,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,14.938461,13.903871,-1.034591,1.034591,1.070378
Northwest_winter_2022-05-21,2022-05-21,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.207693,14.335800,-1.871893,1.871893,3.503983
Northwest_winter_2022-05-28,2022-05-28,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.207693,15.701004,-0.506689,0.506689,0.256734
Northwest_winter_2022-06-01,2022-06-01,Northwest,winter,anchor,ConvNeXtTiny-LSTM,test,16.207693,17.154722,0.947029,0.947029,0.896864
