sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.094445,20.893162,0.798717,0.798717,0.726803,19.075001,20.077463,19.691668,20.708117,21.516666,21.893908
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,21.038889,20.449207,-0.589682,0.589682,0.416014,19.966667,19.545824,21.258333,20.299534,21.891666,21.502262
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.058333,21.719194,-0.339139,0.339139,0.136795,21.516666,20.977655,21.725000,21.537834,22.933332,22.642094
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.386111,21.866365,-0.519746,0.519746,0.290947,21.608334,21.154573,22.383333,21.663408,23.166666,22.781113
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.511112,21.632806,-0.878305,0.878305,0.843377,21.608334,20.870935,22.708334,21.454544,23.216667,22.572939
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,23.155556,22.097951,-1.057604,1.057604,1.136657,22.708334,21.461258,22.908333,21.929047,23.850000,22.903549
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,23.191667,22.194786,-0.996881,0.996881,1.027953,22.741667,21.590340,23.116667,22.014301,23.716667,22.979717
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.830556,22.061658,-0.768898,0.768898,0.597407,22.108334,21.435535,22.758333,21.892618,23.625000,22.856819
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.844444,22.107632,-0.736812,0.736812,0.548839,22.108334,21.461258,22.758333,21.922972,23.666666,22.938667
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.877778,21.770175,-1.107603,1.107603,1.237276,22.208334,21.078575,22.758333,21.537834,23.666666,22.694115
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,22.277778,22.258251,-0.019527,0.127026,0.020527,21.875000,21.655170,22.000000,22.069298,22.958334,23.050285
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,21.436111,21.132294,-0.303816,0.344893,0.229934,20.283333,20.344948,21.791666,20.979115,22.233334,22.072821
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.916667,21.512359,0.595692,0.595692,0.372540,19.975000,20.758501,20.866667,21.377502,21.908333,22.401073
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,20.650000,20.953617,0.303617,0.303617,0.123021,19.975000,20.137976,20.283333,20.834534,21.691668,21.888342
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,19.597223,18.463652,-1.133571,1.133571,1.382299,18.225000,17.454689,19.975000,18.442993,20.591667,19.493273
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,18.952778,18.794433,-0.158345,0.230051,0.060479,18.083334,17.783106,18.683332,18.790892,20.091667,19.809301
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,18.400000,18.165091,-0.234910,0.423566,0.283634,18.000000,17.129955,18.225000,18.107332,18.975000,19.257984
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,17.433334,16.434066,-0.999268,0.999268,1.098086,16.566668,15.126808,17.166666,16.448792,18.566668,17.726597
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,17.322222,17.523123,0.200902,0.200902,0.050633,16.416666,16.508963,17.141666,17.477871,18.408333,18.582537
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,16.807906,14.800897,-2.007010,2.007010,4.330409,15.841666,13.063900,16.566668,14.855969,18.015385,16.482821
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,16.095940,17.519599,1.423659,1.423659,2.077981,14.792308,16.490486,16.353846,17.497971,17.141666,18.570341
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,15.474359,14.548730,-0.925629,0.925629,1.031392,14.192307,12.853943,15.638461,14.552947,16.592308,16.239300
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,13.797436,14.440646,0.643210,0.643210,0.539813,12.423077,13.089814,13.330770,14.396642,15.638461,15.835483
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,13.743590,13.477847,-0.265743,0.448081,0.216060,12.423077,11.895988,13.230769,13.504276,15.576923,15.033277
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,13.200000,12.233354,-0.966646,1.061968,2.178601,12.407692,9.915234,13.046154,12.495691,14.146153,14.289137
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,12.974359,10.962957,-2.011401,2.011401,5.119790,12.238461,8.776867,12.769231,11.299116,13.915384,12.812889
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,11.912820,11.545196,-0.367624,0.367624,0.152107,10.676923,10.179043,12.015385,11.600131,13.046154,12.856415
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,soft,ConvNeXtTiny-LSTM,test,10.571795,9.323823,-1.247972,1.247972,1.632343,8.469231,7.116142,10.484615,9.611813,12.761539,11.243515
