sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,18.725000,17.997700,-0.727301,0.727301,0.528966
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,19.116667,18.649450,-0.467216,0.467216,0.218291
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.250000,20.820900,-0.429100,0.429100,0.184127
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.250000,21.002228,-0.247772,0.247772,0.061391
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.250000,20.377003,-0.872997,0.872997,0.762124
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.250000,21.117138,-0.132862,0.132862,0.017652
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,22.108334,21.376110,-0.732224,0.732224,0.536151
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.908333,20.921461,-0.986872,0.986872,0.973916
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.908333,20.961809,-0.946524,0.946524,0.895907
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,21.908333,20.614456,-1.293877,1.293877,1.674117
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,20.866667,21.069752,0.203085,0.203085,0.041243
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,19.975000,20.044689,0.069689,0.069689,0.004857
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,18.100000,19.507320,1.407320,1.407320,1.980550
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,18.100000,19.431524,1.331524,1.331524,1.772956
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,18.000000,18.539686,0.539686,0.539686,0.291261
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,16.416666,17.311852,0.895185,0.895185,0.801357
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,16.416666,17.837231,1.420565,1.420565,2.018004
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,15.841666,14.177999,-1.663668,1.663668,2.767790
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,15.491667,14.231594,-1.260073,1.260073,1.587783
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,15.491667,14.481466,-1.010201,1.010201,1.020505
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,12.407692,12.134083,-0.273609,0.273609,0.074862
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,12.407692,11.060745,-1.346947,1.346947,1.814265
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,12.238461,10.906737,-1.331724,1.331724,1.773489
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,12.238461,10.758473,-1.479988,1.479988,2.190365
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,12.015385,9.930239,-2.085146,2.085146,4.347834
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,10.984615,5.801733,-5.182882,5.182882,26.862264
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,9.084616,6.735626,-2.348990,2.348990,5.517754
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,7.038462,5.079741,-1.958720,1.958720,3.836585
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,7.038462,5.479976,-1.558486,1.558486,2.428879
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,7.038462,7.201298,0.162836,0.162836,0.026516
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,anchor,ConvNeXtTiny-TFT,test,7.038462,6.433734,-0.604728,0.604728,0.365696
