sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,20.094445,20.080385,-0.014060,0.472219,0.258175,19.075001,19.362375,19.691668,20.091532,21.516666,20.787249
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,21.038889,19.361323,-1.677566,1.677566,2.856144,19.966667,18.558012,21.258333,19.353361,21.891666,20.172596
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.058333,22.775707,0.717374,0.717374,0.729960,21.516666,22.461575,21.725000,22.861687,22.933332,23.003859
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.386111,22.600054,0.213943,0.407777,0.192706,21.608334,22.245983,22.383333,22.678265,23.166666,22.875916
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.511112,22.459440,-0.051672,0.356624,0.146157,21.608334,22.065762,22.708334,22.546486,23.216667,22.766071
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,23.155556,22.791215,-0.364340,0.364340,0.243146,22.708334,22.441269,22.908333,22.893482,23.850000,23.038895
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,23.191667,22.957977,-0.233690,0.233690,0.094646,22.741667,22.611074,23.116667,23.059639,23.716667,23.203217
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.830556,22.721288,-0.109268,0.316490,0.158262,22.108334,22.360243,22.758333,22.817257,23.625000,22.986364
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.844444,22.503011,-0.341433,0.348545,0.254247,22.108334,22.119001,22.758333,22.577784,23.666666,22.812248
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.877778,21.989985,-0.887793,0.887793,0.845791,22.208334,21.508129,22.758333,22.021759,23.666666,22.440067
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,22.277778,22.542094,0.264316,0.330851,0.155202,21.875000,22.152344,22.000000,22.615406,22.958334,22.858532
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,21.436111,21.960170,0.524059,0.524059,0.498783,20.283333,21.475775,21.791666,22.015667,22.233334,22.389069
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,20.916667,21.271780,0.355113,0.370091,0.205055,19.975000,20.626141,20.866667,21.303333,21.908333,21.885866
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,20.650000,21.721576,1.071576,1.071576,1.299318,19.975000,21.154861,20.283333,21.767426,21.691668,22.242441
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,19.597223,20.687709,1.090486,1.090486,1.389075,18.225000,19.946251,19.975000,20.711689,20.591667,21.405186
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,18.952778,19.079197,0.126419,0.171192,0.064461,18.083334,18.095322,18.683332,19.117762,20.091667,20.024508
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,18.400000,19.733915,1.333914,1.333914,1.912334,18.000000,18.821295,18.225000,19.765972,18.975000,20.614477
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,17.433334,16.085452,-1.347881,1.347881,1.895184,16.566668,14.840651,17.166666,16.109638,18.566668,17.306068
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,17.322222,16.206435,-1.115787,1.115787,1.300035,16.416666,14.972148,17.141666,16.229427,18.408333,17.417730
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,16.807906,14.549869,-2.258037,2.258037,5.145827,15.841666,13.294950,16.566668,14.543207,18.015385,15.811451
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,16.095940,14.851248,-1.244692,1.244692,1.589591,14.792308,13.604497,16.353846,14.839730,17.141666,16.109516
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,15.474359,12.958504,-2.515855,2.515855,6.360508,14.192307,11.675220,15.638461,12.907654,16.592308,14.292637
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,soft,ConvNeXtTiny-TFT,test,13.797436,13.232412,-0.565024,0.565024,0.470846,12.423077,11.972664,13.330770,13.174851,15.638461,14.549721
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,soft,ConvNeXtTiny-TFT,test,13.743590,11.612948,-2.130642,2.130642,4.674716,12.423077,10.204583,13.230769,11.587715,15.576923,13.046546
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,soft,ConvNeXtTiny-TFT,test,13.200000,11.672793,-1.527207,1.527207,2.534998,12.407692,10.279564,13.046154,11.637403,14.146153,13.101412
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,soft,ConvNeXtTiny-TFT,test,12.974359,9.281703,-3.692656,3.692656,14.136725,12.238461,7.578168,12.769231,9.338396,13.915384,10.928544
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,soft,ConvNeXtTiny-TFT,test,11.912820,9.459876,-2.452945,2.452945,6.161554,10.676923,7.796248,12.015385,9.493979,13.046154,11.089400
