sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,Prophet,test,18.725000,18.995275,0.270275,0.270275,0.073049
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,Prophet,test,19.116667,20.469011,1.352344,1.352344,1.828835
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,Prophet,test,21.250000,21.138796,-0.111204,0.111204,0.012366
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,Prophet,test,21.250000,21.629822,0.379822,0.379822,0.144265
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,Prophet,test,21.250000,21.629822,0.379822,0.379822,0.144265
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,Prophet,test,21.250000,22.200706,0.950706,0.950706,0.903841
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,Prophet,test,22.108333,22.410727,0.302393,0.302393,0.091442
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,Prophet,test,21.908333,22.905278,0.996945,0.996945,0.993899
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,Prophet,test,21.908333,22.641102,0.732769,0.732769,0.536950
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,Prophet,test,21.908333,22.486042,0.577708,0.577708,0.333747
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,Prophet,test,20.866667,21.516698,0.650031,0.650031,0.422541
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,Prophet,test,19.975000,21.226676,1.251676,1.251676,1.566694
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,Prophet,test,18.100000,20.063695,1.963695,1.963695,3.856100
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,Prophet,test,18.100000,20.063695,1.963695,1.963695,3.856100
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,Prophet,test,18.000000,19.336617,1.336617,1.336617,1.786544
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,Prophet,test,16.416667,18.674754,2.258088,2.258088,5.098960
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,Prophet,test,16.416667,18.166749,1.750083,1.750083,3.062790
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,Prophet,test,15.841667,16.729558,0.887891,0.887891,0.788351
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,Prophet,test,15.491667,16.213382,0.721716,0.721716,0.520873
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,Prophet,test,15.491667,15.560342,0.068675,0.068675,0.004716
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,Prophet,test,12.407692,14.190408,1.782716,1.782716,3.178075
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,Prophet,test,12.407692,13.933728,1.526035,1.526035,2.328783
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,Prophet,test,12.238462,12.328845,0.090383,0.090383,0.008169
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,Prophet,test,12.238462,12.328845,0.090383,0.090383,0.008169
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,Prophet,test,12.015385,11.421836,-0.593548,0.593548,0.352300
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,Prophet,test,10.984615,10.248400,-0.736215,0.736215,0.542013
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,Prophet,test,9.084615,10.157670,1.073054,1.073054,1.151445
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,Prophet,test,7.038462,9.485544,2.447083,2.447083,5.988213
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,Prophet,test,7.038462,9.231917,2.193456,2.193456,4.811249
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,Prophet,test,7.038462,9.231917,2.193456,2.193456,4.811249
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,anchor,Prophet,test,7.038462,7.857022,0.818560,0.818560,0.670041
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,anchor,Prophet,test,2.876923,7.782873,4.905950,4.905950,24.068342
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,anchor,Prophet,test,2.876923,7.782873,4.905950,4.905950,24.068342
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,anchor,Prophet,test,2.876923,7.782873,4.905950,4.905950,24.068342
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,anchor,Prophet,test,2.876923,7.780428,4.903505,4.903505,24.044363
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,anchor,Prophet,test,2.876923,7.780428,4.903505,4.903505,24.044363
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,anchor,Prophet,test,4.223077,7.780428,3.557351,3.557351,12.654749
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,anchor,Prophet,test,6.384615,7.780428,1.395813,1.395813,1.948294
Northwest_winter_2022-02-01,2022-02-01,Northwest,winter,anchor,Prophet,test,6.384615,7.780428,1.395813,1.395813,1.948294
