sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,Prophet,test,20.094444,20.479403,0.384959,0.528639,0.334142,19.075000,19.668053,19.691667,20.469011,21.516667,21.301146
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,Prophet,test,21.038889,21.191009,0.152120,0.326251,0.187537,19.966667,20.684222,21.258333,21.210234,21.891667,21.678570
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,Prophet,test,22.058333,21.760459,-0.297875,0.317308,0.252902,21.516667,21.545817,21.725000,21.671105,22.933333,22.064455
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,Prophet,test,22.386111,21.875839,-0.510273,0.529724,0.421238,21.608333,21.637511,22.383333,21.755110,23.166667,22.234895
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,Prophet,test,22.511111,22.283295,-0.227816,0.342719,0.136206,21.608333,21.780688,22.708333,22.200706,23.216667,22.868492
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,Prophet,test,23.155556,22.783928,-0.371628,0.371628,0.217399,22.708333,22.410727,22.908333,22.838558,23.850000,23.102498
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,Prophet,test,23.191667,23.056214,-0.135453,0.244527,0.100038,22.741667,22.905278,23.116667,23.067173,23.716667,23.196191
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,Prophet,test,22.830556,23.087487,0.256931,0.533835,0.333361,22.108333,22.950495,22.758333,23.102320,23.625000,23.209645
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,Prophet,test,22.844444,23.057040,0.212595,0.533677,0.338953,22.108333,22.949429,22.758333,23.036645,23.666667,23.185045
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,Prophet,test,22.877778,22.904887,0.027109,0.388801,0.172718,22.208333,22.641102,22.758333,22.949429,23.666667,23.124129
