sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,SARIMAX,test,18.725000,19.055501,0.330501,0.330501,0.109231
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,SARIMAX,test,19.116667,20.524415,1.407748,1.407748,1.981754
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,SARIMAX,test,21.250000,21.242679,-0.007321,0.007321,0.000054
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,SARIMAX,test,21.250000,21.671577,0.421577,0.421577,0.177727
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,SARIMAX,test,21.250000,21.656793,0.406793,0.406793,0.165481
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,SARIMAX,test,21.250000,22.292706,1.042706,1.042706,1.087235
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,SARIMAX,test,22.108333,22.520935,0.412602,0.412602,0.170240
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,SARIMAX,test,21.908333,23.000382,1.092049,1.092049,1.192570
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,SARIMAX,test,21.908333,22.767156,0.858823,0.858823,0.737577
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,SARIMAX,test,21.908333,22.620206,0.711873,0.711873,0.506763
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,SARIMAX,test,20.866667,21.626756,0.760089,0.760089,0.577736
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,SARIMAX,test,19.975000,21.315429,1.340429,1.340429,1.796750
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,SARIMAX,test,18.100000,20.154925,2.054925,2.054925,4.222717
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,SARIMAX,test,18.100000,20.154925,2.054925,2.054925,4.222717
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,SARIMAX,test,18.000000,19.337191,1.337191,1.337191,1.788081
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,SARIMAX,test,16.416667,18.726744,2.310078,2.310078,5.336459
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,SARIMAX,test,16.416667,18.160349,1.743682,1.743682,3.040427
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,SARIMAX,test,15.841667,16.764365,0.922698,0.922698,0.851372
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,SARIMAX,test,15.491667,16.274692,0.783025,0.783025,0.613129
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,SARIMAX,test,15.491667,15.617931,0.126264,0.126264,0.015943
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,SARIMAX,test,12.407692,14.259784,1.852092,1.852092,3.430244
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,SARIMAX,test,12.407692,13.985071,1.577379,1.577379,2.488124
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,SARIMAX,test,12.238462,12.353111,0.114650,0.114650,0.013145
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,SARIMAX,test,12.238462,12.353111,0.114650,0.114650,0.013145
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,SARIMAX,test,12.015385,11.445607,-0.569777,0.569777,0.324646
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,SARIMAX,test,10.984615,10.325594,-0.659022,0.659022,0.434310
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,SARIMAX,test,9.084615,10.178978,1.094362,1.094362,1.197629
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,SARIMAX,test,7.038462,9.558587,2.520125,2.520125,6.351030
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,SARIMAX,test,7.038462,9.248114,2.209652,2.209652,4.882563
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,SARIMAX,test,7.038462,9.248114,2.209652,2.209652,4.882563
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,anchor,SARIMAX,test,7.038462,7.994110,0.955648,0.955648,0.913264
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,anchor,SARIMAX,test,2.876923,7.936799,5.059876,5.059876,25.602341
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,anchor,SARIMAX,test,2.876923,7.936799,5.059876,5.059876,25.602341
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,anchor,SARIMAX,test,2.876923,7.936799,5.059876,5.059876,25.602341
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,anchor,SARIMAX,test,2.876923,7.936812,5.059889,5.059889,25.602473
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,anchor,SARIMAX,test,2.876923,7.937654,5.060731,5.060731,25.610994
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,anchor,SARIMAX,test,4.223077,7.937654,3.714577,3.714577,13.798080
