sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,SARIMAX,test,20.094444,20.553236,0.458792,0.524445,0.372620,19.075000,19.711033,19.691667,20.530490,21.516667,21.418187
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,SARIMAX,test,21.038889,21.295630,0.256741,0.345981,0.229861,19.966667,20.781325,21.258333,21.347757,21.891667,21.757807
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,SARIMAX,test,22.058333,21.824672,-0.233661,0.308790,0.224220,21.516667,21.619058,21.725000,21.735302,22.933333,22.119657
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,SARIMAX,test,22.386111,21.948539,-0.437573,0.511898,0.356863,21.608333,21.719821,22.383333,21.819520,23.166667,22.306274
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,SARIMAX,test,22.511111,22.338315,-0.172796,0.317254,0.108622,21.608333,21.825021,22.708333,22.274670,23.216667,22.915254
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,SARIMAX,test,23.155556,22.873096,-0.282460,0.283284,0.155401,22.708333,22.514380,22.908333,22.909569,23.850000,23.195338
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,SARIMAX,test,23.191667,23.128820,-0.062847,0.241795,0.091898,22.741667,23.000083,23.116667,23.126672,23.716667,23.259704
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,SARIMAX,test,22.830556,23.178850,0.348295,0.572875,0.400365,22.108333,23.057076,22.758333,23.191345,23.625000,23.288129
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,SARIMAX,test,22.844444,23.139962,0.295518,0.577737,0.400461,22.108333,23.049877,22.758333,23.126672,23.666667,23.243338
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,SARIMAX,test,22.877778,23.005204,0.127427,0.439484,0.205462,22.208333,22.767156,22.758333,23.049877,23.666667,23.198581
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,SARIMAX,test,22.277778,22.571875,0.294097,0.294097,0.140362,21.875000,22.038343,22.000000,22.620206,22.958333,23.057077
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,SARIMAX,test,21.436111,21.969104,0.532993,0.532993,0.472847,20.283333,21.380292,21.791667,21.831476,22.233333,22.695544
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,soft,SARIMAX,test,20.916667,21.411664,0.494997,0.494997,0.383395,19.975000,20.921977,20.866667,21.368794,21.908333,21.944222
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,soft,SARIMAX,test,20.650000,21.037881,0.387881,0.437109,0.257309,19.975000,20.573841,20.283333,20.921977,21.691667,21.617825
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,soft,SARIMAX,test,19.597222,20.588614,0.991392,0.991392,1.330145,18.225000,20.049345,19.975000,20.573841,20.591667,21.142657
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,soft,SARIMAX,test,18.952778,19.533004,0.580226,0.580226,0.347358,18.083333,18.809681,18.683333,19.195962,20.091667,20.593369
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,soft,SARIMAX,test,18.400000,18.870358,0.470358,0.470358,0.228920,18.000000,18.472003,18.225000,18.801881,18.975000,19.337191
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,soft,SARIMAX,test,17.433333,18.151584,0.718251,0.718251,0.629762,16.566667,17.484723,17.166667,18.160349,18.566667,18.809681
