sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,anchor,Tab-LSTM,test,18.725000,18.190895,-0.534105,0.534105,0.285268
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,anchor,Tab-LSTM,test,19.116667,18.866827,-0.249840,0.249840,0.062420
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,anchor,Tab-LSTM,test,21.250000,19.739819,-1.510181,1.510181,2.280648
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,anchor,Tab-LSTM,test,21.250000,20.029337,-1.220663,1.220663,1.490018
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,anchor,Tab-LSTM,test,21.250000,20.394657,-0.855343,0.855343,0.731611
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,anchor,Tab-LSTM,test,21.250000,21.014328,-0.235672,0.235672,0.055541
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,anchor,Tab-LSTM,test,22.108334,21.368250,-0.740084,0.740084,0.547724
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,anchor,Tab-LSTM,test,21.908333,21.658188,-0.250145,0.250145,0.062573
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,anchor,Tab-LSTM,test,21.908333,21.685997,-0.222336,0.222336,0.049433
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,anchor,Tab-LSTM,test,21.908333,21.109077,-0.799255,0.799255,0.638809
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,anchor,Tab-LSTM,test,20.866667,21.054888,0.188221,0.188221,0.035427
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,anchor,Tab-LSTM,test,19.975000,20.652498,0.677498,0.677498,0.459003
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,anchor,Tab-LSTM,test,18.100000,19.893791,1.793791,1.793791,3.217685
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,anchor,Tab-LSTM,test,18.100000,19.663204,1.563204,1.563204,2.443606
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,anchor,Tab-LSTM,test,18.000000,19.077518,1.077518,1.077518,1.161046
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,anchor,Tab-LSTM,test,16.416666,16.638962,0.222296,0.222296,0.049415
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,anchor,Tab-LSTM,test,16.416666,16.431767,0.015100,0.015100,0.000228
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,anchor,Tab-LSTM,test,15.841666,14.731725,-1.109941,1.109941,1.231970
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,anchor,Tab-LSTM,test,15.491667,13.448428,-2.043239,2.043239,4.174824
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,anchor,Tab-LSTM,test,15.491667,11.619268,-3.872398,3.872398,14.995469
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,anchor,Tab-LSTM,test,12.407692,11.460356,-0.947336,0.947336,0.897446
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,anchor,Tab-LSTM,test,12.407692,9.299523,-3.108169,3.108169,9.660712
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,anchor,Tab-LSTM,test,12.238461,9.256081,-2.982381,2.982381,8.894596
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,anchor,Tab-LSTM,test,12.238461,7.911736,-4.326725,4.326725,18.720549
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,anchor,Tab-LSTM,test,12.015385,6.860514,-5.154871,5.154871,26.572690
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,anchor,Tab-LSTM,test,10.984615,6.201961,-4.782655,4.782655,22.873787
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,anchor,Tab-LSTM,test,9.084616,6.291067,-2.793549,2.793549,7.803914
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,anchor,Tab-LSTM,test,7.038462,5.551452,-1.487010,1.487010,2.211199
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,anchor,Tab-LSTM,test,7.038462,5.514833,-1.523629,1.523629,2.321444
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,anchor,Tab-LSTM,test,7.038462,5.108496,-1.929965,1.929965,3.724767
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,anchor,Tab-LSTM,test,7.038462,4.249493,-2.788969,2.788969,7.778346
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,anchor,Tab-LSTM,test,2.876923,4.016873,1.139950,1.139950,1.299487
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,anchor,Tab-LSTM,test,2.876923,3.997384,1.120461,1.120461,1.255433
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,anchor,Tab-LSTM,test,2.876923,3.781933,0.905010,0.905010,0.819043
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,anchor,Tab-LSTM,test,2.876923,4.127006,1.250083,1.250083,1.562707
