sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_winter_2021-06-14,2021-06-14,Northwest,winter,soft,Tab-LSTM,test,20.094445,21.136310,1.041865,1.041865,1.357715,19.075001,20.649675,19.691668,20.909206,21.516666,21.850048
Northwest_winter_2021-06-21,2021-06-21,Northwest,winter,soft,Tab-LSTM,test,21.038889,21.230862,0.191973,0.397635,0.254553,19.966667,20.781298,21.258333,20.949841,21.891666,21.961449
Northwest_winter_2021-06-28,2021-06-28,Northwest,winter,soft,Tab-LSTM,test,22.058333,21.051135,-1.007198,1.007198,1.017013,21.516666,20.487791,21.725000,20.787773,22.933332,21.877842
Northwest_winter_2021-07-01,2021-07-01,Northwest,winter,soft,Tab-LSTM,test,22.386111,21.195070,-1.191041,1.191041,1.466089,21.608334,20.712255,22.383333,20.967278,23.166666,21.905676
Northwest_winter_2021-07-07,2021-07-07,Northwest,winter,soft,Tab-LSTM,test,22.511112,22.291199,-0.219912,0.492001,0.260857,21.608334,22.016466,22.708334,22.023029,23.216667,22.834103
Northwest_winter_2021-07-14,2021-07-14,Northwest,winter,soft,Tab-LSTM,test,23.155556,22.385481,-0.770075,0.770075,0.604994,22.708334,21.784763,22.908333,22.232233,23.850000,23.139446
Northwest_winter_2021-07-21,2021-07-21,Northwest,winter,soft,Tab-LSTM,test,23.191667,22.394702,-0.796965,0.796965,0.643646,22.741667,21.943375,23.116667,22.207508,23.716667,23.033222
Northwest_winter_2021-07-28,2021-07-28,Northwest,winter,soft,Tab-LSTM,test,22.830556,22.594197,-0.236359,0.313343,0.118798,22.108334,22.223810,22.758333,22.306591,23.625000,23.252190
Northwest_winter_2021-08-01,2021-08-01,Northwest,winter,soft,Tab-LSTM,test,22.844444,22.650760,-0.193684,0.193684,0.052608,22.108334,22.083130,22.758333,22.443630,23.666666,23.425520
Northwest_winter_2021-08-07,2021-08-07,Northwest,winter,soft,Tab-LSTM,test,22.877778,22.034253,-0.843524,0.843524,0.759808,22.208334,21.666573,22.758333,21.828089,23.666666,22.608099
Northwest_winter_2021-08-14,2021-08-14,Northwest,winter,soft,Tab-LSTM,test,22.277778,22.673278,0.395500,0.395500,0.188325,21.875000,22.023123,22.000000,22.474907,22.958334,23.521805
Northwest_winter_2021-08-21,2021-08-21,Northwest,winter,soft,Tab-LSTM,test,21.436111,22.361107,0.924996,0.924996,1.026873,20.283333,21.751867,21.791666,22.256989,22.233334,23.074465
Northwest_winter_2021-08-28,2021-08-28,Northwest,winter,soft,Tab-LSTM,test,20.916667,21.606397,0.689730,0.689730,0.533434,19.975000,20.996088,20.866667,21.455612,21.908333,22.367491
Northwest_winter_2021-09-01,2021-09-01,Northwest,winter,soft,Tab-LSTM,test,20.650000,21.128834,0.478834,0.478834,0.236231,19.975000,20.444407,20.283333,20.868650,21.691668,22.073446
Northwest_winter_2021-09-07,2021-09-07,Northwest,winter,soft,Tab-LSTM,test,19.597223,21.739716,2.142494,2.142494,4.918082,18.225000,21.097900,19.975000,21.449661,20.591667,22.671587
Northwest_winter_2021-09-14,2021-09-14,Northwest,winter,soft,Tab-LSTM,test,18.952778,20.796095,1.843317,1.843317,3.460923,18.083334,20.241011,18.683332,20.512791,20.091667,21.634483
Northwest_winter_2021-09-21,2021-09-21,Northwest,winter,soft,Tab-LSTM,test,18.400000,19.531374,1.131374,1.131374,1.476562,18.000000,18.600752,18.225000,19.332439,18.975000,20.660931
Northwest_winter_2021-09-28,2021-09-28,Northwest,winter,soft,Tab-LSTM,test,17.433334,18.250591,0.817257,0.817257,0.680177,16.566668,17.228643,17.166666,18.079388,18.566668,19.443741
Northwest_winter_2021-10-01,2021-10-01,Northwest,winter,soft,Tab-LSTM,test,17.322222,17.352678,0.030457,0.216925,0.058071,16.416666,16.136963,17.141666,17.210733,18.408333,18.710339
Northwest_winter_2021-10-07,2021-10-07,Northwest,winter,soft,Tab-LSTM,test,16.807906,16.152559,-0.655347,0.655347,0.579710,15.841666,14.649641,16.566668,16.083075,18.015385,17.724962
Northwest_winter_2021-10-14,2021-10-14,Northwest,winter,soft,Tab-LSTM,test,16.095940,15.452348,-0.643592,0.643592,0.609635,14.792308,13.889770,16.353846,15.346931,17.141666,17.120344
Northwest_winter_2021-10-21,2021-10-21,Northwest,winter,soft,Tab-LSTM,test,15.474359,12.507227,-2.967132,2.967132,9.119288,14.192307,10.593699,15.638461,12.569872,16.592308,14.358109
Northwest_winter_2021-10-28,2021-10-28,Northwest,winter,soft,Tab-LSTM,test,13.797436,12.259769,-1.537666,1.537666,2.526802,12.423077,10.406580,13.330770,12.300134,15.638461,14.072595
Northwest_winter_2021-11-01,2021-11-01,Northwest,winter,soft,Tab-LSTM,test,13.743590,11.272274,-2.471316,2.471316,6.373296,12.423077,9.292914,13.230769,11.359581,15.576923,13.164326
Northwest_winter_2021-11-07,2021-11-07,Northwest,winter,soft,Tab-LSTM,test,13.200000,10.392619,-2.807381,2.807381,8.517972,12.407692,8.531559,13.046154,10.459775,14.146153,12.186522
Northwest_winter_2021-11-14,2021-11-14,Northwest,winter,soft,Tab-LSTM,test,12.974359,9.862811,-3.111548,3.111548,10.303492,12.238461,8.059353,12.769231,9.912396,13.915384,11.616684
Northwest_winter_2021-11-21,2021-11-21,Northwest,winter,soft,Tab-LSTM,test,11.912820,9.412408,-2.500413,2.500413,6.516681,10.676923,7.514129,12.015385,9.585654,13.046154,11.137441
Northwest_winter_2021-11-28,2021-11-28,Northwest,winter,soft,Tab-LSTM,test,10.571795,8.974317,-1.597477,1.597477,2.679674,8.469231,7.227234,10.484615,9.020579,12.761539,10.675138
Northwest_winter_2021-12-01,2021-12-01,Northwest,winter,soft,Tab-LSTM,test,9.756410,8.699655,-1.056755,1.056755,1.207074,8.469231,7.026481,9.461538,8.751957,11.338462,10.320527
Northwest_winter_2021-12-07,2021-12-07,Northwest,winter,soft,Tab-LSTM,test,9.571795,8.525111,-1.046684,1.046684,1.336695,8.469231,6.748493,9.461538,8.607109,10.784616,10.219730
Northwest_winter_2021-12-14,2021-12-14,Northwest,winter,soft,Tab-LSTM,test,9.320513,7.515955,-1.804558,1.804558,3.602130,8.469231,5.840205,9.007692,7.521870,10.484615,9.185791
Northwest_winter_2021-12-21,2021-12-21,Northwest,winter,soft,Tab-LSTM,test,8.115385,7.326263,-0.789122,0.789122,0.667328,6.230769,5.676161,8.492308,7.425695,9.623077,8.876933
Northwest_winter_2021-12-28,2021-12-28,Northwest,winter,soft,Tab-LSTM,test,6.438462,7.749090,1.310628,1.310628,2.113459,4.223077,6.164812,6.230769,7.768843,8.861539,9.313614
Northwest_winter_2022-01-01,2022-01-01,Northwest,winter,soft,Tab-LSTM,test,6.294872,7.431416,1.136544,1.136544,1.537904,4.223077,5.822036,6.153846,7.516224,8.507692,8.955988
Northwest_winter_2022-01-07,2022-01-07,Northwest,winter,soft,Tab-LSTM,test,6.166667,7.878012,1.711346,1.711346,3.017671,4.223077,6.224428,6.153846,7.985468,8.123077,9.424141
Northwest_winter_2022-01-14,2022-01-14,Northwest,winter,soft,Tab-LSTM,test,5.966667,7.896228,1.929561,1.929561,3.743532,4.223077,6.301704,6.153846,7.891301,7.523077,9.495679
Northwest_winter_2022-01-21,2022-01-21,Northwest,winter,soft,Tab-LSTM,test,6.766667,7.824271,1.057604,1.057604,1.180753,5.507692,6.212517,6.669231,7.902400,8.123077,9.357895
Northwest_winter_2022-01-28,2022-01-28,Northwest,winter,soft,Tab-LSTM,test,7.571795,7.852525,0.280730,0.574457,0.343021,6.676923,6.236334,7.400000,7.963347,8.638461,9.357895
