season,target,region,baseline,n,dMAE,ci,p,p_holm
summer,anchor,Center,Prophet,238,2.6385797268907565,"[2.010,3.460]",0.0,0.0
summer,anchor,Center,SARIMAX,238,2.644331050420168,"[2.013,3.477]",0.0,0.0
summer,anchor,Center,Tab-LSTM,238,0.05191642436974785,"[-0.157,0.320]",0.5548,0.5548
summer,anchor,Center,ConvNeXtTiny-LSTM,238,0.20200426470588234,"[-0.010,0.424]",0.061,0.122
summer,anchor,Negev,Prophet,239,2.8245364309623433,"[2.272,3.477]",0.0,0.0
summer,anchor,Negev,SARIMAX,239,2.7979084393305445,"[2.240,3.451]",0.0,0.0
summer,anchor,Negev,Tab-LSTM,239,0.04635053556485354,"[-0.152,0.269]",0.5998,0.5998
summer,anchor,Negev,ConvNeXtTiny-LSTM,239,0.5272635774058577,"[0.298,0.758]",0.0,0.0
summer,anchor,Northwest,Prophet,239,2.68875748953975,"[2.062,3.459]",0.0,0.0
summer,anchor,Northwest,SARIMAX,239,2.7051662259414226,"[2.077,3.482]",0.0,0.0
summer,anchor,Northwest,Tab-LSTM,239,0.1695603054393305,"[-0.025,0.424]",0.0908,0.0908
summer,anchor,Northwest,ConvNeXtTiny-LSTM,239,0.17590446861924688,"[0.043,0.349]",0.0122,0.0244
summer,anchor,ALL,Prophet,716,2.7174011480446927,"[2.325,3.140]",0.0,0.0
summer,anchor,ALL,SARIMAX,716,2.715901724860335,"[2.320,3.141]",0.0,0.0
summer,anchor,ALL,Tab-LSTM,716,0.08932793296089384,"[-0.034,0.230]",0.1468,0.1468
summer,anchor,ALL,ConvNeXtTiny-LSTM,716,0.3018633770949721,"[0.189,0.428]",0.0,0.0
summer,soft,Center,Prophet,238,0.6585022647058825,"[0.437,0.900]",0.0,0.0
summer,soft,Center,SARIMAX,238,0.6485420042016807,"[0.424,0.898]",0.0,0.0
summer,soft,Center,Tab-LSTM,238,0.088210768907563,"[-0.060,0.235]",0.256,0.512
summer,soft,Center,ConvNeXtTiny-LSTM,238,0.010144054621848756,"[-0.092,0.117]",0.8914,0.8914
summer,soft,Negev,Prophet,239,0.9489265230125524,"[0.712,1.185]",0.0,0.0
summer,soft,Negev,SARIMAX,239,0.9222162092050209,"[0.683,1.160]",0.0,0.0
summer,soft,Negev,Tab-LSTM,239,0.1327188158995816,"[-0.023,0.282]",0.09,0.18
summer,soft,Negev,ConvNeXtTiny-LSTM,239,0.13747817154811715,"[-0.030,0.300]",0.1124,0.18
summer,soft,Northwest,Prophet,239,0.6831650041841004,"[0.468,0.909]",0.0,0.0
summer,soft,Northwest,SARIMAX,239,0.6887837615062762,"[0.471,0.924]",0.0,0.0
summer,soft,Northwest,Tab-LSTM,239,0.012970200836820081,"[-0.092,0.124]",0.815,1.0
summer,soft,Northwest,ConvNeXtTiny-LSTM,239,-0.02876321757322175,"[-0.133,0.072]",0.58,1.0
summer,soft,ALL,Prophet,716,0.7636779525139664,"[0.628,0.899]",0.0,0.0
summer,soft,ALL,SARIMAX,716,0.7533268016759778,"[0.616,0.892]",0.0,0.0
summer,soft,ALL,Tab-LSTM,716,0.0779522877094972,"[-0.001,0.158]",0.0512,0.1024
summer,soft,ALL,ConvNeXtTiny-LSTM,716,0.039660836592178776,"[-0.035,0.116]",0.2968,0.2968
winter,anchor,Center,Prophet,239,0.4115537447698745,"[0.063,0.758]",0.0186,0.0372
winter,anchor,Center,SARIMAX,239,0.491574460251046,"[0.136,0.843]",0.0046,0.0184
winter,anchor,Center,Tab-LSTM,239,0.18643933054393305,"[0.041,0.328]",0.0124,0.0372
winter,anchor,Center,ConvNeXtTiny-LSTM,239,0.0023765857740585725,"[-0.125,0.133]",0.9872,0.9872
winter,anchor,Negev,Prophet,239,0.6890930543933055,"[0.337,1.044]",0.0,0.0
winter,anchor,Negev,SARIMAX,239,0.7914746025104602,"[0.422,1.158]",0.0,0.0
winter,anchor,Negev,Tab-LSTM,239,0.22622182426778242,"[0.087,0.373]",0.0006,0.0012
winter,anchor,Negev,ConvNeXtTiny-LSTM,239,0.06846083263598328,"[-0.041,0.191]",0.2168,0.2168
winter,anchor,Northwest,Prophet,239,0.250406539748954,"[-0.128,0.623]",0.1864,0.3728
winter,anchor,Northwest,SARIMAX,239,0.30453443096234306,"[-0.080,0.687]",0.1212,0.36360000000000003
winter,anchor,Northwest,Tab-LSTM,239,0.3015205230125523,"[0.118,0.484]",0.0008,0.0032
winter,anchor,Northwest,ConvNeXtTiny-LSTM,239,-0.012495410041841,"[-0.145,0.118]",0.8678,0.8678
winter,anchor,ALL,Prophet,717,0.4503511129707113,"[0.248,0.656]",0.0,0.0
winter,anchor,ALL,SARIMAX,717,0.5291944979079498,"[0.321,0.740]",0.0,0.0
winter,anchor,ALL,Tab-LSTM,717,0.23806055927475595,"[0.146,0.329]",0.0,0.0
winter,anchor,ALL,ConvNeXtTiny-LSTM,717,0.019447336122733614,"[-0.053,0.092]",0.5854,0.5854
winter,soft,Center,Prophet,239,0.007401543933054409,"[-0.155,0.175]",0.9228,1.0
winter,soft,Center,SARIMAX,239,0.016746493723849343,"[-0.155,0.192]",0.8424,1.0
winter,soft,Center,Tab-LSTM,239,-0.05657464435146444,"[-0.167,0.048]",0.2772,1.0
winter,soft,Center,ConvNeXtTiny-LSTM,239,-0.009789497907949795,"[-0.102,0.081]",0.8412,1.0
winter,soft,Negev,Prophet,239,0.14642563598326358,"[-0.024,0.323]",0.0954,0.1908
winter,soft,Negev,SARIMAX,239,0.1757891757322176,"[-0.001,0.360]",0.0506,0.1518
winter,soft,Negev,Tab-LSTM,239,0.11781033891213388,"[0.010,0.221]",0.0332,0.1328
winter,soft,Negev,ConvNeXtTiny-LSTM,239,0.07426287029288701,"[-0.032,0.186]",0.1588,0.1908
winter,soft,Northwest,Prophet,239,-0.019312309623430966,"[-0.181,0.139]",0.8126,1.0
winter,soft,Northwest,SARIMAX,239,-0.0019435397489539678,"[-0.171,0.164]",0.9794,1.0
winter,soft,Northwest,Tab-LSTM,239,0.11200648535564856,"[-0.023,0.242]",0.1044,0.4176
winter,soft,Northwest,ConvNeXtTiny-LSTM,239,0.012302853556485359,"[-0.089,0.113]",0.7754,1.0
winter,soft,ALL,Prophet,717,0.04483829009762902,"[-0.049,0.139]",0.3428,0.6856
winter,soft,ALL,SARIMAX,717,0.063530709902371,"[-0.035,0.163]",0.196,0.5880000000000001
winter,soft,ALL,Tab-LSTM,717,0.05774739330543933,"[-0.012,0.125]",0.0996,0.3984
winter,soft,ALL,ConvNeXtTiny-LSTM,717,0.02559207531380753,"[-0.032,0.084]",0.376,0.6856
