sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,Climatology,test,34.075001,32.12551,-1.949491,1.949491,3.800515
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,Climatology,test,34.075001,32.75242,-1.322581,1.322581,1.749221
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,Climatology,test,34.075001,32.75242,-1.322581,1.322581,1.749221
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,Climatology,test,37.408333,32.866437,-4.541896,4.541896,20.628819
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,Climatology,test,37.591667,32.866437,-4.72523,4.72523,22.327799
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,Climatology,test,37.591667,32.866437,-4.72523,4.72523,22.327799
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,Climatology,test,37.591667,32.866437,-4.72523,4.72523,22.327799
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,Climatology,test,37.591667,32.866437,-4.72523,4.72523,22.327799
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,Climatology,test,37.150002,32.542143,-4.607859,4.607859,21.232365
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,Climatology,test,34.758335,32.542143,-2.216192,2.216192,4.911507
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,Climatology,test,34.849998,32.542143,-2.307855,2.307855,5.326195
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,Climatology,test,34.849998,32.087284,-2.762714,2.762714,7.632589
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,Climatology,test,34.849998,32.053383,-2.796615,2.796615,7.821055
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,Climatology,test,34.849998,32.053383,-2.796615,2.796615,7.821055
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,Climatology,test,33.566666,31.660495,-1.906171,1.906171,3.633488
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,Climatology,test,33.566666,31.286134,-2.280532,2.280532,5.200826
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,Climatology,test,32.033333,30.759225,-1.274108,1.274108,1.623351
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,Climatology,test,32.033333,30.759225,-1.274108,1.274108,1.623351
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,Climatology,test,33.966667,30.136177,-3.83049,3.83049,14.672654
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,Climatology,test,33.966667,30.136177,-3.83049,3.83049,14.672654
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,Climatology,test,33.966667,28.909801,-5.056866,5.056866,25.571894
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,Climatology,test,33.966667,27.156721,-6.809946,6.809946,46.375365
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,Climatology,test,33.966667,26.540498,-7.426169,7.426169,55.147986
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,Climatology,test,32.775002,25.732669,-7.042333,7.042333,49.594454
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,Climatology,test,32.775002,25.136633,-7.638369,7.638369,58.344681
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,Climatology,test,32.775002,24.048984,-8.726018,8.726018,76.14339
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,Climatology,test,32.775002,23.980345,-8.794657,8.794657,77.345992
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,Climatology,test,25.25,23.980345,-1.269655,1.269655,1.612024
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,Climatology,test,25.25,21.026129,-4.223871,4.223871,17.841086
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,Climatology,test,22.733334,20.637523,-2.095811,2.095811,4.392424
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,Climatology,test,22.35,20.051299,-2.298701,2.298701,5.284026
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,Climatology,test,22.35,19.628806,-2.721194,2.721194,7.404897
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,Climatology,test,22.35,19.311219,-3.038781,3.038781,9.23419
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,Climatology,test,22.35,19.474972,-2.875028,2.875028,8.265786
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,Climatology,test,21.283333,19.510884,-1.772449,1.772449,3.141575
