sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,Climatology,test,33.841667,31.882808,-1.958859,1.958859,3.837129,33.841667,31.882808,33.549999,31.649031,32.383335,31.182821
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,Climatology,test,33.841667,32.44605,-1.395617,1.395617,1.947747,33.841667,32.44605,33.549999,31.894627,32.733334,31.55965
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,Climatology,test,33.841667,32.44605,-1.395617,1.395617,1.947747,33.841667,32.44605,33.541668,31.986853,32.733334,31.687915
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,Climatology,test,35.641666,32.457872,-3.183794,3.183794,10.136544,35.641666,32.457872,34.075001,32.416775,32.900002,31.895875
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,Climatology,test,37.150002,32.532434,-4.617568,4.617568,21.321934,37.150002,32.532434,34.383335,32.44605,33.549999,32.197385
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,Climatology,test,37.150002,32.532434,-4.617568,4.617568,21.321934,37.150002,32.532434,34.575001,32.447361,33.599998,32.286297
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,Climatology,test,37.150002,32.538028,-4.611974,4.611974,21.270304,37.150002,32.538028,34.575001,32.457772,33.599998,32.291136
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,Climatology,test,37.150002,32.538028,-4.611974,4.611974,21.270304,37.150002,32.538028,34.575001,32.457772,33.708332,32.291136
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,Climatology,test,34.383335,32.528244,-1.855091,1.855091,3.441363,34.383335,32.528244,33.891666,32.395233,33.258335,32.260686
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,Climatology,test,33.941666,32.528244,-1.413422,1.413422,1.997762,33.941666,32.528244,33.474998,32.315056,32.716667,32.087284
Center_summer_2021-08-21,2021-08-21,Center,summer,soft,Climatology,test,33.941666,32.456573,-1.485093,1.485093,2.205501,33.941666,32.456573,33.258335,32.245199,32.583332,31.626979
Center_summer_2021-08-28,2021-08-28,Center,summer,soft,Climatology,test,33.941666,31.995991,-1.945675,1.945675,3.785651,33.941666,31.995991,33.058334,31.660495,31.991667,31.36545
Center_summer_2021-09-01,2021-09-01,Center,summer,soft,Climatology,test,33.566666,31.669965,-1.896701,1.896701,3.597475,33.566666,31.669965,32.599998,31.535194,31.700001,31.321408
Center_summer_2021-09-07,2021-09-07,Center,summer,soft,Climatology,test,33.566666,31.515396,-2.05127,2.05127,4.207709,33.566666,31.515396,31.983334,31.342767,30.608334,30.786593
Center_summer_2021-09-14,2021-09-14,Center,summer,soft,Climatology,test,32.033333,31.286134,-0.747199,0.747199,0.558306,32.033333,31.286134,31.700001,30.856326,30.183332,30.421638
Center_summer_2021-09-21,2021-09-21,Center,summer,soft,Climatology,test,32.033333,30.759225,-1.274108,1.274108,1.623351,32.033333,30.759225,30.233334,30.58911,29.875,29.651192
Center_summer_2021-09-28,2021-09-28,Center,summer,soft,Climatology,test,30.233334,30.421638,0.188304,0.188304,0.035458,30.233334,30.421638,29.924999,30.136177,29.450001,29.1735
Center_summer_2021-10-01,2021-10-01,Center,summer,soft,Climatology,test,31.291666,30.177443,-1.114223,1.114223,1.241493,31.291666,30.177443,30.183332,29.306178,29.316668,29.095861
Center_summer_2021-10-07,2021-10-07,Center,summer,soft,Climatology,test,31.775,29.306178,-2.468822,2.468822,6.095082,31.775,29.306178,30.233334,29.1735,29.418182,28.65066
Center_summer_2021-10-14,2021-10-14,Center,summer,soft,Climatology,test,31.291666,29.14532,-2.146346,2.146346,4.606801,31.291666,29.14532,29.950001,28.757222,28.191668,27.156721
Center_summer_2021-10-21,2021-10-21,Center,summer,soft,Climatology,test,31.291666,28.488445,-2.803221,2.803221,7.858048,31.291666,28.488445,29.950001,27.224847,27.75,26.003782
Center_summer_2021-10-28,2021-10-28,Center,summer,soft,Climatology,test,31.291666,26.482622,-4.809044,4.809044,23.126904,31.291666,26.482622,29.950001,26.028449,27.608334,25.186674
Center_summer_2021-11-01,2021-11-01,Center,summer,soft,Climatology,test,30.549999,26.416984,-4.133015,4.133015,17.081813,30.549999,26.416984,29.741667,25.662409,27.327272,24.234256
Center_summer_2021-11-07,2021-11-07,Center,summer,soft,Climatology,test,30.166666,25.39895,-4.767716,4.767716,22.731116,30.166666,25.39895,28.908333,24.969668,25.383333,23.658001
