sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.075001,38.987836,4.912836,4.912836,24.135954
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.075001,37.015379,2.940378,2.940378,8.645823
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.075001,37.117024,3.042024,3.042024,9.253908
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.408333,36.423115,-0.985218,0.985218,0.970655
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.591667,35.965058,-1.626610,1.626610,2.645859
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.591667,35.895800,-1.695867,1.695867,2.875965
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.591667,35.490327,-2.101340,2.101340,4.415631
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.591667,36.526625,-1.065042,1.065042,1.134314
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.150002,36.222831,-0.927171,0.927171,0.859646
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.758335,35.934979,1.176643,1.176643,1.384490
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.849998,35.305628,0.455630,0.455630,0.207598
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.849998,35.145118,0.295119,0.295119,0.087095
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.849998,35.329664,0.479666,0.479666,0.230079
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.849998,35.931035,1.081037,1.081037,1.168640
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.566666,37.215402,3.648736,3.648736,13.313275
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.566666,37.140396,3.573730,3.573730,12.771546
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.033333,35.668374,3.635041,3.635041,13.213524
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.033333,35.665021,3.631688,3.631688,13.189160
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.966667,34.914580,0.947913,0.947913,0.898539
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.966667,36.336946,2.370278,2.370278,5.618220
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.966667,33.349259,-0.617409,0.617409,0.381193
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.966667,32.691975,-1.274692,1.274692,1.624840
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.966667,31.395926,-2.570741,2.570741,6.608711
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.775002,32.292508,-0.482494,0.482494,0.232800
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.775002,28.524573,-4.250428,4.250428,18.066139
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.775002,29.683689,-3.091313,3.091313,9.556213
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.775002,27.667133,-5.107868,5.107868,26.090317
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.250000,31.791585,6.541585,6.541585,42.792334
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.250000,26.160651,0.910651,0.910651,0.829286
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.733334,26.560620,3.827286,3.827286,14.648121
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.350000,24.171766,1.821765,1.821765,3.318829
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.350000,24.642892,2.292892,2.292892,5.257352
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.350000,23.799313,1.449313,1.449313,2.100508
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.350000,25.029293,2.679293,2.679293,7.178610
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,21.283333,25.191331,3.907999,3.907999,15.272453
Center_summer_2022-01-21,2022-01-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,21.283333,25.289542,4.006210,4.006210,16.049715
Center_summer_2022-01-28,2022-01-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.116667,25.307876,0.191209,0.191209,0.036561
Center_summer_2022-02-01,2022-02-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.116667,25.324594,0.207927,0.207927,0.043234
Center_summer_2022-02-07,2022-02-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,27.775000,25.789130,-1.985870,1.985870,3.943680
Center_summer_2022-02-14,2022-02-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,27.775000,28.223872,0.448873,0.448873,0.201487
Center_summer_2022-02-21,2022-02-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,27.775000,27.374524,-0.400476,0.400476,0.160381
