sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.258334,32.263657,-0.994677,0.998580,1.503775,33.841667,33.847522,33.549999,32.199243,32.383335,30.744205
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.375000,33.077510,-0.297490,0.446985,0.224603,33.841667,34.065910,33.549999,32.991173,32.733334,32.175448
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.372223,33.207186,-0.165037,0.394879,0.157321,33.841667,34.186430,33.541668,33.135983,32.733334,32.299144
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,34.205556,32.851254,-1.354302,1.354302,2.015632,35.641666,33.740613,34.075001,32.774886,32.900002,32.038263
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,35.027779,33.034660,-1.993118,1.993118,4.908382,37.150002,33.790816,34.383335,33.008548,33.549999,32.304617
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,35.108334,33.102411,-2.005923,2.005923,4.903748,37.150002,33.826535,34.575001,33.093354,33.599998,32.387343
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,35.108334,33.029920,-2.078414,2.078414,5.258489,37.150002,33.713171,34.575001,33.020703,33.599998,32.355885
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,35.144445,33.050442,-2.094003,2.094003,5.073936,37.150002,33.882836,34.575001,33.030175,33.708332,32.238315
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.844446,32.533288,-1.311158,1.311158,1.905987,34.383335,33.654151,33.891666,32.451568,33.258335,31.494145
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.377777,32.919171,-0.458606,0.458606,0.250876,33.941666,33.767856,33.474998,32.872020,32.716667,32.117637
Center_summer_2021-08-21,2021-08-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.261111,32.541615,-0.719496,0.719496,0.534665,33.941666,33.403337,33.258335,32.477746,32.583332,31.743763
Center_summer_2021-08-28,2021-08-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,32.997222,32.745403,-0.251819,0.251819,0.088879,33.941666,33.585428,33.058334,32.685458,31.991667,31.965322
Center_summer_2021-09-01,2021-09-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,32.622222,32.509576,-0.112646,0.112646,0.018474,33.566666,33.419579,32.599998,32.416329,31.700001,31.692820
Center_summer_2021-09-07,2021-09-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,32.052778,32.014573,-0.038205,0.300150,0.111428,33.566666,33.153048,31.983334,31.889418,30.608334,31.001252
Center_summer_2021-09-14,2021-09-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,31.305555,32.081600,0.776045,0.776045,0.916063,32.033333,33.576718,31.700001,31.921736,30.183332,30.746346
