sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.075001,34.329749,0.254748,0.254748,0.064897
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.075001,35.404785,1.329784,1.329784,1.768325
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.075001,35.670287,1.595286,1.595286,2.544937
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.408333,35.097751,-2.310582,2.310582,5.338789
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.591667,35.007985,-2.583682,2.583682,6.675413
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.591667,34.814543,-2.777124,2.777124,7.712418
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.591667,34.648273,-2.943394,2.943394,8.663568
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.591667,34.547198,-3.044469,3.044469,9.268791
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.150002,34.678183,-2.471819,2.471819,6.109889
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.758335,34.47836,-0.279975,0.279975,0.078386
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.849998,34.331559,-0.518439,0.518439,0.268779
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.849998,34.422837,-0.427161,0.427161,0.182467
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.849998,34.384058,-0.46594,0.46594,0.2171
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.849998,34.42685,-0.423148,0.423148,0.179054
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.566666,34.685648,1.118982,1.118982,1.252121
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.566666,34.849418,1.282752,1.282752,1.645453
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.033333,34.21361,2.180277,2.180277,4.753608
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.033333,33.922887,1.889554,1.889554,3.570414
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.966667,33.475472,-0.491195,0.491195,0.241273
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.966667,32.441255,-1.525412,1.525412,2.326882
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.966667,31.548369,-2.418298,2.418298,5.848165
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.966667,31.348956,-2.617711,2.617711,6.852411
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.966667,29.324596,-4.642071,4.642071,21.548823
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.775002,28.952792,-3.82221,3.82221,14.609289
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.775002,27.19898,-5.576022,5.576022,31.092021
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.775002,26.173495,-6.601507,6.601507,43.579895
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.775002,26.445756,-6.329246,6.329246,40.059355
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.25,27.203771,1.953771,1.953771,3.817221
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.25,26.022029,0.772029,0.772029,0.596029
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,22.733334,26.332364,3.59903,3.59903,12.953017
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,22.35,23.360706,1.010706,1.010706,1.021527
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,22.35,23.605109,1.255109,1.255109,1.575299
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,22.35,23.951757,1.601757,1.601757,2.565625
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,22.35,25.058804,2.708804,2.708804,7.337619
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.283333,24.174157,2.890824,2.890824,8.356863
Center_summer_2022-01-21,2022-01-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.283333,26.122327,4.838994,4.838994,23.415863
Center_summer_2022-01-28,2022-01-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.116667,25.780399,0.663732,0.663732,0.44054
Center_summer_2022-02-01,2022-02-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.116667,26.076866,0.960199,0.960199,0.921982
Center_summer_2022-02-07,2022-02-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.775,26.439627,-1.335373,1.335373,1.783221
Center_summer_2022-02-14,2022-02-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.775,27.658329,-0.116671,0.116671,0.013612
Center_summer_2022-02-21,2022-02-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.775,29.121909,1.346909,1.346909,1.814164
Center_summer_2022-02-28,2022-02-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.775,31.195586,3.420586,3.420586,11.700409
Center_summer_2022-03-01,2022-03-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.775,31.615848,3.840848,3.840848,14.752113
Center_summer_2022-03-07,2022-03-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.483334,30.518849,-1.964485,1.964485,3.859201
Center_summer_2022-03-14,2022-03-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.491665,32.321364,-0.170301,0.170301,0.029002
Center_summer_2022-03-21,2022-03-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.633335,33.387689,-2.245646,2.245646,5.042926
Center_summer_2022-03-28,2022-03-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.633335,33.996393,-1.636942,1.636942,2.679579
Center_summer_2022-04-01,2022-04-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.633335,35.151306,-0.482029,0.482029,0.232352
Center_summer_2022-04-07,2022-04-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.633335,36.723385,1.09005,1.09005,1.188209
Center_summer_2022-04-14,2022-04-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.633335,36.872032,1.238697,1.238697,1.53437
Center_summer_2022-04-21,2022-04-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.358334,36.480606,1.122272,1.122272,1.259494
Center_summer_2022-04-28,2022-04-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.358334,36.331566,0.973232,0.973232,0.947181
Center_summer_2022-05-01,2022-05-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.358334,38.260131,2.901797,2.901797,8.420426
Center_summer_2022-05-07,2022-05-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.174999,36.002888,1.827889,1.827889,3.341178
Center_summer_2022-05-14,2022-05-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.400002,38.149567,3.749565,3.749565,14.059238
Center_summer_2022-05-21,2022-05-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.400002,38.746844,4.346842,4.346842,18.895035
Center_summer_2022-05-28,2022-05-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.400002,36.598879,2.198877,2.198877,4.83506
Center_summer_2022-06-01,2022-06-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.400002,36.975,2.574998,2.574998,6.630615
Center_summer_2022-06-07,2022-06-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.400002,35.793361,1.393359,1.393359,1.941449
Center_summer_2022-06-14,2022-06-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.616665,35.248278,2.631613,2.631613,6.925387
Center_summer_2022-06-21,2022-06-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.349998,34.326446,0.976448,0.976448,0.953451
Center_summer_2022-06-28,2022-06-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.372726,35.139037,1.766311,1.766311,3.119855
Center_summer_2022-07-01,2022-07-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.833332,35.286149,1.452817,1.452817,2.110677
