sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.075001,35.397107,1.322106,1.322106,1.747964
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.075001,35.873021,1.79802,1.79802,3.232876
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.075001,36.000624,1.925623,1.925623,3.708024
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.408333,35.513335,-1.894998,1.894998,3.591017
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.591667,35.307407,-2.28426,2.28426,5.217844
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.591667,35.140222,-2.451445,2.451445,6.009583
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.591667,34.991876,-2.599791,2.599791,6.758913
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.591667,35.062205,-2.529462,2.529462,6.398178
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.150002,35.162619,-1.987383,1.987383,3.949691
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.758335,34.880537,0.122202,0.122202,0.014933
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.849998,34.672733,-0.177265,0.177265,0.031423
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.849998,34.681392,-0.168606,0.168606,0.028428
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.849998,34.661816,-0.188182,0.188182,0.035412
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.849998,34.697988,-0.15201,0.15201,0.023107
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.566666,34.862661,1.295995,1.295995,1.679603
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.566666,35.09606,1.529394,1.529394,2.339046
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.033333,34.450037,2.416704,2.416704,5.840458
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.033333,34.093462,2.060129,2.060129,4.244131
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.966667,33.741353,-0.225314,0.225314,0.050766
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.966667,33.037545,-0.929122,0.929122,0.863268
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.966667,31.800765,-2.165902,2.165902,4.691131
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.966667,31.530521,-2.436146,2.436146,5.934807
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.966667,30.200188,-3.766479,3.766479,14.186364
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.775002,29.485891,-3.289111,3.289111,10.818251
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.775002,27.040646,-5.734356,5.734356,32.882839
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.775002,26.341574,-6.433428,6.433428,41.388996
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.775002,26.736711,-6.038291,6.038291,36.460958
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.25,28.071287,2.821287,2.821287,7.95966
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.25,25.98936,0.73936,0.73936,0.546653
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,22.733334,26.677359,3.944025,3.944025,15.555333
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,22.35,23.75834,1.40834,1.40834,1.983422
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,22.35,24.107154,1.757154,1.757154,3.08759
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,22.35,24.806802,2.456802,2.456802,6.035876
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,22.35,25.604985,3.254985,3.254985,10.594927
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.283333,24.774595,3.491262,3.491262,12.18891
Center_summer_2022-01-21,2022-01-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.283333,26.230637,4.947304,4.947304,24.475817
Center_summer_2022-01-28,2022-01-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.116667,26.105422,0.988755,0.988755,0.977636
Center_summer_2022-02-01,2022-02-01,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.116667,26.352826,1.236159,1.236159,1.528089
Center_summer_2022-02-07,2022-02-07,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.775,26.74765,-1.02735,1.02735,1.055448
Center_summer_2022-02-14,2022-02-14,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.775,28.236394,0.461394,0.461394,0.212884
Center_summer_2022-02-21,2022-02-21,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.775,29.546239,1.771239,1.771239,3.137288
Center_summer_2022-02-28,2022-02-28,Center,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.775,31.833055,4.058055,4.058055,16.46781
