sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,ConvNeXtTiny-TFT-NN,test,33.841667,32.780676,-1.060991,1.060991,1.125702,33.841667,32.780676,33.549999,31.923783,32.383335,31.072751
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,ConvNeXtTiny-TFT-NN,test,33.841667,33.761605,-0.080062,0.080062,0.00641,33.841667,33.761605,33.549999,33.084685,32.733334,32.377185
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,ConvNeXtTiny-TFT-NN,test,33.841667,33.983727,0.14206,0.14206,0.020181,33.841667,33.983727,33.541668,33.265031,32.733334,32.541253
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,ConvNeXtTiny-TFT-NN,test,35.641666,33.686283,-1.955383,1.955383,3.823523,35.641666,33.686283,34.075001,33.123851,32.900002,32.48345
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,ConvNeXtTiny-TFT-NN,test,37.150002,33.859275,-3.290727,3.290727,10.828884,37.150002,33.859275,34.383335,33.360717,33.549999,32.754472
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,ConvNeXtTiny-TFT-NN,test,37.150002,33.763216,-3.386786,3.386786,11.470319,37.150002,33.763216,34.575001,33.325536,33.599998,32.764083
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,ConvNeXtTiny-TFT-NN,test,37.150002,33.75652,-3.393482,3.393482,11.51572,37.150002,33.75652,34.575001,33.319444,33.599998,32.764486
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,ConvNeXtTiny-TFT-NN,test,37.150002,33.556924,-3.593078,3.593078,12.91021,37.150002,33.556924,34.575001,33.02478,33.708332,32.441561
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,ConvNeXtTiny-TFT-NN,test,34.383335,33.652516,-0.730819,0.730819,0.534096,34.383335,33.652516,33.891666,32.711113,33.258335,31.922883
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,ConvNeXtTiny-TFT-NN,test,33.941666,33.560275,-0.381391,0.381391,0.145459,33.941666,33.560275,33.474998,33.01855,32.716667,32.392154
