sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,ConvNeXtTiny-TFT,test,33.258334,32.509201,-0.749132,0.749132,0.791383,33.841667,33.770857,33.549999,32.475282,32.383335,31.281465
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,ConvNeXtTiny-TFT,test,33.375000,33.134423,-0.240577,0.275073,0.100809,33.841667,33.893411,33.549999,33.145701,32.733334,32.364157
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,ConvNeXtTiny-TFT,test,33.372223,33.217387,-0.154836,0.247361,0.067347,33.841667,33.980455,33.541668,33.220070,32.733334,32.451636
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,ConvNeXtTiny-TFT,test,34.205556,32.951526,-1.254030,1.254030,1.846162,35.641666,33.681962,34.075001,32.981787,32.900002,32.190829
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,ConvNeXtTiny-TFT,test,35.027779,33.111979,-1.915800,1.915800,4.828290,37.150002,33.715385,34.383335,33.143887,33.549999,32.476663
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,ConvNeXtTiny-TFT,test,35.108334,33.096273,-2.012060,2.012060,5.143458,37.150002,33.670651,34.575001,33.129549,33.599998,32.488621
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,ConvNeXtTiny-TFT,test,35.108334,33.104469,-2.003865,2.003865,5.181430,37.150002,33.633324,34.575001,33.147317,33.599998,32.532766
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,ConvNeXtTiny-TFT,test,35.144445,33.047700,-2.096745,2.096745,5.384167,37.150002,33.652001,34.575001,33.083477,33.708332,32.407622
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,ConvNeXtTiny-TFT,test,33.844446,32.890833,-0.953612,0.953612,0.924997,34.383335,33.594419,33.891666,32.911278,33.258335,32.166803
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,ConvNeXtTiny-TFT,test,33.377777,32.963046,-0.414731,0.414731,0.174325,33.941666,33.573157,33.474998,32.993768,32.716667,32.322214
Center_summer_2021-08-21,2021-08-21,Center,summer,soft,ConvNeXtTiny-TFT,test,33.261111,32.794699,-0.466412,0.466412,0.219994,33.941666,33.405361,33.258335,32.831086,32.583332,32.147650
Center_summer_2021-08-28,2021-08-28,Center,summer,soft,ConvNeXtTiny-TFT,test,32.997222,32.794252,-0.202970,0.259669,0.088997,33.941666,33.497301,33.058334,32.808741,31.991667,32.076714
Center_summer_2021-09-01,2021-09-01,Center,summer,soft,ConvNeXtTiny-TFT,test,32.622222,32.577131,-0.045091,0.123878,0.024287,33.566666,33.324233,32.599998,32.588978,31.700001,31.818183
Center_summer_2021-09-07,2021-09-07,Center,summer,soft,ConvNeXtTiny-TFT,test,32.052778,32.140926,0.088148,0.437850,0.229645,33.566666,33.042112,31.983334,32.151427,30.608334,31.229238
Center_summer_2021-09-14,2021-09-14,Center,summer,soft,ConvNeXtTiny-TFT,test,31.305555,31.802380,0.496824,0.496824,0.354983,32.033333,32.921322,31.700001,31.783378,30.183332,30.702439
Center_summer_2021-09-21,2021-09-21,Center,summer,soft,ConvNeXtTiny-TFT,test,30.713889,31.804633,1.090744,1.090744,1.295329,32.033333,32.935262,30.233334,31.781350,29.875000,30.697287
Center_summer_2021-09-28,2021-09-28,Center,summer,soft,ConvNeXtTiny-TFT,test,29.869445,30.882168,1.012723,1.012723,1.729568,30.233334,32.328845,29.924999,30.816588,29.450001,29.501070
Center_summer_2021-10-01,2021-10-01,Center,summer,soft,ConvNeXtTiny-TFT,test,30.263889,30.617007,0.353118,0.395291,0.241895,31.291666,32.066925,30.183332,30.530687,29.316668,29.253408
Center_summer_2021-10-07,2021-10-07,Center,summer,soft,ConvNeXtTiny-TFT,test,30.475505,29.861807,-0.613699,0.613699,0.575376,31.775000,31.608418,30.233334,29.781030,29.418182,28.195972
Center_summer_2021-10-14,2021-10-14,Center,summer,soft,ConvNeXtTiny-TFT,test,29.811111,29.376739,-0.434373,0.434373,0.222923,31.291666,31.101956,29.950001,29.312859,28.191668,27.715401
Center_summer_2021-10-21,2021-10-21,Center,summer,soft,ConvNeXtTiny-TFT,test,29.663889,27.774772,-1.889117,1.889117,3.641438,31.291666,29.638417,29.950001,27.683556,27.750000,26.002342
Center_summer_2021-10-28,2021-10-28,Center,summer,soft,ConvNeXtTiny-TFT,test,29.616667,27.228561,-2.388105,2.388105,5.788108,31.291666,29.114163,29.950001,27.149467,27.608334,25.422054
Center_summer_2021-11-01,2021-11-01,Center,summer,soft,ConvNeXtTiny-TFT,test,29.206313,26.970671,-2.235642,2.235642,5.210307,30.549999,28.897872,29.741667,26.963372,27.327272,25.050768
Center_summer_2021-11-07,2021-11-07,Center,summer,soft,ConvNeXtTiny-TFT,test,28.152777,26.415473,-1.737304,1.737304,3.426796,30.166666,28.347397,28.908333,26.432386,25.383333,24.466636
Center_summer_2021-11-14,2021-11-14,Center,summer,soft,ConvNeXtTiny-TFT,test,26.416667,23.367935,-3.048731,3.048731,9.601148,28.908333,25.154819,26.508333,23.516968,23.833334,21.432019
Center_summer_2021-11-21,2021-11-21,Center,summer,soft,ConvNeXtTiny-TFT,test,25.216667,22.939336,-2.277330,2.277330,6.669175,28.666666,24.679226,24.333334,23.087283,22.650000,21.051500
Center_summer_2021-11-28,2021-11-28,Center,summer,soft,ConvNeXtTiny-TFT,test,24.338889,23.463077,-0.875811,1.490950,3.974825,28.666666,25.347035,23.833334,23.602824,20.516666,21.439374
Center_summer_2021-12-01,2021-12-01,Center,summer,soft,ConvNeXtTiny-TFT,test,22.344444,25.845430,3.500986,3.500986,12.297046,24.333334,27.835009,22.650000,25.905259,20.049999,23.796023
Center_summer_2021-12-07,2021-12-07,Center,summer,soft,ConvNeXtTiny-TFT,test,21.297222,21.826357,0.529135,1.083907,1.242382,24.333334,23.501176,20.516666,21.958308,19.041666,20.019586
Center_summer_2021-12-14,2021-12-14,Center,summer,soft,ConvNeXtTiny-TFT,test,20.275000,23.960852,3.685852,3.685852,14.017932,21.516666,26.084481,20.600000,24.100303,18.708334,21.697774
Center_summer_2021-12-21,2021-12-21,Center,summer,soft,ConvNeXtTiny-TFT,test,19.719444,20.116475,0.397031,0.474653,0.297181,20.883333,21.644742,20.225000,20.108567,18.049999,18.596115
Center_summer_2021-12-28,2021-12-28,Center,summer,soft,ConvNeXtTiny-TFT,test,19.644445,20.378810,0.734365,0.734365,0.752061,20.883333,22.098644,20.225000,20.337222,17.825001,18.700563
Center_summer_2022-01-01,2022-01-01,Center,summer,soft,ConvNeXtTiny-TFT,test,18.777778,20.685871,1.908093,1.908093,3.788650,20.825001,22.495149,19.058332,20.661981,16.450001,18.900484
Center_summer_2022-01-07,2022-01-07,Center,summer,soft,ConvNeXtTiny-TFT,test,18.902778,21.193347,2.290569,2.290569,6.002447,20.825001,23.238802,19.966667,21.136270,15.916667,19.204970
Center_summer_2022-01-14,2022-01-14,Center,summer,soft,ConvNeXtTiny-TFT,test,17.736112,20.668648,2.932536,2.932536,8.875290,20.483334,22.677378,17.316668,20.553242,15.408334,18.775324
Center_summer_2022-01-21,2022-01-21,Center,summer,soft,ConvNeXtTiny-TFT,test,18.477777,21.116990,2.639212,2.639212,6.979503,20.483334,23.272619,18.416666,21.045650,16.533333,19.032700
Center_summer_2022-01-28,2022-01-28,Center,summer,soft,ConvNeXtTiny-TFT,test,19.633333,21.236061,1.602728,1.602728,2.856196,21.283333,23.519168,19.458334,21.105855,18.158333,19.083159
Center_summer_2022-02-01,2022-02-01,Center,summer,soft,ConvNeXtTiny-TFT,test,19.972222,21.560307,1.588085,1.588085,2.914334,21.575001,23.971309,19.924999,21.422916,18.416666,19.286696
Center_summer_2022-02-07,2022-02-07,Center,summer,soft,ConvNeXtTiny-TFT,test,20.580556,22.009088,1.428532,1.428532,2.257443,23.125000,24.604284,19.850000,21.821642,18.766666,19.601337
Center_summer_2022-02-14,2022-02-14,Center,summer,soft,ConvNeXtTiny-TFT,test,20.472222,22.924434,2.452212,2.452212,6.423479,23.125000,25.903989,19.683332,22.703671,18.608334,20.165643
Center_summer_2022-02-21,2022-02-21,Center,summer,soft,ConvNeXtTiny-TFT,test,20.372222,24.081192,3.708970,3.708970,14.135457,23.125000,27.284258,19.683332,23.812471,18.308332,21.146846
Center_summer_2022-02-28,2022-02-28,Center,summer,soft,ConvNeXtTiny-TFT,test,19.972222,25.668007,5.695785,5.695785,32.547104,23.125000,29.224875,19.683332,25.364785,17.108334,22.414362
Center_summer_2022-03-01,2022-03-01,Center,summer,soft,ConvNeXtTiny-TFT,test,19.983334,25.844977,5.861644,5.861644,34.533614,23.125000,29.518734,19.716667,25.535389,17.108334,22.480809
Center_summer_2022-03-07,2022-03-07,Center,summer,soft,ConvNeXtTiny-TFT,test,22.652778,25.639946,2.987168,2.987168,9.752461,26.891666,29.166182,23.000000,25.414502,18.066668,22.339154
Center_summer_2022-03-14,2022-03-14,Center,summer,soft,ConvNeXtTiny-TFT,test,25.227525,25.318407,0.090882,1.476795,2.772305,29.118181,28.638408,26.672728,25.073632,19.891666,22.243182
Center_summer_2022-03-21,2022-03-21,Center,summer,soft,ConvNeXtTiny-TFT,test,27.605555,26.022877,-1.582678,1.582678,3.910951,32.491665,29.449807,27.333334,25.764553,22.991667,22.854273
Center_summer_2022-03-28,2022-03-28,Center,summer,soft,ConvNeXtTiny-TFT,test,27.933333,27.274061,-0.659272,0.659272,0.884728,32.491665,30.900417,27.333334,26.986106,23.975000,23.935659
Center_summer_2022-04-01,2022-04-01,Center,summer,soft,ConvNeXtTiny-TFT,test,29.008839,28.113848,-0.894991,0.894991,1.113841,33.200001,31.871837,29.118181,27.866610,24.708334,24.603097
Center_summer_2022-04-07,2022-04-07,Center,summer,soft,ConvNeXtTiny-TFT,test,28.547728,30.314364,1.766636,1.766636,4.428925,33.633335,33.847819,28.091667,30.240677,23.918182,26.854596
Center_summer_2022-04-14,2022-04-14,Center,summer,soft,ConvNeXtTiny-TFT,test,28.811112,29.196047,0.384935,0.937347,0.903243,33.633335,32.804718,28.091667,28.915839,24.708334,25.867585
Center_summer_2022-04-21,2022-04-21,Center,summer,soft,ConvNeXtTiny-TFT,test,29.119445,29.552832,0.433387,0.527895,0.527408,33.200001,33.058239,28.091667,29.323783,26.066668,26.276474
Center_summer_2022-04-28,2022-04-28,Center,summer,soft,ConvNeXtTiny-TFT,test,29.777778,30.155374,0.377596,0.388083,0.226524,33.200001,33.184272,29.424999,30.098702,26.708334,27.183149
Center_summer_2022-05-01,2022-05-01,Center,summer,soft,ConvNeXtTiny-TFT,test,29.538889,32.292283,2.753394,2.753394,7.691500,31.508333,34.616082,29.950001,32.259189,27.158333,30.001579
Center_summer_2022-05-07,2022-05-07,Center,summer,soft,ConvNeXtTiny-TFT,test,29.788889,30.663019,0.874130,1.026756,2.537939,31.008333,33.756187,30.450001,30.553476,27.908333,27.679395
Center_summer_2022-05-14,2022-05-14,Center,summer,soft,ConvNeXtTiny-TFT,test,31.227777,31.384324,0.156546,1.297791,2.113584,33.099998,34.908658,30.991667,31.364512,29.591667,27.879800
Center_summer_2022-05-21,2022-05-21,Center,summer,soft,ConvNeXtTiny-TFT,test,31.119445,32.277349,1.157904,1.682676,3.396362,32.808334,35.434734,30.674999,32.309469,29.875000,29.087842
