sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,SeasonalNaive,test,34.075001,32.591667,-1.483334,1.483334,2.20028
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,SeasonalNaive,test,34.075001,32.658333,-1.416668,1.416668,2.006948
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,SeasonalNaive,test,34.075001,34.716667,0.641666,0.641666,0.411735
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,SeasonalNaive,test,37.408333,34.716667,-2.691666,2.691666,7.245066
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,SeasonalNaive,test,37.591667,34.716667,-2.875,2.875,8.265625
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,SeasonalNaive,test,37.591667,34.716667,-2.875,2.875,8.265625
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,SeasonalNaive,test,37.591667,34.716667,-2.875,2.875,8.265625
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,SeasonalNaive,test,37.591667,34.033333,-3.558334,3.558334,12.661741
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,SeasonalNaive,test,37.150002,35.958333,-1.191669,1.191669,1.420075
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,SeasonalNaive,test,34.758335,35.958333,1.199998,1.199998,1.439995
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,SeasonalNaive,test,34.849998,35.958333,1.108335,1.108335,1.228406
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,SeasonalNaive,test,34.849998,35.958333,1.108335,1.108335,1.228406
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,SeasonalNaive,test,34.849998,35.958333,1.108335,1.108335,1.228406
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,SeasonalNaive,test,34.849998,35.066667,0.216669,0.216669,0.046945
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,SeasonalNaive,test,33.566666,35.708333,2.141667,2.141667,4.586738
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,SeasonalNaive,test,33.566666,35.708333,2.141667,2.141667,4.586738
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,SeasonalNaive,test,32.033333,35.708333,3.675,3.675,13.505625
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,SeasonalNaive,test,32.033333,35.708333,3.675,3.675,13.505625
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,SeasonalNaive,test,33.966667,35.708333,1.741666,1.741666,3.0334
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,SeasonalNaive,test,33.966667,31.666667,-2.3,2.3,5.29
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,SeasonalNaive,test,33.966667,31.05,-2.916667,2.916667,8.506946
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,SeasonalNaive,test,33.966667,29.391667,-4.575,4.575,20.930625
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,SeasonalNaive,test,33.966667,27.791667,-6.175,6.175,38.130625
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,SeasonalNaive,test,32.775002,27.791667,-4.983335,4.983335,24.833628
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,SeasonalNaive,test,32.775002,27.791667,-4.983335,4.983335,24.833628
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,SeasonalNaive,test,32.775002,26.65,-6.125002,6.125002,37.51565
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,SeasonalNaive,test,32.775002,26.65,-6.125002,6.125002,37.51565
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,SeasonalNaive,test,25.25,26.65,1.4,1.4,1.96
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,SeasonalNaive,test,25.25,26.65,1.4,1.4,1.96
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,SeasonalNaive,test,22.733334,27.016667,4.283333,4.283333,18.346942
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,SeasonalNaive,test,22.35,27.016667,4.666667,4.666667,21.777781
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,SeasonalNaive,test,22.35,27.016667,4.666667,4.666667,21.777781
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,SeasonalNaive,test,22.35,27.016667,4.666667,4.666667,21.777781
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,SeasonalNaive,test,22.35,27.016667,4.666667,4.666667,21.777781
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,SeasonalNaive,test,21.283333,26.366667,5.083334,5.083334,25.840285
Center_summer_2022-01-21,2022-01-21,Center,summer,anchor,SeasonalNaive,test,21.283333,26.366667,5.083334,5.083334,25.840285
Center_summer_2022-01-28,2022-01-28,Center,summer,anchor,SeasonalNaive,test,25.116667,26.366667,1.25,1.25,1.5625
Center_summer_2022-02-01,2022-02-01,Center,summer,anchor,SeasonalNaive,test,25.116667,26.366667,1.25,1.25,1.5625
Center_summer_2022-02-07,2022-02-07,Center,summer,anchor,SeasonalNaive,test,27.775,26.366667,-1.408333,1.408333,1.983402
Center_summer_2022-02-14,2022-02-14,Center,summer,anchor,SeasonalNaive,test,27.775,31.358333,3.583333,3.583333,12.840275
Center_summer_2022-02-21,2022-02-21,Center,summer,anchor,SeasonalNaive,test,27.775,31.358333,3.583333,3.583333,12.840275
Center_summer_2022-02-28,2022-02-28,Center,summer,anchor,SeasonalNaive,test,27.775,32.55,4.775,4.775,22.800625
Center_summer_2022-03-01,2022-03-01,Center,summer,anchor,SeasonalNaive,test,27.775,32.55,4.775,4.775,22.800625
Center_summer_2022-03-07,2022-03-07,Center,summer,anchor,SeasonalNaive,test,32.483334,32.55,0.066666,0.066666,0.004444
Center_summer_2022-03-14,2022-03-14,Center,summer,anchor,SeasonalNaive,test,32.491665,32.55,0.058335,0.058335,0.003403
Center_summer_2022-03-21,2022-03-21,Center,summer,anchor,SeasonalNaive,test,35.633335,39.333333,3.699998,3.699998,13.689985
Center_summer_2022-03-28,2022-03-28,Center,summer,anchor,SeasonalNaive,test,35.633335,39.333333,3.699998,3.699998,13.689985
Center_summer_2022-04-01,2022-04-01,Center,summer,anchor,SeasonalNaive,test,35.633335,39.333333,3.699998,3.699998,13.689985
Center_summer_2022-04-07,2022-04-07,Center,summer,anchor,SeasonalNaive,test,35.633335,39.333333,3.699998,3.699998,13.689985
Center_summer_2022-04-14,2022-04-14,Center,summer,anchor,SeasonalNaive,test,35.633335,40.416667,4.783332,4.783332,22.880265
Center_summer_2022-04-21,2022-04-21,Center,summer,anchor,SeasonalNaive,test,35.358334,40.416667,5.058333,5.058333,25.586733
Center_summer_2022-04-28,2022-04-28,Center,summer,anchor,SeasonalNaive,test,35.358334,40.416667,5.058333,5.058333,25.586733
Center_summer_2022-05-01,2022-05-01,Center,summer,anchor,SeasonalNaive,test,35.358334,40.416667,5.058333,5.058333,25.586733
Center_summer_2022-05-07,2022-05-07,Center,summer,anchor,SeasonalNaive,test,34.174999,40.416667,6.241668,6.241668,38.958419
Center_summer_2022-05-14,2022-05-14,Center,summer,anchor,SeasonalNaive,test,34.400002,37.983333,3.583331,3.583331,12.840261
Center_summer_2022-05-21,2022-05-21,Center,summer,anchor,SeasonalNaive,test,34.400002,37.983333,3.583331,3.583331,12.840261
Center_summer_2022-05-28,2022-05-28,Center,summer,anchor,SeasonalNaive,test,34.400002,37.983333,3.583331,3.583331,12.840261
Center_summer_2022-06-01,2022-06-01,Center,summer,anchor,SeasonalNaive,test,34.400002,33.733333,-0.666669,0.666669,0.444448
Center_summer_2022-06-07,2022-06-07,Center,summer,anchor,SeasonalNaive,test,34.400002,34.05,-0.350002,0.350002,0.122501
Center_summer_2022-06-14,2022-06-14,Center,summer,anchor,SeasonalNaive,test,32.616665,34.05,1.433335,1.433335,2.054449
Center_summer_2022-06-21,2022-06-21,Center,summer,anchor,SeasonalNaive,test,33.349998,34.075,0.725002,0.725002,0.525628
Center_summer_2022-06-28,2022-06-28,Center,summer,anchor,SeasonalNaive,test,33.372726,34.075,0.702274,0.702274,0.493189
Center_summer_2022-07-01,2022-07-01,Center,summer,anchor,SeasonalNaive,test,33.833332,34.075,0.241668,0.241668,0.058403
Center_summer_2022-07-07,2022-07-07,Center,summer,anchor,SeasonalNaive,test,33.833332,37.408333,3.575001,3.575001,12.780632
Center_summer_2022-07-14,2022-07-14,Center,summer,anchor,SeasonalNaive,test,33.833332,37.591667,3.758335,3.758335,14.125082
Center_summer_2022-07-21,2022-07-21,Center,summer,anchor,SeasonalNaive,test,33.833332,37.591667,3.758335,3.758335,14.125082
Center_summer_2022-07-28,2022-07-28,Center,summer,anchor,SeasonalNaive,test,34.466667,37.591667,3.125,3.125,9.765625
Center_summer_2022-08-01,2022-08-01,Center,summer,anchor,SeasonalNaive,test,34.466667,37.591667,3.125,3.125,9.765625
Center_summer_2022-08-07,2022-08-07,Center,summer,anchor,SeasonalNaive,test,34.466667,37.15,2.683333,2.683333,7.200276
Center_summer_2022-08-14,2022-08-14,Center,summer,anchor,SeasonalNaive,test,34.466667,34.758333,0.291666,0.291666,0.085069
Center_summer_2022-08-21,2022-08-21,Center,summer,anchor,SeasonalNaive,test,34.466667,34.85,0.383333,0.383333,0.146944
Center_summer_2022-08-28,2022-08-28,Center,summer,anchor,SeasonalNaive,test,33.466667,34.85,1.383333,1.383333,1.91361
Center_summer_2022-09-01,2022-09-01,Center,summer,anchor,SeasonalNaive,test,32.849998,34.85,2.000002,2.000002,4.000008
Center_summer_2022-09-07,2022-09-07,Center,summer,anchor,SeasonalNaive,test,33.016666,34.85,1.833334,1.833334,3.361114
Center_summer_2022-09-14,2022-09-14,Center,summer,anchor,SeasonalNaive,test,33.016666,33.566667,0.550001,0.550001,0.302501
Center_summer_2022-09-21,2022-09-21,Center,summer,anchor,SeasonalNaive,test,33.016666,33.566667,0.550001,0.550001,0.302501
Center_summer_2022-09-28,2022-09-28,Center,summer,anchor,SeasonalNaive,test,33.016666,32.033333,-0.983333,0.983333,0.966944
Center_summer_2022-10-01,2022-10-01,Center,summer,anchor,SeasonalNaive,test,33.016666,32.033333,-0.983333,0.983333,0.966944
Center_summer_2022-10-07,2022-10-07,Center,summer,anchor,SeasonalNaive,test,32.375,33.966667,1.591667,1.591667,2.533404
Center_summer_2022-10-14,2022-10-14,Center,summer,anchor,SeasonalNaive,test,32.375,33.966667,1.591667,1.591667,2.533404
