sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,SeasonalNaive,test,33.841667,31.966667,-1.875,1.875,3.515625,33.841667,31.966667,33.549999,31.433333,32.383335,30.716667
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,SeasonalNaive,test,33.841667,32.275,-1.566667,1.566667,2.454445,33.841667,32.275,33.549999,31.966667,32.733334,31.25
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,SeasonalNaive,test,33.841667,33.108333,-0.733334,0.733334,0.537779,33.841667,33.108333,33.541668,32.183333,32.733334,31.425
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,SeasonalNaive,test,35.641666,33.316667,-2.324999,2.324999,5.40562,35.641666,33.316667,34.075001,32.658333,32.900002,32.041667
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,SeasonalNaive,test,37.150002,33.316667,-3.833335,3.833335,14.694457,37.150002,33.316667,34.383335,32.783333,33.549999,32.091667
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,SeasonalNaive,test,37.150002,33.6,-3.550002,3.550002,12.602514,37.150002,33.6,34.575001,33.108333,33.599998,32.275
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,SeasonalNaive,test,37.150002,33.6,-3.550002,3.550002,12.602514,37.150002,33.6,34.575001,33.158333,33.599998,32.516667
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,SeasonalNaive,test,37.150002,33.45,-3.700002,3.700002,13.690015,37.150002,33.45,34.575001,32.925,33.708332,32.416667
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,SeasonalNaive,test,34.383335,33.95,-0.433335,0.433335,0.187779,34.383335,33.95,33.891666,33.325,33.258335,32.55
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,SeasonalNaive,test,33.941666,34.891667,0.950001,0.950001,0.902502,33.941666,34.891667,33.474998,33.6,32.716667,33.158333
Center_summer_2021-08-21,2021-08-21,Center,summer,soft,SeasonalNaive,test,33.941666,34.891667,0.950001,0.950001,0.902502,33.941666,34.891667,33.258335,33.808333,32.583332,33.241667
Center_summer_2021-08-28,2021-08-28,Center,summer,soft,SeasonalNaive,test,33.941666,34.891667,0.950001,0.950001,0.902502,33.941666,34.891667,33.058334,33.808333,31.991667,33.2
Center_summer_2021-09-01,2021-09-01,Center,summer,soft,SeasonalNaive,test,33.566666,34.891667,1.325001,1.325001,1.755628,33.566666,34.891667,32.599998,33.808333,31.700001,33.2
Center_summer_2021-09-07,2021-09-07,Center,summer,soft,SeasonalNaive,test,33.566666,34.108333,0.541667,0.541667,0.293403,33.566666,34.108333,31.983334,33.566667,30.608334,32.725
Center_summer_2021-09-14,2021-09-14,Center,summer,soft,SeasonalNaive,test,32.033333,33.808333,1.775,1.775,3.150625,32.033333,33.808333,31.700001,33.175,30.183332,32.158333
Center_summer_2021-09-21,2021-09-21,Center,summer,soft,SeasonalNaive,test,32.033333,33.708333,1.675,1.675,2.805625,32.033333,33.708333,30.233334,32.725,29.875,31.083333
Center_summer_2021-09-28,2021-09-28,Center,summer,soft,SeasonalNaive,test,30.233334,33.708333,3.474999,3.474999,12.075618,30.233334,33.708333,29.924999,31.808333,29.450001,30.716667
Center_summer_2021-10-01,2021-10-01,Center,summer,soft,SeasonalNaive,test,31.291666,32.95,1.658334,1.658334,2.750072,31.291666,32.95,30.183332,31.05,29.316668,30.275
Center_summer_2021-10-07,2021-10-07,Center,summer,soft,SeasonalNaive,test,31.775,32.95,1.175,1.175,1.380625,31.775,32.95,30.233334,30.8,29.418182,29.891667
Center_summer_2021-10-14,2021-10-14,Center,summer,soft,SeasonalNaive,test,31.291666,31.033333,-0.258333,0.258333,0.066736,31.291666,31.033333,29.950001,30.641667,28.191668,29.191667
Center_summer_2021-10-21,2021-10-21,Center,summer,soft,SeasonalNaive,test,31.291666,30.758333,-0.533333,0.533333,0.284444,31.291666,30.758333,29.950001,29.758333,27.75,27.366667
Center_summer_2021-10-28,2021-10-28,Center,summer,soft,SeasonalNaive,test,31.291666,28.816667,-2.474999,2.474999,6.12562,31.291666,28.816667,29.950001,27.666667,27.608334,25.45
Center_summer_2021-11-01,2021-11-01,Center,summer,soft,SeasonalNaive,test,30.549999,27.666667,-2.883332,2.883332,8.313603,30.549999,27.666667,29.741667,26.441667,27.327272,24.358333
Center_summer_2021-11-07,2021-11-07,Center,summer,soft,SeasonalNaive,test,30.166666,27.366667,-2.799999,2.799999,7.839994,30.166666,27.366667,28.908333,25.466667,25.383333,23.483333
Center_summer_2021-11-14,2021-11-14,Center,summer,soft,SeasonalNaive,test,28.908333,26.65,-2.258333,2.258333,5.100068,28.908333,26.65,26.508333,24.358333,23.833334,23.166667
Center_summer_2021-11-21,2021-11-21,Center,summer,soft,SeasonalNaive,test,28.666666,24.583333,-4.083333,4.083333,16.673608,28.666666,24.583333,24.333334,23.433333,22.65,22.266667
