sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,Tab-LSTM,test,33.258334,31.559699,-1.698635,1.698635,3.098246,33.841667,32.795370,33.549999,31.512192,32.383335,30.371534
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,Tab-LSTM,test,33.375000,32.470693,-0.904307,0.904307,0.892162,33.841667,33.322968,33.549999,32.444764,32.733334,31.644347
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,Tab-LSTM,test,33.372223,32.763093,-0.609130,0.609130,0.410875,33.841667,33.507019,33.541668,32.738304,32.733334,32.043956
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,Tab-LSTM,test,34.205556,32.562789,-1.642767,1.642767,2.974972,35.641666,33.299798,34.075001,32.562980,32.900002,31.825591
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,Tab-LSTM,test,35.027779,32.753326,-2.274452,2.274452,6.329492,37.150002,33.358318,34.383335,32.777810,33.549999,32.123851
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,Tab-LSTM,test,35.108334,32.889057,-2.219277,2.219277,5.995876,37.150002,33.479795,34.575001,32.916473,33.599998,32.270904
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,Tab-LSTM,test,35.108334,32.637257,-2.471076,2.471076,7.122268,37.150002,33.263226,34.575001,32.667128,33.599998,31.981417
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,Tab-LSTM,test,35.144445,32.839208,-2.305236,2.305236,6.433748,37.150002,33.355683,34.575001,32.886148,33.708332,32.275794
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,Tab-LSTM,test,33.844446,32.714149,-1.130297,1.130297,1.349884,34.383335,33.616360,33.891666,32.677016,33.258335,31.849070
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,Tab-LSTM,test,33.377777,32.901714,-0.476063,0.476063,0.231689,33.941666,33.447073,33.474998,32.922632,32.716667,32.335438
