sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,Tab-TFT,test,34.075001,35.312721,1.23772,1.23772,1.531951
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,Tab-TFT,test,34.075001,35.180394,1.105393,1.105393,1.221894
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,Tab-TFT,test,34.075001,35.135236,1.060235,1.060235,1.124098
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,Tab-TFT,test,37.408333,34.760027,-2.648306,2.648306,7.013525
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,Tab-TFT,test,37.591667,34.65186,-2.939807,2.939807,8.642465
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,Tab-TFT,test,37.591667,34.366774,-3.224893,3.224893,10.399935
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,Tab-TFT,test,37.591667,34.266453,-3.325214,3.325214,11.057048
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,Tab-TFT,test,37.591667,34.223437,-3.36823,3.36823,11.344973
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,Tab-TFT,test,37.150002,34.254854,-2.895148,2.895148,8.381882
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,Tab-TFT,test,34.758335,34.229874,-0.528461,0.528461,0.279271
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,Tab-TFT,test,34.849998,33.986832,-0.863166,0.863166,0.745056
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,Tab-TFT,test,34.849998,34.197222,-0.652776,0.652776,0.426117
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,Tab-TFT,test,34.849998,34.218494,-0.631504,0.631504,0.398797
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,Tab-TFT,test,34.849998,34.435343,-0.414655,0.414655,0.171939
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,Tab-TFT,test,33.566666,34.359574,0.792908,0.792908,0.628703
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,Tab-TFT,test,33.566666,34.189966,0.6233,0.6233,0.388503
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,Tab-TFT,test,32.033333,33.804223,1.77089,1.77089,3.136051
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,Tab-TFT,test,32.033333,33.780777,1.747444,1.747444,3.053561
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,Tab-TFT,test,33.966667,33.686822,-0.279845,0.279845,0.078313
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,Tab-TFT,test,33.966667,33.143183,-0.823484,0.823484,0.678126
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,Tab-TFT,test,33.966667,31.455393,-2.511274,2.511274,6.306497
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,Tab-TFT,test,33.966667,30.774684,-3.191983,3.191983,10.188755
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,Tab-TFT,test,33.966667,30.930529,-3.036138,3.036138,9.218134
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,Tab-TFT,test,32.775002,30.29608,-2.478922,2.478922,6.145054
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,Tab-TFT,test,32.775002,28.533091,-4.241911,4.241911,17.993809
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,Tab-TFT,test,32.775002,25.435659,-7.339343,7.339343,53.865956
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,Tab-TFT,test,32.775002,26.875361,-5.899641,5.899641,34.805764
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,Tab-TFT,test,25.25,28.395342,3.145342,3.145342,9.893176
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,Tab-TFT,test,25.25,23.977,-1.273,1.273,1.620529
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,Tab-TFT,test,22.733334,24.308025,1.574691,1.574691,2.479652
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,Tab-TFT,test,22.35,22.6936,0.3436,0.3436,0.118061
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,Tab-TFT,test,22.35,23.215157,0.865157,0.865157,0.748497
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,Tab-TFT,test,22.35,23.061004,0.711004,0.711004,0.505527
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,Tab-TFT,test,22.35,23.417489,1.067489,1.067489,1.139533
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,Tab-TFT,test,21.283333,23.632256,2.348923,2.348923,5.517439
Center_summer_2022-01-21,2022-01-21,Center,summer,anchor,Tab-TFT,test,21.283333,24.100933,2.8176,2.8176,7.93887
Center_summer_2022-01-28,2022-01-28,Center,summer,anchor,Tab-TFT,test,25.116667,24.481907,-0.63476,0.63476,0.40292
Center_summer_2022-02-01,2022-02-01,Center,summer,anchor,Tab-TFT,test,25.116667,25.17265,0.055983,0.055983,0.003134
Center_summer_2022-02-07,2022-02-07,Center,summer,anchor,Tab-TFT,test,27.775,25.696444,-2.078556,2.078556,4.320395
Center_summer_2022-02-14,2022-02-14,Center,summer,anchor,Tab-TFT,test,27.775,27.574762,-0.200238,0.200238,0.040095
Center_summer_2022-02-21,2022-02-21,Center,summer,anchor,Tab-TFT,test,27.775,27.690728,-0.084272,0.084272,0.007102
Center_summer_2022-02-28,2022-02-28,Center,summer,anchor,Tab-TFT,test,27.775,28.863112,1.088112,1.088112,1.183988
Center_summer_2022-03-01,2022-03-01,Center,summer,anchor,Tab-TFT,test,27.775,29.517056,1.742056,1.742056,3.034759
Center_summer_2022-03-07,2022-03-07,Center,summer,anchor,Tab-TFT,test,32.483334,30.285661,-2.197673,2.197673,4.829767
Center_summer_2022-03-14,2022-03-14,Center,summer,anchor,Tab-TFT,test,32.491665,30.860319,-1.631346,1.631346,2.66129
Center_summer_2022-03-21,2022-03-21,Center,summer,anchor,Tab-TFT,test,35.633335,32.17364,-3.459695,3.459695,11.969489
Center_summer_2022-03-28,2022-03-28,Center,summer,anchor,Tab-TFT,test,35.633335,32.807115,-2.82622,2.82622,7.987519
Center_summer_2022-04-01,2022-04-01,Center,summer,anchor,Tab-TFT,test,35.633335,34.094966,-1.538369,1.538369,2.366579
Center_summer_2022-04-07,2022-04-07,Center,summer,anchor,Tab-TFT,test,35.633335,36.496521,0.863186,0.863186,0.74509
Center_summer_2022-04-14,2022-04-14,Center,summer,anchor,Tab-TFT,test,35.633335,35.531364,-0.101971,0.101971,0.010398
Center_summer_2022-04-21,2022-04-21,Center,summer,anchor,Tab-TFT,test,35.358334,36.044367,0.686033,0.686033,0.470641
Center_summer_2022-04-28,2022-04-28,Center,summer,anchor,Tab-TFT,test,35.358334,36.692964,1.33463,1.33463,1.781237
Center_summer_2022-05-01,2022-05-01,Center,summer,anchor,Tab-TFT,test,35.358334,37.669924,2.31159,2.31159,5.343448
Center_summer_2022-05-07,2022-05-07,Center,summer,anchor,Tab-TFT,test,34.174999,38.001173,3.826174,3.826174,14.639607
Center_summer_2022-05-14,2022-05-14,Center,summer,anchor,Tab-TFT,test,34.400002,38.318309,3.918307,3.918307,15.35313
Center_summer_2022-05-21,2022-05-21,Center,summer,anchor,Tab-TFT,test,34.400002,37.215629,2.815627,2.815627,7.927755
Center_summer_2022-05-28,2022-05-28,Center,summer,anchor,Tab-TFT,test,34.400002,37.26876,2.868758,2.868758,8.229772
Center_summer_2022-06-01,2022-06-01,Center,summer,anchor,Tab-TFT,test,34.400002,36.667936,2.267934,2.267934,5.143525
Center_summer_2022-06-07,2022-06-07,Center,summer,anchor,Tab-TFT,test,34.400002,36.253911,1.853909,1.853909,3.436979
Center_summer_2022-06-14,2022-06-14,Center,summer,anchor,Tab-TFT,test,32.616665,36.078572,3.461907,3.461907,11.9848
Center_summer_2022-06-21,2022-06-21,Center,summer,anchor,Tab-TFT,test,33.349998,35.761992,2.411994,2.411994,5.817715
Center_summer_2022-06-28,2022-06-28,Center,summer,anchor,Tab-TFT,test,33.372726,36.065779,2.693053,2.693053,7.252534
Center_summer_2022-07-01,2022-07-01,Center,summer,anchor,Tab-TFT,test,33.833332,35.780938,1.947606,1.947606,3.793169
Center_summer_2022-07-07,2022-07-07,Center,summer,anchor,Tab-TFT,test,33.833332,35.266045,1.432713,1.432713,2.052667
Center_summer_2022-07-14,2022-07-14,Center,summer,anchor,Tab-TFT,test,33.833332,35.080611,1.247279,1.247279,1.555705
Center_summer_2022-07-21,2022-07-21,Center,summer,anchor,Tab-TFT,test,33.833332,34.934987,1.101655,1.101655,1.213644
Center_summer_2022-07-28,2022-07-28,Center,summer,anchor,Tab-TFT,test,34.466667,34.811481,0.344814,0.344814,0.118897
Center_summer_2022-08-01,2022-08-01,Center,summer,anchor,Tab-TFT,test,34.466667,34.515075,0.048408,0.048408,0.002343
