sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,Tab-TFT,test,33.841667,33.75704,-0.084627,0.084627,0.007162,33.841667,33.75704,33.549999,33.066878,32.383335,32.164309
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,Tab-TFT,test,33.841667,33.885818,0.044151,0.044151,0.001949,33.841667,33.885818,33.549999,33.354101,32.733334,32.539241
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,Tab-TFT,test,33.841667,33.935134,0.093467,0.093467,0.008736,33.841667,33.935134,33.541668,33.46235,32.733334,32.678372
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,Tab-TFT,test,35.641666,33.752547,-1.889119,1.889119,3.568771,35.641666,33.752547,34.075001,33.376927,32.900002,32.680289
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,Tab-TFT,test,37.150002,33.80204,-3.347962,3.347962,11.20885,37.150002,33.80204,34.383335,33.489375,33.549999,32.828475
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,Tab-TFT,test,37.150002,33.63956,-3.510442,3.510442,12.323203,37.150002,33.63956,34.575001,33.358383,33.599998,32.73537
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,Tab-TFT,test,37.150002,33.558969,-3.591033,3.591033,12.895518,37.150002,33.558969,34.575001,33.244022,33.599998,32.62286
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,Tab-TFT,test,37.150002,33.522505,-3.627497,3.627497,13.158734,37.150002,33.522505,34.575001,33.178992,33.708332,32.544351
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,Tab-TFT,test,34.383335,33.343927,-1.039408,1.039408,1.080369,34.383335,33.343927,33.891666,32.814256,33.258335,32.063899
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,Tab-TFT,test,33.941666,33.299669,-0.641997,0.641997,0.41216,33.941666,33.299669,33.474998,32.757342,32.716667,32.038621
Center_summer_2021-08-21,2021-08-21,Center,summer,soft,Tab-TFT,test,33.941666,33.102866,-0.8388,0.8388,0.703585,33.941666,33.102866,33.258335,32.504434,32.583332,31.765455
Center_summer_2021-08-28,2021-08-28,Center,summer,soft,Tab-TFT,test,33.941666,33.04041,-0.901256,0.901256,0.812262,33.941666,33.04041,33.058334,32.28445,31.991667,31.453633
Center_summer_2021-09-01,2021-09-01,Center,summer,soft,Tab-TFT,test,33.566666,32.898639,-0.668027,0.668027,0.44626,33.566666,32.898639,32.599998,32.023364,31.700001,31.139242
Center_summer_2021-09-07,2021-09-07,Center,summer,soft,Tab-TFT,test,33.566666,32.838457,-0.728209,0.728209,0.530288,33.566666,32.838457,31.983334,31.75812,30.608334,30.757098
Center_summer_2021-09-14,2021-09-14,Center,summer,soft,Tab-TFT,test,32.033333,32.583968,0.550635,0.550635,0.303199,32.033333,32.583968,31.700001,31.291467,30.183332,30.162582
Center_summer_2021-09-21,2021-09-21,Center,summer,soft,Tab-TFT,test,32.033333,32.464377,0.431044,0.431044,0.185799,32.033333,32.464377,30.233334,31.139214,29.875,29.974404
Center_summer_2021-09-28,2021-09-28,Center,summer,soft,Tab-TFT,test,30.233334,31.912649,1.679315,1.679315,2.820099,30.233334,31.912649,29.924999,30.356023,29.450001,29.013354
Center_summer_2021-10-01,2021-10-01,Center,summer,soft,Tab-TFT,test,31.291666,31.941624,0.649958,0.649958,0.422445,31.291666,31.941624,30.183332,30.405701,29.316668,29.090122
Center_summer_2021-10-07,2021-10-07,Center,summer,soft,Tab-TFT,test,31.775,31.664317,-0.110683,0.110683,0.012251,31.775,31.664317,30.233334,29.90375,29.418182,28.408564
Center_summer_2021-10-14,2021-10-14,Center,summer,soft,Tab-TFT,test,31.291666,31.161404,-0.130262,0.130262,0.016968,31.291666,31.161404,29.950001,29.383413,28.191668,27.819964
Center_summer_2021-10-21,2021-10-21,Center,summer,soft,Tab-TFT,test,31.291666,29.719141,-1.572525,1.572525,2.472835,31.291666,29.719141,29.950001,27.920725,27.75,26.266835
Center_summer_2021-10-28,2021-10-28,Center,summer,soft,Tab-TFT,test,31.291666,29.153404,-2.138262,2.138262,4.572164,31.291666,29.153404,29.950001,27.387993,27.608334,25.696032
Center_summer_2021-11-01,2021-11-01,Center,summer,soft,Tab-TFT,test,30.549999,29.054076,-1.495923,1.495923,2.237786,30.549999,29.054076,29.741667,27.133529,27.327272,25.355049
Center_summer_2021-11-07,2021-11-07,Center,summer,soft,Tab-TFT,test,30.166666,28.542723,-1.623943,1.623943,2.637191,30.166666,28.542723,28.908333,26.614279,25.383333,24.709768
Center_summer_2021-11-14,2021-11-14,Center,summer,soft,Tab-TFT,test,28.908333,26.466724,-2.441609,2.441609,5.961455,28.908333,26.466724,26.508333,24.489664,23.833334,22.524287
Center_summer_2021-11-21,2021-11-21,Center,summer,soft,Tab-TFT,test,28.666666,23.798277,-4.868389,4.868389,23.701211,28.666666,23.798277,24.333334,22.250901,22.65,20.563081
Center_summer_2021-11-28,2021-11-28,Center,summer,soft,Tab-TFT,test,28.666666,24.977078,-3.689588,3.689588,13.61306,28.666666,24.977078,23.833334,23.107129,20.516666,21.134945
Center_summer_2021-12-01,2021-12-01,Center,summer,soft,Tab-TFT,test,24.333334,26.201198,1.867864,1.867864,3.488916,24.333334,26.201198,22.65,24.03366,20.049999,21.964568
Center_summer_2021-12-07,2021-12-07,Center,summer,soft,Tab-TFT,test,24.333334,22.164269,-2.169065,2.169065,4.704843,24.333334,22.164269,20.516666,20.624557,19.041666,19.001291
Center_summer_2021-12-14,2021-12-14,Center,summer,soft,Tab-TFT,test,21.516666,22.227756,0.71109,0.71109,0.505649,21.516666,22.227756,20.6,20.387305,18.708334,18.677587
Center_summer_2021-12-21,2021-12-21,Center,summer,soft,Tab-TFT,test,20.883333,20.850699,-0.032634,0.032634,0.001065,20.883333,20.850699,20.225,19.430971,18.049999,17.951286
Center_summer_2021-12-28,2021-12-28,Center,summer,soft,Tab-TFT,test,20.883333,21.200472,0.317139,0.317139,0.100577,20.883333,21.200472,20.225,19.565411,17.825001,17.952952
Center_summer_2022-01-01,2022-01-01,Center,summer,soft,Tab-TFT,test,20.825001,21.010411,0.18541,0.18541,0.034377,20.825001,21.010411,19.058332,19.342402,16.450001,17.744815
Center_summer_2022-01-07,2022-01-07,Center,summer,soft,Tab-TFT,test,20.825001,21.41817,0.593169,0.593169,0.351849,20.825001,21.41817,19.966667,19.650872,15.916667,17.955929
Center_summer_2022-01-14,2022-01-14,Center,summer,soft,Tab-TFT,test,20.483334,21.406484,0.92315,0.92315,0.852206,20.483334,21.406484,17.316668,19.558696,15.408334,17.851709
Center_summer_2022-01-21,2022-01-21,Center,summer,soft,Tab-TFT,test,20.483334,21.808121,1.324787,1.324787,1.755061,20.483334,21.808121,18.416666,19.881693,16.533333,18.078573
Center_summer_2022-01-28,2022-01-28,Center,summer,soft,Tab-TFT,test,21.283333,22.143238,0.859905,0.859905,0.739437,21.283333,22.143238,19.458334,20.114563,18.158333,18.239131
Center_summer_2022-02-01,2022-02-01,Center,summer,soft,Tab-TFT,test,21.575001,22.709301,1.1343,1.1343,1.286636,21.575001,22.709301,19.924999,20.473936,18.416666,18.465006
Center_summer_2022-02-07,2022-02-07,Center,summer,soft,Tab-TFT,test,23.125,23.264342,0.139342,0.139342,0.019416,23.125,23.264342,19.85,20.879976,18.766666,18.730124
Center_summer_2022-02-14,2022-02-14,Center,summer,soft,Tab-TFT,test,23.125,24.917797,1.792797,1.792797,3.214121,23.125,24.917797,19.683332,22.142086,18.608334,19.602125
Center_summer_2022-02-21,2022-02-21,Center,summer,soft,Tab-TFT,test,23.125,25.176113,2.051113,2.051113,4.207065,23.125,25.176113,19.683332,22.394042,18.308332,19.803925
Center_summer_2022-02-28,2022-02-28,Center,summer,soft,Tab-TFT,test,23.125,26.017283,2.892283,2.892283,8.365301,23.125,26.017283,19.683332,22.963212,17.108334,20.258646
Center_summer_2022-03-01,2022-03-01,Center,summer,soft,Tab-TFT,test,23.125,26.698023,3.573023,3.573023,12.766493,23.125,26.698023,19.716667,23.488409,17.108334,20.601681
Center_summer_2022-03-07,2022-03-07,Center,summer,soft,Tab-TFT,test,26.891666,26.664857,-0.226809,0.226809,0.051442,26.891666,26.664857,23.0,23.325568,18.066668,20.498568
Center_summer_2022-03-14,2022-03-14,Center,summer,soft,Tab-TFT,test,29.118181,27.551866,-1.566315,1.566315,2.453343,29.118181,27.551866,26.672728,24.171987,19.891666,21.242161
Center_summer_2022-03-21,2022-03-21,Center,summer,soft,Tab-TFT,test,32.491665,28.544811,-3.946854,3.946854,15.577656,32.491665,28.544811,27.333334,24.968708,22.991667,21.896719
Center_summer_2022-03-28,2022-03-28,Center,summer,soft,Tab-TFT,test,32.491665,29.191329,-3.300336,3.300336,10.892218,32.491665,29.191329,27.333334,25.513612,23.975,22.388712
Center_summer_2022-04-01,2022-04-01,Center,summer,soft,Tab-TFT,test,33.200001,30.481338,-2.718663,2.718663,7.391129,33.200001,30.481338,29.118181,26.606124,24.708334,23.214372
Center_summer_2022-04-07,2022-04-07,Center,summer,soft,Tab-TFT,test,33.633335,32.343165,-1.29017,1.29017,1.664539,33.633335,32.343165,28.091667,27.755311,23.918182,23.641483
Center_summer_2022-04-14,2022-04-14,Center,summer,soft,Tab-TFT,test,33.633335,31.579943,-2.053392,2.053392,4.216419,33.633335,31.579943,28.091667,27.766751,24.708334,24.483627
Center_summer_2022-04-21,2022-04-21,Center,summer,soft,Tab-TFT,test,33.200001,32.152304,-1.047697,1.047697,1.097669,33.200001,32.152304,28.091667,28.460383,26.066668,25.236879
Center_summer_2022-04-28,2022-04-28,Center,summer,soft,Tab-TFT,test,33.200001,32.75667,-0.443331,0.443331,0.196542,33.200001,32.75667,29.424999,29.398968,26.708334,26.459321
Center_summer_2022-05-01,2022-05-01,Center,summer,soft,Tab-TFT,test,31.508333,33.389383,1.88105,1.88105,3.538349,31.508333,33.389383,29.950001,31.065549,27.158333,28.853215
Center_summer_2022-05-07,2022-05-07,Center,summer,soft,Tab-TFT,test,31.008333,33.795146,2.786813,2.786813,7.766327,31.008333,33.795146,30.450001,30.254238,27.908333,26.878764
Center_summer_2022-05-14,2022-05-14,Center,summer,soft,Tab-TFT,test,33.099998,34.417539,1.317541,1.317541,1.735914,33.099998,34.417539,30.991667,31.604258,29.591667,28.686044
Center_summer_2022-05-21,2022-05-21,Center,summer,soft,Tab-TFT,test,32.808334,33.774828,0.966494,0.966494,0.934111,32.808334,33.774828,30.674999,31.770748,29.875,29.710543
Center_summer_2022-05-28,2022-05-28,Center,summer,soft,Tab-TFT,test,32.808334,33.964873,1.156539,1.156539,1.337582,32.808334,33.964873,30.991667,32.202489,29.950001,30.369669
Center_summer_2022-06-01,2022-06-01,Center,summer,soft,Tab-TFT,test,32.808334,33.966288,1.157954,1.157954,1.340857,32.808334,33.966288,31.058332,32.608393,30.275,31.150811
Center_summer_2022-06-07,2022-06-07,Center,summer,soft,Tab-TFT,test,32.808334,33.627677,0.819343,0.819343,0.671323,32.808334,33.627677,31.391666,32.462977,30.475,31.166085
Center_summer_2022-06-14,2022-06-14,Center,summer,soft,Tab-TFT,test,32.233334,33.783226,1.549892,1.549892,2.402165,32.233334,33.783226,31.566668,32.820199,31.033333,31.684922
Center_summer_2022-06-21,2022-06-21,Center,summer,soft,Tab-TFT,test,32.616665,33.824658,1.207993,1.207993,1.459247,32.616665,33.824658,31.808332,33.030834,31.241667,32.015216
Center_summer_2022-06-28,2022-06-28,Center,summer,soft,Tab-TFT,test,33.075001,34.299709,1.224708,1.224708,1.49991,33.075001,34.299709,32.424999,33.547694,31.6,32.522185
Center_summer_2022-07-01,2022-07-01,Center,summer,soft,Tab-TFT,test,33.372726,34.204418,0.831692,0.831692,0.691712,33.372726,34.204418,32.924999,33.532501,31.808332,32.580007
Center_summer_2022-07-07,2022-07-07,Center,summer,soft,Tab-TFT,test,33.372726,34.00835,0.635624,0.635624,0.404018,33.372726,34.00835,32.974998,33.555466,32.216667,32.764436
Center_summer_2022-07-14,2022-07-14,Center,summer,soft,Tab-TFT,test,33.372726,34.030104,0.657378,0.657378,0.432146,33.372726,34.030104,32.974998,33.65203,32.508335,32.915251
Center_summer_2022-07-21,2022-07-21,Center,summer,soft,Tab-TFT,test,33.372726,34.016959,0.644233,0.644233,0.415036,33.372726,34.016959,32.916668,33.689044,32.316666,32.992184
Center_summer_2022-07-28,2022-07-28,Center,summer,soft,Tab-TFT,test,33.833332,34.046771,0.213439,0.213439,0.045556,33.833332,34.046771,32.983334,33.699766,32.508335,33.006312
Center_summer_2022-08-01,2022-08-01,Center,summer,soft,Tab-TFT,test,33.591667,33.807469,0.215802,0.215802,0.046571,33.591667,33.807469,33.083332,33.53572,32.508335,32.905582
Center_summer_2022-08-07,2022-08-07,Center,summer,soft,Tab-TFT,test,33.591667,33.767234,0.175567,0.175567,0.030824,33.591667,33.767234,33.083332,33.475636,32.216667,32.843093
Center_summer_2022-08-14,2022-08-14,Center,summer,soft,Tab-TFT,test,33.591667,33.571056,-0.020611,0.020611,0.000425,33.591667,33.571056,33.083332,33.178095,32.208332,32.525185
Center_summer_2022-08-21,2022-08-21,Center,summer,soft,Tab-TFT,test,33.591667,33.464139,-0.127528,0.127528,0.016263,33.591667,33.464139,32.983334,33.018406,32.150002,32.354599
Center_summer_2022-08-28,2022-08-28,Center,summer,soft,Tab-TFT,test,33.083332,33.364229,0.280897,0.280897,0.078903,33.083332,33.364229,32.683334,32.86362,31.958334,32.171645
Center_summer_2022-09-01,2022-09-01,Center,summer,soft,Tab-TFT,test,32.683334,33.209569,0.526235,0.526235,0.276923,32.683334,33.209569,32.325001,32.654305,31.9,31.94455
Center_summer_2022-09-07,2022-09-07,Center,summer,soft,Tab-TFT,test,32.825001,33.076382,0.251381,0.251381,0.063192,32.825001,33.076382,32.325001,32.323562,31.525,31.527764
Center_summer_2022-09-14,2022-09-14,Center,summer,soft,Tab-TFT,test,32.525002,32.876562,0.35156,0.35156,0.123594,32.525002,32.876562,31.583334,31.975872,31.058332,31.103256
Center_summer_2022-09-21,2022-09-21,Center,summer,soft,Tab-TFT,test,32.525002,32.714751,0.189749,0.189749,0.036005,32.525002,32.714751,31.941668,31.610354,30.508333,30.626886
Center_summer_2022-09-28,2022-09-28,Center,summer,soft,Tab-TFT,test,31.941668,32.563909,0.622241,0.622241,0.387184,31.941668,32.563909,31.466667,31.361232,28.891666,30.294177
Center_summer_2022-10-01,2022-10-01,Center,summer,soft,Tab-TFT,test,31.525,32.583405,1.058405,1.058405,1.120221,31.525,32.583405,30.508333,31.33624,28.799999,30.24369
