sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,Climatology,test,38.108334,34.865021,-3.243313,3.243313,10.519079
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,Climatology,test,38.958332,34.865021,-4.093311,4.093311,16.755195
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,Climatology,test,38.958332,35.377613,-3.580719,3.580719,12.821549
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,Climatology,test,38.958332,35.377613,-3.580719,3.580719,12.821549
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,Climatology,test,39.833332,35.377613,-4.455719,4.455719,19.853432
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,Climatology,test,40.091667,35.377613,-4.714054,4.714054,22.222305
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,Climatology,test,40.091667,35.377613,-4.714054,4.714054,22.222305
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,Climatology,test,40.091667,35.357535,-4.734132,4.734132,22.412006
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,Climatology,test,40.091667,35.357535,-4.734132,4.734132,22.412006
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,Climatology,test,40.091667,34.636931,-5.454736,5.454736,29.754145
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,Climatology,test,36.391666,34.636931,-1.754735,1.754735,3.079095
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,Climatology,test,36.391666,34.473009,-1.918657,1.918657,3.681245
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,Climatology,test,36.008335,33.663743,-2.344592,2.344592,5.497112
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,Climatology,test,36.008335,33.334757,-2.673578,2.673578,7.148019
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,Climatology,test,36.008335,33.334757,-2.673578,2.673578,7.148019
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,Climatology,test,34.366665,32.199404,-2.167261,2.167261,4.69702
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,Climatology,test,34.366665,31.993013,-2.373652,2.373652,5.634224
Negev_summer_2021-09-28,2021-09-28,Negev,summer,anchor,Climatology,test,34.025002,31.159637,-2.865365,2.865365,8.210317
Negev_summer_2021-10-01,2021-10-01,Negev,summer,anchor,Climatology,test,34.025002,31.159637,-2.865365,2.865365,8.210317
Negev_summer_2021-10-07,2021-10-07,Negev,summer,anchor,Climatology,test,34.025002,30.098294,-3.926708,3.926708,15.419036
Negev_summer_2021-10-14,2021-10-14,Negev,summer,anchor,Climatology,test,31.808332,30.098294,-1.710038,1.710038,2.92423
Negev_summer_2021-10-21,2021-10-21,Negev,summer,anchor,Climatology,test,31.808332,28.225016,-3.583316,3.583316,12.840154
Negev_summer_2021-10-28,2021-10-28,Negev,summer,anchor,Climatology,test,31.808332,26.332389,-5.475943,5.475943,29.985952
Negev_summer_2021-11-01,2021-11-01,Negev,summer,anchor,Climatology,test,31.808332,25.142841,-6.665491,6.665491,44.42877
Negev_summer_2021-11-07,2021-11-07,Negev,summer,anchor,Climatology,test,31.5,24.143706,-7.356294,7.356294,54.115061
Negev_summer_2021-11-14,2021-11-14,Negev,summer,anchor,Climatology,test,31.5,23.549576,-7.950424,7.950424,63.209242
Negev_summer_2021-11-21,2021-11-21,Negev,summer,anchor,Climatology,test,31.5,22.354136,-9.145864,9.145864,83.646828
Negev_summer_2021-11-28,2021-11-28,Negev,summer,anchor,Climatology,test,31.5,22.354136,-9.145864,9.145864,83.646828
Negev_summer_2021-12-01,2021-12-01,Negev,summer,anchor,Climatology,test,25.841667,22.235591,-3.606076,3.606076,13.003784
Negev_summer_2021-12-07,2021-12-07,Negev,summer,anchor,Climatology,test,25.841667,19.534939,-6.306728,6.306728,39.774818
Negev_summer_2021-12-14,2021-12-14,Negev,summer,anchor,Climatology,test,21.583334,19.052801,-2.530533,2.530533,6.403597
Negev_summer_2021-12-21,2021-12-21,Negev,summer,anchor,Climatology,test,21.583334,18.169926,-3.413408,3.413408,11.651354
Negev_summer_2021-12-28,2021-12-28,Negev,summer,anchor,Climatology,test,21.583334,17.614442,-3.968892,3.968892,15.752104
Negev_summer_2022-01-01,2022-01-01,Negev,summer,anchor,Climatology,test,21.583334,17.614442,-3.968892,3.968892,15.752104
Negev_summer_2022-01-07,2022-01-07,Negev,summer,anchor,Climatology,test,21.583334,18.105672,-3.477662,3.477662,12.094133
Negev_summer_2022-01-14,2022-01-14,Negev,summer,anchor,Climatology,test,21.125,18.185914,-2.939086,2.939086,8.638227
Negev_summer_2022-01-21,2022-01-21,Negev,summer,anchor,Climatology,test,21.125,19.431787,-1.693213,1.693213,2.86697
Negev_summer_2022-01-28,2022-01-28,Negev,summer,anchor,Climatology,test,24.633333,20.107636,-4.525697,4.525697,20.481933
Negev_summer_2022-02-01,2022-02-01,Negev,summer,anchor,Climatology,test,25.116667,20.251019,-4.865648,4.865648,23.67453
Negev_summer_2022-02-07,2022-02-07,Negev,summer,anchor,Climatology,test,27.583334,25.460027,-2.123307,2.123307,4.508433
Negev_summer_2022-02-14,2022-02-14,Negev,summer,anchor,Climatology,test,27.583334,25.460027,-2.123307,2.123307,4.508433
Negev_summer_2022-02-21,2022-02-21,Negev,summer,anchor,Climatology,test,27.583334,25.460027,-2.123307,2.123307,4.508433
Negev_summer_2022-02-28,2022-02-28,Negev,summer,anchor,Climatology,test,27.836363,25.460027,-2.376336,2.376336,5.646973
Negev_summer_2022-03-01,2022-03-01,Negev,summer,anchor,Climatology,test,27.836363,25.460027,-2.376336,2.376336,5.646973
Negev_summer_2022-03-07,2022-03-07,Negev,summer,anchor,Climatology,test,34.31818,25.460027,-8.858153,8.858153,78.466875
Negev_summer_2022-03-14,2022-03-14,Negev,summer,anchor,Climatology,test,35.436363,27.324856,-8.111507,8.111507,65.796546
Negev_summer_2022-03-21,2022-03-21,Negev,summer,anchor,Climatology,test,37.254547,28.377677,-8.87687,8.87687,78.798821
Negev_summer_2022-03-28,2022-03-28,Negev,summer,anchor,Climatology,test,37.254547,28.377677,-8.87687,8.87687,78.798821
Negev_summer_2022-04-01,2022-04-01,Negev,summer,anchor,Climatology,test,37.254547,29.01996,-8.234587,8.234587,67.808423
Negev_summer_2022-04-07,2022-04-07,Negev,summer,anchor,Climatology,test,37.254547,30.506335,-6.748212,6.748212,45.538365
Negev_summer_2022-04-14,2022-04-14,Negev,summer,anchor,Climatology,test,37.254547,30.506335,-6.748212,6.748212,45.538365
Negev_summer_2022-04-21,2022-04-21,Negev,summer,anchor,Climatology,test,38.224998,31.238897,-6.986101,6.986101,48.805607
Negev_summer_2022-04-28,2022-04-28,Negev,summer,anchor,Climatology,test,38.224998,32.752904,-5.472094,5.472094,29.943813
Negev_summer_2022-05-01,2022-05-01,Negev,summer,anchor,Climatology,test,38.224998,32.752904,-5.472094,5.472094,29.943813
Negev_summer_2022-05-07,2022-05-07,Negev,summer,anchor,Climatology,test,38.224998,32.752904,-5.472094,5.472094,29.943813
Negev_summer_2022-05-14,2022-05-14,Negev,summer,anchor,Climatology,test,39.075001,33.006761,-6.06824,6.06824,36.823537
Negev_summer_2022-05-21,2022-05-21,Negev,summer,anchor,Climatology,test,39.075001,33.648086,-5.426915,5.426915,29.451406
Negev_summer_2022-05-28,2022-05-28,Negev,summer,anchor,Climatology,test,39.075001,33.861625,-5.213376,5.213376,27.179289
Negev_summer_2022-06-01,2022-06-01,Negev,summer,anchor,Climatology,test,39.075001,34.208422,-4.866579,4.866579,23.683591
Negev_summer_2022-06-07,2022-06-07,Negev,summer,anchor,Climatology,test,39.075001,34.208422,-4.866579,4.866579,23.683591
Negev_summer_2022-06-14,2022-06-14,Negev,summer,anchor,Climatology,test,34.724998,34.865021,0.140023,0.140023,0.019606
Negev_summer_2022-06-21,2022-06-21,Negev,summer,anchor,Climatology,test,36.875,34.865021,-2.009979,2.009979,4.040016
Negev_summer_2022-06-28,2022-06-28,Negev,summer,anchor,Climatology,test,36.875,35.377613,-1.497387,1.497387,2.242168
Negev_summer_2022-07-01,2022-07-01,Negev,summer,anchor,Climatology,test,37.283333,35.377613,-1.90572,1.90572,3.631769
Negev_summer_2022-07-07,2022-07-07,Negev,summer,anchor,Climatology,test,37.283333,35.377613,-1.90572,1.90572,3.631769
Negev_summer_2022-07-14,2022-07-14,Negev,summer,anchor,Climatology,test,37.283333,35.377613,-1.90572,1.90572,3.631769
Negev_summer_2022-07-21,2022-07-21,Negev,summer,anchor,Climatology,test,37.283333,35.377613,-1.90572,1.90572,3.631769
Negev_summer_2022-07-28,2022-07-28,Negev,summer,anchor,Climatology,test,37.283333,35.357535,-1.925798,1.925798,3.708698
