sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,Climatology,test,36.841667,34.299746,-2.541921,2.541921,6.461362,36.841667,34.299746,36.158333,33.861625,34.025002,33.455418
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,Climatology,test,36.950001,34.299746,-2.650255,2.650255,7.023852,36.950001,34.299746,36.650002,34.078745,35.133335,33.690053
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,Climatology,test,36.950001,34.921239,-2.028762,2.028762,4.115875,36.950001,34.921239,36.650002,34.478827,34.791668,33.966333
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,Climatology,test,36.858334,34.921239,-1.937095,1.937095,3.752337,36.858334,34.921239,36.016666,34.548282,34.783333,34.078745
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,Climatology,test,38.958332,35.29631,-3.662022,3.662022,13.410405,38.958332,35.29631,36.858334,34.865021,35.133335,34.382896
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,Climatology,test,39.799999,35.29631,-4.503689,4.503689,20.283215,39.799999,35.29631,37.941666,34.688527,35.266666,34.382896
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,Climatology,test,39.799999,35.29631,-4.503689,4.503689,20.283215,39.799999,35.29631,37.549999,34.688527,35.025002,34.505929
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,Climatology,test,39.799999,34.945501,-4.854498,4.854498,23.566151,39.799999,34.945501,37.549999,34.591876,35.25,34.40113
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,Climatology,test,39.799999,34.945501,-4.854498,4.854498,23.566151,39.799999,34.945501,37.549999,34.560482,35.266666,34.362134
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,Climatology,test,36.391666,34.560482,-1.831184,1.831184,3.353235,36.391666,34.560482,35.549999,34.40586,34.866665,33.790231
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,Climatology,test,35.941666,34.560482,-1.381184,1.381184,1.907669,35.941666,34.560482,35.150002,34.384564,33.924999,33.603755
Negev_summer_2021-08-21,2021-08-21,Negev,summer,soft,Climatology,test,35.941666,34.362134,-1.579532,1.579532,2.494921,35.941666,34.362134,35.150002,33.663743,33.858334,32.621617
Negev_summer_2021-08-28,2021-08-28,Negev,summer,soft,Climatology,test,35.383335,33.334757,-2.048578,2.048578,4.196672,35.383335,33.334757,34.133335,32.694957,32.849998,32.318509
Negev_summer_2021-09-01,2021-09-01,Negev,summer,soft,Climatology,test,34.366665,32.909075,-1.45759,1.45759,2.124569,34.366665,32.909075,33.875,32.548342,32.116665,32.169252
