sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,38.108334,42.552324,4.443990,4.443990,19.749051
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,38.958332,41.995623,3.037291,3.037291,9.225139
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,38.958332,42.129948,3.171616,3.171616,10.059148
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,38.958332,42.235950,3.277618,3.277618,10.742777
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,39.833332,41.396667,1.563335,1.563335,2.444017
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,40.091667,41.451366,1.359699,1.359699,1.848780
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,40.091667,41.295167,1.203499,1.203499,1.448411
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,40.091667,40.635103,0.543436,0.543436,0.295323
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,40.091667,41.635351,1.543684,1.543684,2.382959
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,40.091667,40.423374,0.331707,0.331707,0.110030
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,36.391666,41.187469,4.795802,4.795802,22.999721
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,36.391666,40.656857,4.265191,4.265191,18.191852
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,36.008335,39.441259,3.432924,3.432924,11.784966
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,36.008335,39.372302,3.363967,3.363967,11.316273
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,36.008335,38.713057,2.704722,2.704722,7.315519
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,34.366665,40.191700,5.825035,5.825035,33.931036
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,34.366665,39.065346,4.698682,4.698682,22.077608
Negev_summer_2021-09-28,2021-09-28,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,34.025002,35.611338,1.586336,1.586336,2.516462
Negev_summer_2021-10-01,2021-10-01,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,34.025002,36.148532,2.123531,2.123531,4.509383
Negev_summer_2021-10-07,2021-10-07,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,34.025002,33.480286,-0.544715,0.544715,0.296715
Negev_summer_2021-10-14,2021-10-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,31.808332,35.517624,3.709292,3.709292,13.758845
Negev_summer_2021-10-21,2021-10-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,31.808332,33.164347,1.356015,1.356015,1.838776
Negev_summer_2021-10-28,2021-10-28,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,31.808332,31.351244,-0.457088,0.457088,0.208930
Negev_summer_2021-11-01,2021-11-01,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,31.808332,29.101099,-2.707234,2.707234,7.329115
Negev_summer_2021-11-07,2021-11-07,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,31.500000,30.782277,-0.717723,0.717723,0.515127
Negev_summer_2021-11-14,2021-11-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,31.500000,26.366630,-5.133370,5.133370,26.351490
Negev_summer_2021-11-21,2021-11-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,31.500000,27.602397,-3.897603,3.897603,15.191306
Negev_summer_2021-11-28,2021-11-28,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,31.500000,26.832325,-4.667675,4.667675,21.787194
Negev_summer_2021-12-01,2021-12-01,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,25.841667,30.144253,4.302586,4.302586,18.512245
Negev_summer_2021-12-07,2021-12-07,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,25.841667,24.987404,-0.854263,0.854263,0.729766
Negev_summer_2021-12-14,2021-12-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,21.583334,25.135946,3.552612,3.552612,12.621052
Negev_summer_2021-12-21,2021-12-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,21.583334,23.652615,2.069281,2.069281,4.281922
