sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,ConvNeXtTiny-LSTM,test,35.675001,36.684026,1.009026,1.009026,1.129709,36.841667,38.321843,36.158333,36.902175,34.025002,34.828060
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,ConvNeXtTiny-LSTM,test,36.244446,36.226018,-0.018428,0.698804,0.607100,36.950001,37.970565,36.650002,36.429114,35.133335,34.278375
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,ConvNeXtTiny-LSTM,test,36.130557,36.851079,0.720523,0.720523,0.677476,36.950001,38.196050,36.650002,36.933546,34.791668,35.423642
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,ConvNeXtTiny-LSTM,test,35.886111,36.911567,1.025456,1.025456,1.139942,36.858334,38.258401,36.016666,37.020116,34.783333,35.456183
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,ConvNeXtTiny-LSTM,test,36.983334,36.247741,-0.735592,0.735592,0.772234,38.958332,37.554988,36.858334,36.345768,35.133335,34.842468
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,ConvNeXtTiny-LSTM,test,37.669444,36.474560,-1.194884,1.194884,2.156306,39.799999,37.662165,37.941666,36.565592,35.266666,35.195921
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,ConvNeXtTiny-LSTM,test,37.458333,36.400319,-1.058014,1.140227,2.037293,39.799999,37.576699,37.549999,36.475938,35.025002,35.148320
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,ConvNeXtTiny-LSTM,test,37.533333,35.997404,-1.535929,1.535929,3.124208,39.799999,37.149765,37.549999,36.105993,35.250000,34.736453
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,ConvNeXtTiny-LSTM,test,37.538888,36.519369,-1.019519,1.019519,1.570731,39.799999,37.844265,37.549999,36.624966,35.266666,35.088877
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,ConvNeXtTiny-LSTM,test,35.602777,35.369871,-0.232906,0.650925,0.672700,36.391666,36.883945,35.549999,35.684750,34.866665,33.540918
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,ConvNeXtTiny-LSTM,test,35.005555,36.303368,1.297812,1.297812,1.751016,35.941666,37.569947,35.150002,36.417272,33.924999,34.922883
