sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,38.108334,38.890593,0.782259,0.782259,0.611929
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,38.958332,37.318863,-1.639469,1.639469,2.687859
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,38.958332,38.16066,-0.797672,0.797672,0.636281
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,38.958332,39.09167,0.133338,0.133338,0.017779
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,39.833332,38.77433,-1.059002,1.059002,1.121485
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,40.091667,38.556384,-1.535283,1.535283,2.357094
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,40.091667,38.050658,-2.041009,2.041009,4.165718
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,40.091667,37.956598,-2.135069,2.135069,4.55852
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,40.091667,37.580836,-2.510831,2.510831,6.304272
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,40.091667,37.982881,-2.108786,2.108786,4.446978
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,36.391666,36.969246,0.57758,0.57758,0.333599
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,36.391666,36.466932,0.075266,0.075266,0.005665
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,36.008335,36.968594,0.960259,0.960259,0.922097
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,36.008335,37.03871,1.030375,1.030375,1.061673
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,36.008335,36.603797,0.595462,0.595462,0.354575
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.366665,35.817188,1.450523,1.450523,2.104017
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.366665,35.96634,1.599675,1.599675,2.55896
Negev_summer_2021-09-28,2021-09-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.025002,34.859044,0.834042,0.834042,0.695626
Negev_summer_2021-10-01,2021-10-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.025002,34.098932,0.07393,0.07393,0.005466
Negev_summer_2021-10-07,2021-10-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.025002,34.068464,0.043462,0.043462,0.001889
Negev_summer_2021-10-14,2021-10-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,31.808332,33.007036,1.198704,1.198704,1.436891
Negev_summer_2021-10-21,2021-10-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,31.808332,30.56047,-1.247862,1.247862,1.55716
Negev_summer_2021-10-28,2021-10-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,31.808332,30.154428,-1.653904,1.653904,2.735398
Negev_summer_2021-11-01,2021-11-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,31.808332,29.726867,-2.081465,2.081465,4.332497
Negev_summer_2021-11-07,2021-11-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,31.5,28.151298,-3.348702,3.348702,11.213805
Negev_summer_2021-11-14,2021-11-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,31.5,23.89512,-7.60488,7.60488,57.8342
Negev_summer_2021-11-21,2021-11-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,31.5,23.545337,-7.954663,7.954663,63.276663
Negev_summer_2021-11-28,2021-11-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,31.5,25.444342,-6.055658,6.055658,36.670994
Negev_summer_2021-12-01,2021-12-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.841667,27.325422,1.483755,1.483755,2.201529
Negev_summer_2021-12-07,2021-12-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.841667,23.893582,-1.948085,1.948085,3.795035
Negev_summer_2021-12-14,2021-12-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.583334,24.704304,3.12097,3.12097,9.740454
Negev_summer_2021-12-21,2021-12-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.583334,21.488075,-0.095259,0.095259,0.009074
Negev_summer_2021-12-28,2021-12-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.583334,22.069783,0.486449,0.486449,0.236633
Negev_summer_2022-01-01,2022-01-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.583334,22.842333,1.258999,1.258999,1.585078
Negev_summer_2022-01-07,2022-01-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.583334,24.543978,2.960644,2.960644,8.765413
Negev_summer_2022-01-14,2022-01-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.125,22.995528,1.870528,1.870528,3.498875
Negev_summer_2022-01-21,2022-01-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,21.125,24.568253,3.443253,3.443253,11.855991
Negev_summer_2022-01-28,2022-01-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,24.633333,24.396785,-0.236548,0.236548,0.055955
Negev_summer_2022-02-01,2022-02-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,25.116667,25.187761,0.071094,0.071094,0.005054
Negev_summer_2022-02-07,2022-02-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.583334,25.66789,-1.915444,1.915444,3.668926
Negev_summer_2022-02-14,2022-02-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.583334,27.770821,0.187487,0.187487,0.035151
Negev_summer_2022-02-21,2022-02-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.583334,28.473354,0.89002,0.89002,0.792136
Negev_summer_2022-02-28,2022-02-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.836363,30.497056,2.660693,2.660693,7.079287
Negev_summer_2022-03-01,2022-03-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,27.836363,31.364973,3.52861,3.52861,12.451089
Negev_summer_2022-03-07,2022-03-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.31818,30.236883,-4.081297,4.081297,16.656985
Negev_summer_2022-03-14,2022-03-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.436363,31.746201,-3.690162,3.690162,13.617296
Negev_summer_2022-03-21,2022-03-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.254547,32.474989,-4.779558,4.779558,22.844175
Negev_summer_2022-03-28,2022-03-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.254547,33.482754,-3.771793,3.771793,14.226422
Negev_summer_2022-04-01,2022-04-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.254547,35.378435,-1.876112,1.876112,3.519796
Negev_summer_2022-04-07,2022-04-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.254547,36.25285,-1.001697,1.001697,1.003397
Negev_summer_2022-04-14,2022-04-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,37.254547,36.32951,-0.925037,0.925037,0.855693
Negev_summer_2022-04-21,2022-04-21,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,38.224998,36.542921,-1.682077,1.682077,2.829383
Negev_summer_2022-04-28,2022-04-28,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,38.224998,37.461707,-0.763291,0.763291,0.582613
Negev_summer_2022-05-01,2022-05-01,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,38.224998,39.862435,1.637437,1.637437,2.6812
Negev_summer_2022-05-07,2022-05-07,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,38.224998,37.955997,-0.269001,0.269001,0.072362
Negev_summer_2022-05-14,2022-05-14,Negev,summer,anchor,ConvNeXtTiny-TFT-NN,test,39.075001,39.238954,0.163953,0.163953,0.026881
