sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,36.841667,36.605114,-0.236553,0.236553,0.055957,36.841667,36.605114,36.158333,35.220232,34.025002,33.852934
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,36.950001,35.881781,-1.06822,1.06822,1.141094,36.950001,35.881781,36.650002,34.660017,35.133335,33.43405
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,36.950001,36.901018,-0.048983,0.048983,0.002399,36.950001,36.901018,36.650002,35.839702,34.791668,34.780474
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,36.858334,37.359147,0.500813,0.500813,0.250814,36.858334,37.359147,36.016666,36.242285,34.783333,34.997777
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,38.958332,36.929402,-2.02893,2.02893,4.116557,38.958332,36.929402,36.858334,35.895909,35.133335,34.756378
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,39.799999,37.0164,-2.783599,2.783599,7.748423,39.799999,37.0164,37.941666,35.995017,35.266666,34.898848
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,39.799999,36.705354,-3.094645,3.094645,9.576828,39.799999,36.705354,37.549999,35.758045,35.025002,34.704368
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,39.799999,36.563487,-3.236512,3.236512,10.47501,39.799999,36.563487,37.549999,35.595693,35.25,34.513536
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,39.799999,35.924544,-3.875455,3.875455,15.019151,39.799999,35.924544,37.549999,34.862342,35.266666,33.779586
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,36.391666,35.644244,-0.747422,0.747422,0.55864,36.391666,35.644244,35.549999,34.388873,34.866665,33.100137
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,35.941666,35.704848,-0.236818,0.236818,0.056083,35.941666,35.704848,35.150002,34.653687,33.924999,33.426303
Negev_summer_2021-08-21,2021-08-21,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,35.941666,35.211448,-0.730218,0.730218,0.533218,35.941666,35.211448,35.150002,34.029254,33.858334,32.726032
Negev_summer_2021-08-28,2021-08-28,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,35.383335,35.560154,0.176819,0.176819,0.031265,35.383335,35.560154,34.133335,34.283384,32.849998,32.867868
Negev_summer_2021-09-01,2021-09-01,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,34.366665,35.434765,1.0681,1.0681,1.140838,34.366665,35.434765,33.875,33.984516,32.116665,32.443808
Negev_summer_2021-09-07,2021-09-07,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,34.366665,34.82437,0.457705,0.457705,0.209494,34.366665,34.82437,32.791668,33.294209,30.333334,31.687059
Negev_summer_2021-09-14,2021-09-14,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,34.025002,33.978875,-0.046127,0.046127,0.002128,34.025002,33.978875,32.566666,32.207046,30.333334,30.392642
Negev_summer_2021-09-21,2021-09-21,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,34.025002,34.113432,0.08843,0.08843,0.00782,34.025002,34.113432,30.908333,32.344005,29.950001,30.386038
Negev_summer_2021-09-28,2021-09-28,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,30.958334,32.820305,1.861971,1.861971,3.466936,30.958334,32.820305,30.516666,30.815944,28.658333,28.838854
Negev_summer_2021-10-01,2021-10-01,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,31.15,31.990619,0.840619,0.840619,0.70664,31.15,31.990619,30.841667,29.912546,28.658333,27.833303
Negev_summer_2021-10-07,2021-10-07,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,31.799999,31.738484,-0.061515,0.061515,0.003784,31.799999,31.738484,30.858334,29.484132,27.841667,27.463032
Negev_summer_2021-10-14,2021-10-14,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,30.958334,30.801071,-0.157263,0.157263,0.024732,30.958334,30.801071,29.875,28.752909,27.141666,26.563963
Negev_summer_2021-10-21,2021-10-21,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,30.116667,28.970962,-1.145705,1.145705,1.31264,30.116667,28.970962,29.458334,26.889572,26.883333,24.80629
Negev_summer_2021-10-28,2021-10-28,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,30.116667,28.54868,-1.567987,1.567987,2.458583,30.116667,28.54868,29.458334,26.613417,25.674999,24.59719
Negev_summer_2021-11-01,2021-11-01,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,30.116667,27.77097,-2.345697,2.345697,5.502294,30.116667,27.77097,29.299999,25.633046,25.641666,23.364218
Negev_summer_2021-11-07,2021-11-07,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,29.458334,27.031129,-2.427205,2.427205,5.891324,29.458334,27.031129,27.141666,25.218742,23.491667,22.768401
Negev_summer_2021-11-14,2021-11-14,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,29.091667,22.030387,-7.06128,7.06128,49.861675,29.091667,22.030387,25.391666,20.271022,22.683332,18.367088
Negev_summer_2021-11-21,2021-11-21,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,29.091667,22.783168,-6.308499,6.308499,39.79716,29.091667,22.783168,23.933332,21.245112,21.291666,19.221193
Negev_summer_2021-11-28,2021-11-28,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,29.091667,23.805842,-5.285825,5.285825,27.939946,29.091667,23.805842,22.1,21.751853,19.316668,19.398352
Negev_summer_2021-12-01,2021-12-01,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,23.933332,25.184513,1.251181,1.251181,1.565454,23.933332,25.184513,21.291666,23.042059,18.308332,20.473508
Negev_summer_2021-12-07,2021-12-07,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,23.933332,22.546805,-1.386527,1.386527,1.922457,23.933332,22.546805,18.541666,20.73287,17.141666,18.530337
Negev_summer_2021-12-14,2021-12-14,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,20.799999,23.196976,2.396977,2.396977,5.745499,20.799999,23.196976,18.466667,21.184537,16.808332,18.716174
Negev_summer_2021-12-21,2021-12-21,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,20.433332,19.728995,-0.704337,0.704337,0.496091,20.433332,19.728995,18.308332,17.94945,16.616667,16.455408
Negev_summer_2021-12-28,2021-12-28,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,20.433332,19.854485,-0.578847,0.578847,0.335064,20.433332,19.854485,18.308332,17.914566,15.875,16.352018
Negev_summer_2022-01-01,2022-01-01,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,20.433332,20.780064,0.346732,0.346732,0.120223,20.433332,20.780064,18.091667,18.852203,15.041667,16.93483
Negev_summer_2022-01-07,2022-01-07,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,20.433332,22.116864,1.683532,1.683532,2.83428,20.433332,22.116864,18.283333,19.963136,14.016666,17.524598
Negev_summer_2022-01-14,2022-01-14,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,18.858334,20.793057,1.934723,1.934723,3.743153,18.858334,20.793057,16.358334,18.597764,13.516666,16.650388
Negev_summer_2022-01-21,2022-01-21,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,19.816668,22.075914,2.259246,2.259246,5.104192,19.816668,22.075914,17.9,19.794609,15.4,17.214348
Negev_summer_2022-01-28,2022-01-28,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,21.125,22.279481,1.154481,1.154481,1.332826,21.125,22.279481,18.858334,19.754746,16.65,17.215452
Negev_summer_2022-02-01,2022-02-01,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,21.608334,23.047819,1.439485,1.439485,2.072117,21.608334,23.047819,19.816668,20.531688,17.9,17.629052
Negev_summer_2022-02-07,2022-02-07,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,24.633333,23.540268,-1.093065,1.093065,1.194791,24.633333,23.540268,20.716667,20.895798,18.716667,17.869888
Negev_summer_2022-02-14,2022-02-14,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,24.633333,25.264575,0.631242,0.631242,0.398466,24.633333,25.264575,20.716667,22.26561,18.558332,19.014011
Negev_summer_2022-02-21,2022-02-21,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,24.633333,26.26973,1.636397,1.636397,2.677795,24.633333,26.26973,20.716667,23.37827,18.0,19.786033
Negev_summer_2022-02-28,2022-02-28,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,25.116667,28.125651,3.008984,3.008984,9.053985,25.116667,28.125651,20.716667,25.192054,17.0,21.53893
Negev_summer_2022-03-01,2022-03-01,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,25.116667,28.795269,3.678602,3.678602,13.532113,25.116667,28.795269,21.40909,25.834492,17.0,22.213025
Negev_summer_2022-03-07,2022-03-07,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,32.718182,27.555465,-5.162717,5.162717,26.653647,32.718182,27.555465,27.00909,24.414609,17.872726,20.692202
Negev_summer_2022-03-14,2022-03-14,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,33.090908,29.199291,-3.891617,3.891617,15.144683,33.090908,29.199291,30.390909,26.120267,21.40909,22.144463
Negev_summer_2022-03-21,2022-03-21,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,34.991665,29.773391,-5.218274,5.218274,27.230384,34.991665,29.773391,30.645454,26.591157,26.5,22.679279
Negev_summer_2022-03-28,2022-03-28,Negev,summer,soft,ConvNeXtTiny-TFT-NN,test,34.991665,30.919905,-4.07176,4.07176,16.579229,34.991665,30.919905,31.491667,27.739764,27.641666,24.06709
