sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,ConvNeXtTiny-TFT,test,38.108334,42.151580,4.043246,4.043246,16.347839
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,ConvNeXtTiny-TFT,test,38.958332,41.192215,2.233883,2.233883,4.990232
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,ConvNeXtTiny-TFT,test,38.958332,41.810809,2.852476,2.852476,8.136622
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,ConvNeXtTiny-TFT,test,38.958332,41.808591,2.850259,2.850259,8.123977
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,ConvNeXtTiny-TFT,test,39.833332,41.178616,1.345284,1.345284,1.809789
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,ConvNeXtTiny-TFT,test,40.091667,41.011408,0.919740,0.919740,0.845923
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,ConvNeXtTiny-TFT,test,40.091667,40.547698,0.456030,0.456030,0.207964
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,ConvNeXtTiny-TFT,test,40.091667,40.198077,0.106409,0.106409,0.011323
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,ConvNeXtTiny-TFT,test,40.091667,40.157422,0.065755,0.065755,0.004324
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,ConvNeXtTiny-TFT,test,40.091667,39.277996,-0.813671,0.813671,0.662061
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,ConvNeXtTiny-TFT,test,36.391666,39.294721,2.903055,2.903055,8.427728
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,ConvNeXtTiny-TFT,test,36.391666,38.531906,2.140239,2.140239,4.580625
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,ConvNeXtTiny-TFT,test,36.008335,38.063378,2.055043,2.055043,4.223203
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,ConvNeXtTiny-TFT,test,36.008335,37.760205,1.751869,1.751869,3.069046
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,ConvNeXtTiny-TFT,test,36.008335,37.354805,1.346470,1.346470,1.812982
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,ConvNeXtTiny-TFT,test,34.366665,36.362715,1.996050,1.996050,3.984215
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,ConvNeXtTiny-TFT,test,34.366665,36.492527,2.125862,2.125862,4.519288
Negev_summer_2021-09-28,2021-09-28,Negev,summer,anchor,ConvNeXtTiny-TFT,test,34.025002,34.952382,0.927380,0.927380,0.860035
Negev_summer_2021-10-01,2021-10-01,Negev,summer,anchor,ConvNeXtTiny-TFT,test,34.025002,34.927336,0.902335,0.902335,0.814208
Negev_summer_2021-10-07,2021-10-07,Negev,summer,anchor,ConvNeXtTiny-TFT,test,34.025002,33.785122,-0.239879,0.239879,0.057542
Negev_summer_2021-10-14,2021-10-14,Negev,summer,anchor,ConvNeXtTiny-TFT,test,31.808332,33.190106,1.381774,1.381774,1.909299
Negev_summer_2021-10-21,2021-10-21,Negev,summer,anchor,ConvNeXtTiny-TFT,test,31.808332,30.294611,-1.513722,1.513722,2.291354
Negev_summer_2021-10-28,2021-10-28,Negev,summer,anchor,ConvNeXtTiny-TFT,test,31.808332,30.251092,-1.557240,1.557240,2.424998
Negev_summer_2021-11-01,2021-11-01,Negev,summer,anchor,ConvNeXtTiny-TFT,test,31.808332,28.823811,-2.984521,2.984521,8.907368
Negev_summer_2021-11-07,2021-11-07,Negev,summer,anchor,ConvNeXtTiny-TFT,test,31.500000,29.207643,-2.292357,2.292357,5.254902
Negev_summer_2021-11-14,2021-11-14,Negev,summer,anchor,ConvNeXtTiny-TFT,test,31.500000,24.142820,-7.357180,7.357180,54.128093
Negev_summer_2021-11-21,2021-11-21,Negev,summer,anchor,ConvNeXtTiny-TFT,test,31.500000,24.367492,-7.132508,7.132508,50.872666
Negev_summer_2021-11-28,2021-11-28,Negev,summer,anchor,ConvNeXtTiny-TFT,test,31.500000,26.267922,-5.232078,5.232078,27.374640
Negev_summer_2021-12-01,2021-12-01,Negev,summer,anchor,ConvNeXtTiny-TFT,test,25.841667,27.442761,1.601093,1.601093,2.563500
Negev_summer_2021-12-07,2021-12-07,Negev,summer,anchor,ConvNeXtTiny-TFT,test,25.841667,23.691985,-2.149682,2.149682,4.621133
