sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.675001,36.213098,0.538098,0.538098,0.447952,36.841667,37.889843,36.158333,36.235311,34.025002,34.514141
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,36.244446,35.791570,-0.452875,0.656730,0.492923,36.950001,37.255783,36.650002,35.826103,35.133335,34.292826
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,36.130557,36.600453,0.469896,0.497891,0.472048,36.950001,38.100512,36.650002,36.608009,34.791668,35.092837
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.886111,36.667232,0.781122,0.781122,0.755414,36.858334,38.152747,36.016666,36.683595,34.783333,35.165355
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,36.983334,36.329564,-0.653770,0.653770,0.706756,38.958332,37.592964,36.858334,36.362292,35.133335,35.033435
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,37.669444,36.401647,-1.267797,1.267797,2.362455,39.799999,37.599338,37.941666,36.447450,35.266666,35.158153
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,37.458333,36.202304,-1.256030,1.256855,2.595211,39.799999,37.331503,37.549999,36.249169,35.025002,35.026239
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,37.533333,36.078117,-1.455216,1.455216,2.988075,39.799999,37.182194,37.549999,36.135780,35.250000,34.916377
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,37.538888,35.886580,-1.652308,1.652308,3.592377,39.799999,36.980686,37.549999,35.959698,35.266666,34.719355
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.602777,35.331537,-0.271240,0.375022,0.254085,36.391666,36.547340,35.549999,35.431473,34.866665,34.015799
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.005555,35.376615,0.371059,0.371059,0.160196,35.941666,36.519218,35.150002,35.460079,33.924999,34.150547
Negev_summer_2021-08-21,2021-08-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,34.983334,34.809491,-0.173842,0.228839,0.065186,35.941666,36.024160,35.150002,34.904252,33.858334,33.500062
