sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,SeasonalNaive,test,38.108334,36.425,-1.683334,1.683334,2.833613
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,SeasonalNaive,test,38.958332,35.95,-3.008332,3.008332,9.050061
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,SeasonalNaive,test,38.958332,36.5,-2.458332,2.458332,6.043396
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,SeasonalNaive,test,38.958332,37.508333,-1.449999,1.449999,2.102497
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,SeasonalNaive,test,39.833332,37.508333,-2.324999,2.324999,5.40562
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,SeasonalNaive,test,40.091667,37.508333,-2.583334,2.583334,6.673615
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,SeasonalNaive,test,40.091667,37.508333,-2.583334,2.583334,6.673615
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,SeasonalNaive,test,40.091667,37.508333,-2.583334,2.583334,6.673615
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,SeasonalNaive,test,40.091667,37.125,-2.966667,2.966667,8.801113
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,SeasonalNaive,test,40.091667,42.990909,2.899242,2.899242,8.405604
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,SeasonalNaive,test,36.391666,42.990909,6.599243,6.599243,43.550008
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,SeasonalNaive,test,36.391666,42.990909,6.599243,6.599243,43.550008
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,SeasonalNaive,test,36.008335,42.990909,6.982574,6.982574,48.75634
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,SeasonalNaive,test,36.008335,42.990909,6.982574,6.982574,48.75634
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,SeasonalNaive,test,36.008335,37.209091,1.200756,1.200756,1.441815
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,SeasonalNaive,test,34.366665,38.190909,3.824244,3.824244,14.624842
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,SeasonalNaive,test,34.366665,38.190909,3.824244,3.824244,14.624842
Negev_summer_2021-09-28,2021-09-28,Negev,summer,anchor,SeasonalNaive,test,34.025002,38.190909,4.165907,4.165907,17.354781
Negev_summer_2021-10-01,2021-10-01,Negev,summer,anchor,SeasonalNaive,test,34.025002,38.190909,4.165907,4.165907,17.354781
Negev_summer_2021-10-07,2021-10-07,Negev,summer,anchor,SeasonalNaive,test,34.025002,38.190909,4.165907,4.165907,17.354781
Negev_summer_2021-10-14,2021-10-14,Negev,summer,anchor,SeasonalNaive,test,31.808332,32.825,1.016668,1.016668,1.033614
Negev_summer_2021-10-21,2021-10-21,Negev,summer,anchor,SeasonalNaive,test,31.808332,32.825,1.016668,1.016668,1.033614
Negev_summer_2021-10-28,2021-10-28,Negev,summer,anchor,SeasonalNaive,test,31.808332,30.041667,-1.766665,1.766665,3.121105
Negev_summer_2021-11-01,2021-11-01,Negev,summer,anchor,SeasonalNaive,test,31.808332,26.575,-5.233332,5.233332,27.387764
Negev_summer_2021-11-07,2021-11-07,Negev,summer,anchor,SeasonalNaive,test,31.5,26.575,-4.925,4.925,24.255625
Negev_summer_2021-11-14,2021-11-14,Negev,summer,anchor,SeasonalNaive,test,31.5,26.709091,-4.790909,4.790909,22.952809
Negev_summer_2021-11-21,2021-11-21,Negev,summer,anchor,SeasonalNaive,test,31.5,26.709091,-4.790909,4.790909,22.952809
Negev_summer_2021-11-28,2021-11-28,Negev,summer,anchor,SeasonalNaive,test,31.5,26.709091,-4.790909,4.790909,22.952809
Negev_summer_2021-12-01,2021-12-01,Negev,summer,anchor,SeasonalNaive,test,25.841667,26.709091,0.867424,0.867424,0.752424
