sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,SeasonalNaive,test,36.841667,35.366667,-1.475,1.475,2.175625,36.841667,35.366667,36.158333,34.325,34.025002,33.191667
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,SeasonalNaive,test,36.950001,35.658333,-1.291668,1.291668,1.668406,36.950001,35.658333,36.650002,34.933333,35.133335,33.875
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,SeasonalNaive,test,36.950001,35.858333,-1.091668,1.091668,1.191739,36.950001,35.858333,36.650002,35.525,34.791668,34.4
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,SeasonalNaive,test,36.858334,36.5,-0.358334,0.358334,0.128403,36.858334,36.5,36.016666,35.658333,34.783333,34.875
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,SeasonalNaive,test,38.958332,37.033333,-1.924999,1.924999,3.705621,38.958332,37.033333,36.858334,35.858333,35.133335,35.091667
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,SeasonalNaive,test,39.799999,37.033333,-2.766666,2.766666,7.654441,39.799999,37.033333,37.941666,35.858333,35.266666,35.25
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,SeasonalNaive,test,39.799999,37.033333,-2.766666,2.766666,7.654441,39.799999,37.033333,37.549999,35.783333,35.025002,35.091667
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,SeasonalNaive,test,39.799999,37.033333,-2.766666,2.766666,7.654441,39.799999,37.033333,37.549999,35.625,35.25,34.358333
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,SeasonalNaive,test,39.799999,35.975,-3.824999,3.824999,14.630617,39.799999,35.975,37.549999,35.466667,35.266666,34.208333
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,SeasonalNaive,test,36.391666,39.009091,2.617425,2.617425,6.850914,36.391666,39.009091,35.549999,35.8,34.866665,34.383333
