sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,Tab-LSTM,test,38.108334,39.297491,1.189157,1.189157,1.414094
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,Tab-LSTM,test,38.958332,37.88208,-1.076252,1.076252,1.158318
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,Tab-LSTM,test,38.958332,38.094684,-0.863648,0.863648,0.745888
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,Tab-LSTM,test,38.958332,38.185584,-0.772748,0.772748,0.597139
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,Tab-LSTM,test,39.833332,37.650108,-2.183224,2.183224,4.766467
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,Tab-LSTM,test,40.091667,37.660623,-2.431044,2.431044,5.909975
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,Tab-LSTM,test,40.091667,37.715834,-2.375833,2.375833,5.644582
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,Tab-LSTM,test,40.091667,37.203872,-2.887795,2.887795,8.33936
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,Tab-LSTM,test,40.091667,37.544889,-2.546778,2.546778,6.486078
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,Tab-LSTM,test,40.091667,38.175057,-1.91661,1.91661,3.673394
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,Tab-LSTM,test,36.391666,37.497857,1.106191,1.106191,1.223659
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,Tab-LSTM,test,36.391666,37.05454,0.662874,0.662874,0.439402
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,Tab-LSTM,test,36.008335,36.80688,0.798545,0.798545,0.637674
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,Tab-LSTM,test,36.008335,36.721016,0.712681,0.712681,0.507914
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,Tab-LSTM,test,36.008335,36.171746,0.163411,0.163411,0.026703
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,Tab-LSTM,test,34.366665,36.443002,2.076337,2.076337,4.311175
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,Tab-LSTM,test,34.366665,35.424444,1.057779,1.057779,1.118896
Negev_summer_2021-09-28,2021-09-28,Negev,summer,anchor,Tab-LSTM,test,34.025002,33.471269,-0.553733,0.553733,0.30662
