sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,Tab-LSTM,test,36.841667,37.498998,0.657331,0.657331,0.432084,36.841667,37.498998,36.158333,35.924457,34.025002,34.272476
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,Tab-LSTM,test,36.950001,36.227109,-0.722892,0.722892,0.522573,36.950001,36.227109,36.650002,34.717811,35.133335,33.280824
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,Tab-LSTM,test,36.950001,36.762063,-0.187938,0.187938,0.035321,36.950001,36.762063,36.650002,35.450313,34.791668,34.168748
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,Tab-LSTM,test,36.858334,36.882007,0.023673,0.023673,0.00056,36.858334,36.882007,36.016666,35.585626,34.783333,34.320605
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,Tab-LSTM,test,38.958332,36.373547,-2.584785,2.584785,6.681113,38.958332,36.373547,36.858334,35.075132,35.133335,33.79073
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,Tab-LSTM,test,39.799999,36.530918,-3.269081,3.269081,10.686891,39.799999,36.530918,37.941666,35.338573,35.266666,34.111579
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,Tab-LSTM,test,39.799999,36.563357,-3.236642,3.236642,10.475851,39.799999,36.563357,37.549999,35.36424,35.025002,34.127353
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,Tab-LSTM,test,39.799999,36.106271,-3.693728,3.693728,13.643627,39.799999,36.106271,37.549999,34.89069,35.25,33.597834
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,Tab-LSTM,test,39.799999,36.514063,-3.285936,3.285936,10.797375,39.799999,36.514063,37.549999,35.361052,35.266666,34.139036
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,Tab-LSTM,test,36.391666,36.54202,0.150354,0.150354,0.022606,36.391666,36.54202,35.549999,35.063145,34.866665,33.472195
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,Tab-LSTM,test,35.941666,36.407437,0.465771,0.465771,0.216943,35.941666,36.407437,35.150002,35.206865,33.924999,33.940445
Negev_summer_2021-08-21,2021-08-21,Negev,summer,soft,Tab-LSTM,test,35.941666,35.867399,-0.074267,0.074267,0.005516,35.941666,35.867399,35.150002,34.549331,33.858334,33.190506
Negev_summer_2021-08-28,2021-08-28,Negev,summer,soft,Tab-LSTM,test,35.383335,35.406326,0.022991,0.022991,0.000529,35.383335,35.406326,34.133335,33.989968,32.849998,32.465912
Negev_summer_2021-09-01,2021-09-01,Negev,summer,soft,Tab-LSTM,test,34.366665,35.306021,0.939356,0.939356,0.88239,34.366665,35.306021,33.875,33.861329,32.116665,32.313809
Negev_summer_2021-09-07,2021-09-07,Negev,summer,soft,Tab-LSTM,test,34.366665,34.376098,0.009433,0.009433,8.9e-05,34.366665,34.376098,32.791668,32.739874,30.333334,30.93915
Negev_summer_2021-09-14,2021-09-14,Negev,summer,soft,Tab-LSTM,test,34.025002,34.540057,0.515055,0.515055,0.265282,34.025002,34.540057,32.566666,32.915036,30.333334,31.066526
Negev_summer_2021-09-21,2021-09-21,Negev,summer,soft,Tab-LSTM,test,34.025002,33.306719,-0.718283,0.718283,0.51593,34.025002,33.306719,30.908333,31.630325,29.950001,29.663078
Negev_summer_2021-09-28,2021-09-28,Negev,summer,soft,Tab-LSTM,test,30.958334,31.272841,0.314507,0.314507,0.098915,30.958334,31.272841,30.516666,29.425729,28.658333,27.356957
Negev_summer_2021-10-01,2021-10-01,Negev,summer,soft,Tab-LSTM,test,31.15,31.600091,0.450091,0.450091,0.202582,31.15,31.600091,30.841667,29.753392,28.658333,27.636675
Negev_summer_2021-10-07,2021-10-07,Negev,summer,soft,Tab-LSTM,test,31.799999,30.285855,-1.514144,1.514144,2.292632,31.799999,30.285855,30.858334,28.408251,27.841667,26.328881
Negev_summer_2021-10-14,2021-10-14,Negev,summer,soft,Tab-LSTM,test,30.958334,31.287231,0.328897,0.328897,0.108173,30.958334,31.287231,29.875,29.455544,27.141666,27.276299
Negev_summer_2021-10-21,2021-10-21,Negev,summer,soft,Tab-LSTM,test,30.116667,29.396657,-0.72001,0.72001,0.518414,30.116667,29.396657,29.458334,27.564265,26.883333,25.521953
Negev_summer_2021-10-28,2021-10-28,Negev,summer,soft,Tab-LSTM,test,30.116667,27.598791,-2.517876,2.517876,6.3397,30.116667,27.598791,29.458334,25.858364,25.674999,23.619862
Negev_summer_2021-11-01,2021-11-01,Negev,summer,soft,Tab-LSTM,test,30.116667,27.422338,-2.694329,2.694329,7.259409,30.116667,27.422338,29.299999,25.491363,25.641666,23.099998
Negev_summer_2021-11-07,2021-11-07,Negev,summer,soft,Tab-LSTM,test,29.458334,26.983259,-2.475075,2.475075,6.125996,29.458334,26.983259,27.141666,25.383504,23.491667,23.056283
Negev_summer_2021-11-14,2021-11-14,Negev,summer,soft,Tab-LSTM,test,29.091667,25.994634,-3.097033,3.097033,9.591613,29.091667,25.994634,25.391666,24.625117,22.683332,22.28881
Negev_summer_2021-11-21,2021-11-21,Negev,summer,soft,Tab-LSTM,test,29.091667,24.444042,-4.647625,4.647625,21.600418,29.091667,24.444042,23.933332,22.827249,21.291666,20.417787
Negev_summer_2021-11-28,2021-11-28,Negev,summer,soft,Tab-LSTM,test,29.091667,25.099446,-3.992221,3.992221,15.937829,29.091667,25.099446,22.1,23.112915,19.316668,20.195558
Negev_summer_2021-12-01,2021-12-01,Negev,summer,soft,Tab-LSTM,test,23.933332,25.295763,1.362431,1.362431,1.856218,23.933332,25.295763,21.291666,22.709426,18.308332,19.952788
Negev_summer_2021-12-07,2021-12-07,Negev,summer,soft,Tab-LSTM,test,23.933332,22.793212,-1.14012,1.14012,1.299874,23.933332,22.793212,18.541666,20.744354,17.141666,18.26999
Negev_summer_2021-12-14,2021-12-14,Negev,summer,soft,Tab-LSTM,test,20.799999,22.300402,1.500403,1.500403,2.251209,20.799999,22.300402,18.466667,20.11228,16.808332,17.798457
Negev_summer_2021-12-21,2021-12-21,Negev,summer,soft,Tab-LSTM,test,20.433332,20.876366,0.443034,0.443034,0.196279,20.433332,20.876366,18.308332,18.902787,16.616667,16.794962
Negev_summer_2021-12-28,2021-12-28,Negev,summer,soft,Tab-LSTM,test,20.433332,22.13418,1.700848,1.700848,2.892884,20.433332,22.13418,18.308332,20.008535,15.875,17.552127
Negev_summer_2022-01-01,2022-01-01,Negev,summer,soft,Tab-LSTM,test,20.433332,21.725558,1.292226,1.292226,1.669848,20.433332,21.725558,18.091667,19.640575,15.041667,17.272433
Negev_summer_2022-01-07,2022-01-07,Negev,summer,soft,Tab-LSTM,test,20.433332,22.04477,1.611438,1.611438,2.596732,20.433332,22.04477,18.283333,19.95531,14.016666,17.510069
Negev_summer_2022-01-14,2022-01-14,Negev,summer,soft,Tab-LSTM,test,18.858334,23.64312,4.784786,4.784786,22.894177,18.858334,23.64312,16.358334,21.252171,13.516666,18.357052
Negev_summer_2022-01-21,2022-01-21,Negev,summer,soft,Tab-LSTM,test,19.816668,23.97739,4.160722,4.160722,17.311608,19.816668,23.97739,17.9,21.504004,15.4,18.453782
Negev_summer_2022-01-28,2022-01-28,Negev,summer,soft,Tab-LSTM,test,21.125,24.113882,2.988882,2.988882,8.933416,21.125,24.113882,18.858334,21.599954,16.65,18.50539
Negev_summer_2022-02-01,2022-02-01,Negev,summer,soft,Tab-LSTM,test,21.608334,23.933956,2.325622,2.325622,5.408518,21.608334,23.933956,19.816668,21.471107,17.9,18.454332
Negev_summer_2022-02-07,2022-02-07,Negev,summer,soft,Tab-LSTM,test,24.633333,24.038871,-0.594462,0.594462,0.353385,24.633333,24.038871,20.716667,21.557831,18.716667,18.47065
Negev_summer_2022-02-14,2022-02-14,Negev,summer,soft,Tab-LSTM,test,24.633333,26.37433,1.740997,1.740997,3.031071,24.633333,26.37433,20.716667,23.711866,18.558332,20.291784
Negev_summer_2022-02-21,2022-02-21,Negev,summer,soft,Tab-LSTM,test,24.633333,25.568857,0.935524,0.935524,0.875205,24.633333,25.568857,20.716667,22.935508,18.0,19.528717
Negev_summer_2022-02-28,2022-02-28,Negev,summer,soft,Tab-LSTM,test,25.116667,27.229025,2.112358,2.112358,4.462056,25.116667,27.229025,20.716667,24.378087,17.0,20.689306
Negev_summer_2022-03-01,2022-03-01,Negev,summer,soft,Tab-LSTM,test,25.116667,28.223578,3.106911,3.106911,9.652896,25.116667,28.223578,21.40909,25.329855,17.0,21.628648
Negev_summer_2022-03-07,2022-03-07,Negev,summer,soft,Tab-LSTM,test,32.718182,29.625655,-3.092527,3.092527,9.563723,32.718182,29.625655,27.00909,26.489679,17.872726,22.743223
Negev_summer_2022-03-14,2022-03-14,Negev,summer,soft,Tab-LSTM,test,33.090908,28.658667,-4.432241,4.432241,19.64476,33.090908,28.658667,30.390909,25.545397,21.40909,21.761111
Negev_summer_2022-03-21,2022-03-21,Negev,summer,soft,Tab-LSTM,test,34.991665,28.731612,-6.260053,6.260053,39.188264,34.991665,28.731612,30.645454,25.611916,26.5,21.847362
Negev_summer_2022-03-28,2022-03-28,Negev,summer,soft,Tab-LSTM,test,34.991665,29.222167,-5.769498,5.769498,33.287107,34.991665,29.222167,31.491667,26.094778,27.641666,22.400395
Negev_summer_2022-04-01,2022-04-01,Negev,summer,soft,Tab-LSTM,test,35.436363,31.611182,-3.825181,3.825181,14.63201,35.436363,31.611182,33.090908,28.355306,28.591667,24.773756
Negev_summer_2022-04-07,2022-04-07,Negev,summer,soft,Tab-LSTM,test,35.641666,35.01236,-0.629306,0.629306,0.396026,35.641666,35.01236,31.491667,31.884112,27.591667,27.588458
Negev_summer_2022-04-14,2022-04-14,Negev,summer,soft,Tab-LSTM,test,35.641666,34.429091,-1.212575,1.212575,1.470338,35.641666,34.429091,32.316666,32.004659,27.866667,29.03813
Negev_summer_2022-04-21,2022-04-21,Negev,summer,soft,Tab-LSTM,test,35.641666,34.859798,-0.781868,0.781868,0.611318,35.641666,34.859798,32.316666,32.20536,28.491667,28.789475
Negev_summer_2022-04-28,2022-04-28,Negev,summer,soft,Tab-LSTM,test,35.641666,35.273251,-0.368415,0.368415,0.13573,35.641666,35.273251,32.599998,33.257166,30.416666,30.78427
Negev_summer_2022-05-01,2022-05-01,Negev,summer,soft,Tab-LSTM,test,35.372726,35.904121,0.531395,0.531395,0.282381,35.372726,35.904121,32.599998,33.830378,30.666666,31.042278
Negev_summer_2022-05-07,2022-05-07,Negev,summer,soft,Tab-LSTM,test,34.836365,36.53431,1.697945,1.697945,2.883017,34.836365,36.53431,33.625,34.355234,31.483334,31.227986
Negev_summer_2022-05-14,2022-05-14,Negev,summer,soft,Tab-LSTM,test,36.5,36.58251,0.08251,0.08251,0.006808,36.5,36.58251,34.790909,34.279315,32.754547,30.576694
Negev_summer_2022-05-21,2022-05-21,Negev,summer,soft,Tab-LSTM,test,36.183334,36.688639,0.505305,0.505305,0.255333,36.183334,36.688639,33.854546,34.813484,32.583332,32.218581
Negev_summer_2022-05-28,2022-05-28,Negev,summer,soft,Tab-LSTM,test,36.183334,37.254808,1.071474,1.071474,1.148057,36.183334,37.254808,34.666668,35.517315,32.754547,33.494989
Negev_summer_2022-06-01,2022-06-01,Negev,summer,soft,Tab-LSTM,test,36.183334,37.617205,1.433871,1.433871,2.055986,36.183334,37.617205,33.791668,35.99067,32.754547,34.249133
Negev_summer_2022-06-07,2022-06-07,Negev,summer,soft,Tab-LSTM,test,36.183334,37.509937,1.326603,1.326603,1.759876,36.183334,37.509937,33.791668,35.893206,33.116665,34.169655
Negev_summer_2022-06-14,2022-06-14,Negev,summer,soft,Tab-LSTM,test,34.666668,37.190816,2.524148,2.524148,6.371323,34.666668,37.190816,33.75,35.65882,33.125,34.096763
Negev_summer_2022-06-21,2022-06-21,Negev,summer,soft,Tab-LSTM,test,35.450001,37.042547,1.592546,1.592546,2.536203,35.450001,37.042547,33.808334,35.658457,33.333332,34.315509
Negev_summer_2022-06-28,2022-06-28,Negev,summer,soft,Tab-LSTM,test,35.841667,37.01257,1.170903,1.170903,1.371014,35.841667,37.01257,34.724998,35.695248,33.450001,34.418796
