sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,Tab-TFT,test,38.108334,39.700172,1.591838,1.591838,2.533948
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,Tab-TFT,test,38.958332,39.342553,0.384221,0.384221,0.147626
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,Tab-TFT,test,38.958332,38.995386,0.037054,0.037054,0.001373
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,Tab-TFT,test,38.958332,38.937392,-0.02094,0.02094,0.000438
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,Tab-TFT,test,39.833332,38.501687,-1.331645,1.331645,1.773278
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,Tab-TFT,test,40.091667,38.320039,-1.771628,1.771628,3.138666
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,Tab-TFT,test,40.091667,37.769907,-2.32176,2.32176,5.390569
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,Tab-TFT,test,40.091667,37.476816,-2.614851,2.614851,6.837446
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,Tab-TFT,test,40.091667,37.300315,-2.791352,2.791352,7.791646
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,Tab-TFT,test,40.091667,37.073432,-3.018235,3.018235,9.109743
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,Tab-TFT,test,36.391666,36.839888,0.448222,0.448222,0.200903
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,Tab-TFT,test,36.391666,36.613658,0.221992,0.221992,0.04928
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,Tab-TFT,test,36.008335,36.801599,0.793264,0.793264,0.629268
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,Tab-TFT,test,36.008335,36.730135,0.7218,0.7218,0.520995
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,Tab-TFT,test,36.008335,36.729145,0.72081,0.72081,0.519567
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,Tab-TFT,test,34.366665,36.573414,2.206749,2.206749,4.869741
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,Tab-TFT,test,34.366665,36.473157,2.106492,2.106492,4.437309
Negev_summer_2021-09-28,2021-09-28,Negev,summer,anchor,Tab-TFT,test,34.025002,35.549647,1.524645,1.524645,2.324542
Negev_summer_2021-10-01,2021-10-01,Negev,summer,anchor,Tab-TFT,test,34.025002,35.840225,1.815223,1.815223,3.295035
Negev_summer_2021-10-07,2021-10-07,Negev,summer,anchor,Tab-TFT,test,34.025002,35.140241,1.115239,1.115239,1.243758
Negev_summer_2021-10-14,2021-10-14,Negev,summer,anchor,Tab-TFT,test,31.808332,33.898037,2.089705,2.089705,4.366867
Negev_summer_2021-10-21,2021-10-21,Negev,summer,anchor,Tab-TFT,test,31.808332,30.10136,-1.706972,1.706972,2.913753
Negev_summer_2021-10-28,2021-10-28,Negev,summer,anchor,Tab-TFT,test,31.808332,29.46508,-2.343252,2.343252,5.49083
Negev_summer_2021-11-01,2021-11-01,Negev,summer,anchor,Tab-TFT,test,31.808332,29.580929,-2.227403,2.227403,4.961324
Negev_summer_2021-11-07,2021-11-07,Negev,summer,anchor,Tab-TFT,test,31.5,28.73168,-2.76832,2.76832,7.663596
Negev_summer_2021-11-14,2021-11-14,Negev,summer,anchor,Tab-TFT,test,31.5,25.569834,-5.930166,5.930166,35.166869
Negev_summer_2021-11-21,2021-11-21,Negev,summer,anchor,Tab-TFT,test,31.5,23.546228,-7.953772,7.953772,63.262489
Negev_summer_2021-11-28,2021-11-28,Negev,summer,anchor,Tab-TFT,test,31.5,25.546222,-5.953778,5.953778,35.447472
Negev_summer_2021-12-01,2021-12-01,Negev,summer,anchor,Tab-TFT,test,25.841667,26.323394,0.481727,0.481727,0.232061
Negev_summer_2021-12-07,2021-12-07,Negev,summer,anchor,Tab-TFT,test,25.841667,21.82029,-4.021377,4.021377,16.171473
Negev_summer_2021-12-14,2021-12-14,Negev,summer,anchor,Tab-TFT,test,21.583334,22.131768,0.548434,0.548434,0.30078
Negev_summer_2021-12-21,2021-12-21,Negev,summer,anchor,Tab-TFT,test,21.583334,20.326836,-1.256498,1.256498,1.578787
Negev_summer_2021-12-28,2021-12-28,Negev,summer,anchor,Tab-TFT,test,21.583334,21.046987,-0.536347,0.536347,0.287668
Negev_summer_2022-01-01,2022-01-01,Negev,summer,anchor,Tab-TFT,test,21.583334,20.901835,-0.681499,0.681499,0.464441
Negev_summer_2022-01-07,2022-01-07,Negev,summer,anchor,Tab-TFT,test,21.583334,21.58824,0.004906,0.004906,2.4e-05
Negev_summer_2022-01-14,2022-01-14,Negev,summer,anchor,Tab-TFT,test,21.125,21.954282,0.829282,0.829282,0.687709
Negev_summer_2022-01-21,2022-01-21,Negev,summer,anchor,Tab-TFT,test,21.125,22.866941,1.741941,1.741941,3.034358
Negev_summer_2022-01-28,2022-01-28,Negev,summer,anchor,Tab-TFT,test,24.633333,23.527587,-1.105746,1.105746,1.222674
Negev_summer_2022-02-01,2022-02-01,Negev,summer,anchor,Tab-TFT,test,25.116667,24.338596,-0.778071,0.778071,0.605394
Negev_summer_2022-02-07,2022-02-07,Negev,summer,anchor,Tab-TFT,test,27.583334,25.126325,-2.457009,2.457009,6.036893
Negev_summer_2022-02-14,2022-02-14,Negev,summer,anchor,Tab-TFT,test,27.583334,26.852014,-0.73132,0.73132,0.534829
Negev_summer_2022-02-21,2022-02-21,Negev,summer,anchor,Tab-TFT,test,27.583334,27.431984,-0.15135,0.15135,0.022907
Negev_summer_2022-02-28,2022-02-28,Negev,summer,anchor,Tab-TFT,test,27.836363,28.564518,0.728155,0.728155,0.53021
Negev_summer_2022-03-01,2022-03-01,Negev,summer,anchor,Tab-TFT,test,27.836363,29.15194,1.315577,1.315577,1.730743
Negev_summer_2022-03-07,2022-03-07,Negev,summer,anchor,Tab-TFT,test,34.31818,29.848587,-4.469593,4.469593,19.977262
Negev_summer_2022-03-14,2022-03-14,Negev,summer,anchor,Tab-TFT,test,35.436363,31.074656,-4.361707,4.361707,19.024488
Negev_summer_2022-03-21,2022-03-21,Negev,summer,anchor,Tab-TFT,test,37.254547,32.347554,-4.906993,4.906993,24.07858
Negev_summer_2022-03-28,2022-03-28,Negev,summer,anchor,Tab-TFT,test,37.254547,32.740679,-4.513868,4.513868,20.375004
Negev_summer_2022-04-01,2022-04-01,Negev,summer,anchor,Tab-TFT,test,37.254547,34.706805,-2.547742,2.547742,6.490989
Negev_summer_2022-04-07,2022-04-07,Negev,summer,anchor,Tab-TFT,test,37.254547,35.761297,-1.49325,1.49325,2.229796
Negev_summer_2022-04-14,2022-04-14,Negev,summer,anchor,Tab-TFT,test,37.254547,35.547567,-1.70698,1.70698,2.913781
Negev_summer_2022-04-21,2022-04-21,Negev,summer,anchor,Tab-TFT,test,38.224998,36.266489,-1.958509,1.958509,3.835758
Negev_summer_2022-04-28,2022-04-28,Negev,summer,anchor,Tab-TFT,test,38.224998,36.913724,-1.311274,1.311274,1.71944
Negev_summer_2022-05-01,2022-05-01,Negev,summer,anchor,Tab-TFT,test,38.224998,39.400246,1.175248,1.175248,1.381208
Negev_summer_2022-05-07,2022-05-07,Negev,summer,anchor,Tab-TFT,test,38.224998,38.540114,0.315116,0.315116,0.099298
Negev_summer_2022-05-14,2022-05-14,Negev,summer,anchor,Tab-TFT,test,39.075001,39.48982,0.414819,0.414819,0.172075
Negev_summer_2022-05-21,2022-05-21,Negev,summer,anchor,Tab-TFT,test,39.075001,39.447849,0.372848,0.372848,0.139016
Negev_summer_2022-05-28,2022-05-28,Negev,summer,anchor,Tab-TFT,test,39.075001,39.929922,0.854921,0.854921,0.73089
Negev_summer_2022-06-01,2022-06-01,Negev,summer,anchor,Tab-TFT,test,39.075001,40.193344,1.118343,1.118343,1.250691
Negev_summer_2022-06-07,2022-06-07,Negev,summer,anchor,Tab-TFT,test,39.075001,39.68341,0.608409,0.608409,0.370162
Negev_summer_2022-06-14,2022-06-14,Negev,summer,anchor,Tab-TFT,test,34.724998,39.990085,5.265087,5.265087,27.721141
Negev_summer_2022-06-21,2022-06-21,Negev,summer,anchor,Tab-TFT,test,36.875,39.798769,2.923769,2.923769,8.548425
