sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,Tab-TFT,test,36.841667,37.784356,0.942689,0.942689,0.888663,36.841667,37.784356,36.158333,36.3684,34.025002,34.615812
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,Tab-TFT,test,36.950001,37.626398,0.676397,0.676397,0.457513,36.950001,37.626398,36.650002,36.412393,35.133335,34.950678
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,Tab-TFT,test,36.950001,37.484941,0.53494,0.53494,0.286161,36.950001,37.484941,36.650002,36.41887,34.791668,35.183308
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,Tab-TFT,test,36.858334,37.519789,0.661455,0.661455,0.437523,36.858334,37.519789,36.016666,36.500529,34.783333,35.320303
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,Tab-TFT,test,38.958332,37.225218,-1.733114,1.733114,3.003684,38.958332,37.225218,36.858334,36.302815,35.133335,35.27495
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,Tab-TFT,test,39.799999,37.164875,-2.635124,2.635124,6.943878,39.799999,37.164875,37.941666,36.28018,35.266666,35.296233
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,Tab-TFT,test,39.799999,36.736352,-3.063647,3.063647,9.385933,39.799999,36.736352,37.549999,35.880784,35.025002,34.962868
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,Tab-TFT,test,39.799999,36.491601,-3.308398,3.308398,10.945497,39.799999,36.491601,37.549999,35.622956,35.25,34.697059
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,Tab-TFT,test,39.799999,36.342145,-3.457854,3.457854,11.956754,39.799999,36.342145,37.549999,35.450594,35.266666,34.506759
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,Tab-TFT,test,36.391666,35.835531,-0.556135,0.556135,0.309286,36.391666,35.835531,35.549999,34.670307,34.866665,33.447059
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,Tab-TFT,test,35.941666,35.672139,-0.269527,0.269527,0.072645,35.941666,35.672139,35.150002,34.55379,33.924999,33.397564
Negev_summer_2021-08-21,2021-08-21,Negev,summer,soft,Tab-TFT,test,35.941666,35.418525,-0.523141,0.523141,0.273677,35.941666,35.418525,35.150002,34.249555,33.858334,33.056558
Negev_summer_2021-08-28,2021-08-28,Negev,summer,soft,Tab-TFT,test,35.383335,35.318897,-0.064438,0.064438,0.004152,35.383335,35.318897,34.133335,33.933618,32.849998,32.510935
Negev_summer_2021-09-01,2021-09-01,Negev,summer,soft,Tab-TFT,test,34.366665,35.071601,0.704936,0.704936,0.496935,34.366665,35.071601,33.875,33.564427,32.116665,32.030707
Negev_summer_2021-09-07,2021-09-07,Negev,summer,soft,Tab-TFT,test,34.366665,34.862099,0.495434,0.495434,0.245455,34.366665,34.862099,32.791668,33.179743,30.333334,31.453338
Negev_summer_2021-09-14,2021-09-14,Negev,summer,soft,Tab-TFT,test,34.025002,34.572466,0.547464,0.547464,0.299717,34.025002,34.572466,32.566666,32.764185,30.333334,30.919763
Negev_summer_2021-09-21,2021-09-21,Negev,summer,soft,Tab-TFT,test,34.025002,34.449802,0.4248,0.4248,0.180455,34.025002,34.449802,30.908333,32.591372,29.950001,30.661178
Negev_summer_2021-09-28,2021-09-28,Negev,summer,soft,Tab-TFT,test,30.958334,33.355643,2.397309,2.397309,5.74709,30.958334,33.355643,30.516666,31.326391,28.658333,29.177783
Negev_summer_2021-10-01,2021-10-01,Negev,summer,soft,Tab-TFT,test,31.15,33.68499,2.53499,2.53499,6.426174,31.15,33.68499,30.841667,31.684454,28.658333,29.575277
Negev_summer_2021-10-07,2021-10-07,Negev,summer,soft,Tab-TFT,test,31.799999,32.875361,1.075362,1.075362,1.156403,31.799999,32.875361,30.858334,30.747685,27.841667,28.46437
Negev_summer_2021-10-14,2021-10-14,Negev,summer,soft,Tab-TFT,test,30.958334,31.705387,0.747053,0.747053,0.558088,30.958334,31.705387,29.875,29.60485,27.141666,27.290825
Negev_summer_2021-10-21,2021-10-21,Negev,summer,soft,Tab-TFT,test,30.116667,28.194271,-1.922396,1.922396,3.695606,30.116667,28.194271,29.458334,26.399728,26.883333,24.289775
Negev_summer_2021-10-28,2021-10-28,Negev,summer,soft,Tab-TFT,test,30.116667,27.581384,-2.535283,2.535283,6.42766,30.116667,27.581384,29.458334,25.815412,25.674999,23.702296
