sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,Climatology,test,32.483334,30.716792,-1.766542,1.766542,3.120671
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,Climatology,test,32.483334,30.716792,-1.766542,1.766542,3.120671
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,Climatology,test,32.483334,31.57567,-0.907664,0.907664,0.823854
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,Climatology,test,32.533333,31.57567,-0.957663,0.957663,0.917118
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,Climatology,test,34.583332,31.686434,-2.896898,2.896898,8.392018
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,Climatology,test,35.116665,31.686434,-3.430231,3.430231,11.766485
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,Climatology,test,35.116665,31.686434,-3.430231,3.430231,11.766485
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,Climatology,test,35.116665,31.686434,-3.430231,3.430231,11.766485
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,Climatology,test,35.116665,31.686434,-3.430231,3.430231,11.766485
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,Climatology,test,34.299999,31.589864,-2.710135,2.710135,7.344832
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,Climatology,test,33.366665,31.589864,-1.776801,1.776801,3.157022
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,Climatology,test,33.366665,31.589864,-1.776801,1.776801,3.157022
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,Climatology,test,33.808334,31.102968,-2.705366,2.705366,7.319005
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,Climatology,test,33.808334,30.984565,-2.823769,2.823769,7.973671
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,Climatology,test,33.808334,30.984565,-2.823769,2.823769,7.973671
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,Climatology,test,33.808334,30.531156,-3.277178,3.277178,10.739896
