sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,Climatology,test,32.416668,30.389698,-2.02697,2.02697,4.108607,32.416668,30.389698,31.691668,30.040281,30.85,29.625645
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,Climatology,test,32.416668,30.63142,-1.785248,1.785248,3.18711,32.416668,30.63142,32.283333,30.433737,31.308332,30.035173
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,Climatology,test,32.416668,31.202204,-1.214464,1.214464,1.474923,32.416668,31.202204,32.283333,30.716792,31.483334,30.389698
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,Climatology,test,32.416668,31.202204,-1.214464,1.214464,1.474923,32.416668,31.202204,32.258335,30.915268,31.483334,30.573073
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,Climatology,test,34.166668,31.539257,-2.627411,2.627411,6.903289,34.166668,31.539257,32.466667,31.202204,31.725,30.720722
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,Climatology,test,34.299999,31.539257,-2.760742,2.760742,7.621696,34.299999,31.539257,33.133335,31.227527,32.272728,31.035952
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,Climatology,test,34.299999,31.539257,-2.760742,2.760742,7.621696,34.299999,31.539257,33.216667,31.233366,32.466667,31.149913
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,Climatology,test,34.299999,31.539257,-2.760742,2.760742,7.621696,34.299999,31.539257,33.216667,31.43432,32.466667,31.21389
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,Climatology,test,34.299999,31.539257,-2.760742,2.760742,7.621696,34.299999,31.539257,33.366665,31.43432,32.333332,31.21389
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,Climatology,test,33.216667,31.462525,-1.754142,1.754142,3.077014,33.216667,31.462525,32.741665,31.300766,32.125,31.115306
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,Climatology,test,32.741665,31.462525,-1.27914,1.27914,1.636199,32.741665,31.462525,32.158333,31.300766,31.658333,31.040493
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,Climatology,test,32.266666,31.43432,-0.832346,0.832346,0.6928,32.266666,31.43432,32.033333,31.143311,31.416666,30.627418
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,Climatology,test,32.266666,30.984565,-1.282101,1.282101,1.643783,32.266666,30.984565,31.758333,30.711755,30.941668,30.469439
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,Climatology,test,32.033333,30.711755,-1.321578,1.321578,1.746568,32.033333,30.711755,31.416666,30.538345,30.65,30.301948
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,soft,Climatology,test,31.9,30.531156,-1.368844,1.368844,1.873734,31.9,30.531156,30.700001,30.440942,29.783333,30.011688
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,soft,Climatology,test,31.325001,30.23708,-1.087921,1.087921,1.183572,31.325001,30.23708,30.466667,30.115085,29.450001,29.440909
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,soft,Climatology,test,30.65,29.861522,-0.788478,0.788478,0.621698,30.65,29.861522,29.725,29.517212,28.708334,28.935598
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,soft,Climatology,test,29.633333,29.528821,-0.104512,0.104512,0.010923,29.633333,29.528821,28.858334,29.062554,28.225,28.384001
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,soft,Climatology,test,30.0,29.482705,-0.517295,0.517295,0.267594,30.0,29.482705,29.066668,28.878466,28.208334,28.226567
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,soft,Climatology,test,30.0,28.878466,-1.121534,1.121534,1.257839,30.0,28.878466,29.066668,28.384001,27.283333,27.740209
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,soft,Climatology,test,30.758333,28.755404,-2.002929,2.002929,4.011725,30.758333,28.755404,29.725,28.092468,27.058332,26.392538
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,soft,Climatology,test,30.758333,27.737657,-3.020676,3.020676,9.124483,30.758333,27.737657,29.030769,26.56071,26.946154,25.206161
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,soft,Climatology,test,30.758333,25.40501,-5.353323,5.353323,28.658067,30.758333,25.40501,29.030769,25.207692,26.841667,24.352597
