sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,32.483334,34.930528,2.447195,2.447195,5.988762
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,32.483334,34.398388,1.915054,1.915054,3.667433
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,32.483334,33.832438,1.349104,1.349104,1.820082
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,32.533333,34.294691,1.761358,1.761358,3.102383
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,34.583332,33.812469,-0.770863,0.770863,0.594229
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,35.116665,33.365382,-1.751283,1.751283,3.066992
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,35.116665,33.308597,-1.808068,1.808068,3.269110
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,35.116665,33.278967,-1.837698,1.837698,3.377135
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,35.116665,33.806512,-1.310153,1.310153,1.716502
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,34.299999,35.306070,1.006071,1.006071,1.012178
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.366665,33.635759,0.269094,0.269094,0.072412
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.366665,33.948035,0.581370,0.581370,0.337991
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.808334,33.634712,-0.173623,0.173623,0.030145
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.808334,33.824249,0.015914,0.015914,0.000253
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.808334,34.508187,0.699853,0.699853,0.489794
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.808334,35.158947,1.350612,1.350612,1.824154
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.808334,35.712426,1.904091,1.904091,3.625564
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.650000,34.389445,3.739446,3.739446,13.983455
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.758333,34.375486,3.617153,3.617153,13.083794
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.758333,33.450108,2.691775,2.691775,7.245652
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.984615,35.018103,4.033488,4.033488,16.269023
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.984615,31.916093,0.931478,0.931478,0.867651
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.984615,32.515294,1.530679,1.530679,2.342977
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.984615,29.065229,-1.919386,1.919386,3.684042
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.984615,31.260182,0.275566,0.275566,0.075937
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,29.815384,26.962573,-2.852811,2.852811,8.138528
Northwest_summer_2021-11-21,2021-11-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,29.815384,27.448285,-2.367099,2.367099,5.603155
Northwest_summer_2021-11-28,2021-11-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,29.815384,27.041824,-2.773560,2.773560,7.692633
Northwest_summer_2021-12-01,2021-12-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.684616,29.700993,4.016377,4.016377,16.131283
Northwest_summer_2021-12-07,2021-12-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.684616,24.314103,-1.370513,1.370513,1.878305
Northwest_summer_2021-12-14,2021-12-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,23.161539,23.863904,0.702365,0.702365,0.493317
Northwest_summer_2021-12-21,2021-12-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,22.092308,22.568102,0.475794,0.475794,0.226380
Northwest_summer_2021-12-28,2021-12-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,22.092308,23.214770,1.122462,1.122462,1.259920
Northwest_summer_2022-01-01,2022-01-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,22.092308,22.242885,0.150577,0.150577,0.022674
