sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,31.652779,31.097168,-0.555610,0.555610,0.364563,32.416668,32.115522,31.691668,31.196514,30.850000,29.979470
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.002778,30.723865,-1.278912,1.278912,1.842215,32.416668,31.768116,32.283333,30.798246,31.308332,29.605235
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.061111,31.873148,-0.187963,0.187963,0.052041,32.416668,32.397717,32.283333,31.950515,31.483334,31.271213
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.052779,32.053384,0.000605,0.136660,0.022339,32.416668,32.622565,32.258335,32.112705,31.483334,31.424881
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.786112,31.589661,-1.196451,1.196451,1.728369,34.166668,32.200120,32.466667,31.632385,31.725000,30.936478
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,33.235354,31.757608,-1.477746,1.477746,2.388322,34.299999,32.207368,33.133335,31.810322,32.272728,31.255134
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,33.327778,31.804085,-1.523693,1.523693,2.475343,34.299999,32.238450,33.216667,31.845334,32.466667,31.328470
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,33.327778,31.776753,-1.551025,1.551025,2.569737,34.299999,32.191626,33.216667,31.829821,32.466667,31.308811
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,33.333332,31.972020,-1.361312,1.361312,2.007491,34.299999,32.451519,33.366665,32.017679,32.333332,31.446860
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.694444,31.214552,-1.479892,1.479892,2.468295,33.216667,32.418410,32.741665,31.183350,32.125000,30.041896
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.186110,31.908179,-0.277931,0.277931,0.081240,32.741665,32.384401,32.158333,31.955731,31.658333,31.384405
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,31.905555,31.659011,-0.246544,0.246544,0.088831,32.266666,32.251625,32.033333,31.714348,31.416666,31.011060
