sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.483334,34.757486,2.274152,2.274152,5.171767
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.483334,32.331003,-0.152331,0.152331,0.023205
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.483334,33.622909,1.139575,1.139575,1.298631
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,32.533333,33.888112,1.354779,1.354779,1.835426
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.583332,33.229979,-1.353353,1.353353,1.831564
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.116665,33.254396,-1.862269,1.862269,3.468046
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.116665,32.996964,-2.119701,2.119701,4.493132
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.116665,33.027173,-2.089492,2.089492,4.365977
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,35.116665,33.093599,-2.023066,2.023066,4.092796
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,34.299999,34.054295,-0.245704,0.245704,0.06037
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.366665,33.266176,-0.100489,0.100489,0.010098
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.366665,32.945168,-0.421497,0.421497,0.17766
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.808334,33.393413,-0.414921,0.414921,0.172159
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.808334,33.545858,-0.262476,0.262476,0.068894
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.808334,33.707261,-0.101073,0.101073,0.010216
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.808334,34.514012,0.705678,0.705678,0.497981
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,33.808334,35.685538,1.877204,1.877204,3.523895
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,30.65,34.101406,3.451406,3.451406,11.912203
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,30.758333,34.475872,3.717539,3.717539,13.820096
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,30.758333,34.370522,3.612189,3.612189,13.047909
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,anchor,ConvNeXtTiny-TFT-NN,test,30.984615,31.633458,0.648843,0.648843,0.420997
