sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.416668,32.035371,-0.381297,0.381297,0.145387,32.416668,32.035371,31.691668,30.925723,30.85,29.760347
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.416668,31.377518,-1.03915,1.03915,1.079833,32.416668,31.377518,32.283333,30.773134,31.308332,29.977551
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.416668,32.358449,-0.058219,0.058219,0.003389,32.416668,32.358449,32.283333,31.742526,31.483334,30.998491
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.416668,32.529598,0.11293,0.11293,0.012753,32.416668,32.529598,32.258335,31.900003,31.483334,31.143787
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,34.166668,32.304472,-1.862196,1.862196,3.467774,34.166668,32.304472,32.466667,31.809809,31.725,31.145456
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,34.299999,32.488483,-1.811516,1.811516,3.28159,34.299999,32.488483,33.133335,32.036903,32.272728,31.407609
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,34.299999,32.334901,-1.965098,1.965098,3.86161,34.299999,32.334901,33.216667,31.928265,32.466667,31.337798
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,34.299999,32.37739,-1.922609,1.922609,3.696425,34.299999,32.37739,33.216667,31.97141,32.466667,31.395075
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,34.299999,32.209586,-2.090413,2.090413,4.369827,34.299999,32.209586,33.366665,31.784796,32.333332,31.198595
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,33.216667,32.36312,-0.853547,0.853547,0.728542,33.216667,32.36312,32.741665,31.635478,32.125,30.887307
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.741665,32.312058,-0.429607,0.429607,0.184562,32.741665,32.312058,32.158333,31.814293,31.658333,31.191325
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.266666,32.008327,-0.258339,0.258339,0.066739,32.266666,32.008327,32.033333,31.483928,31.416666,30.854082
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.266666,32.146032,-0.120634,0.120634,0.014553,32.266666,32.146032,31.758333,31.517255,30.941668,30.800551
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.033333,32.101302,0.067969,0.067969,0.00462,32.033333,32.101302,31.416666,31.364735,30.65,30.600684
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.9,31.932301,0.032301,0.032301,0.001043,31.9,31.932301,30.700001,30.98186,29.783333,30.128608
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.325001,31.903621,0.57862,0.57862,0.334801,31.325001,31.903621,30.466667,30.467446,29.450001,29.194093
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.65,32.593118,1.943118,1.943118,3.775708,30.65,32.593118,29.725,30.841684,28.708334,29.294765
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,29.633333,31.482992,1.849659,1.849659,3.421238,29.633333,31.482992,28.858334,29.915436,28.225,28.562368
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.0,31.634461,1.634461,1.634461,2.671463,30.0,31.634461,29.066668,29.64317,28.208334,28.19369
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.0,31.393093,1.393093,1.393093,1.940708,30.0,31.393093,29.066668,29.251116,27.283333,27.591836
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.758333,29.414354,-1.343979,1.343979,1.80628,30.758333,29.414354,29.725,27.591624,27.058332,25.599818
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.758333,30.182193,-0.57614,0.57614,0.331937,30.758333,30.182193,29.030769,27.998871,26.946154,26.153747
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.758333,28.462324,-2.296009,2.296009,5.271657,30.758333,28.462324,29.030769,26.670672,26.841667,24.661156
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.384615,25.734914,-4.649701,4.649701,21.619719,30.384615,25.734914,28.384615,23.821596,26.723078,21.689899
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.26923,26.707272,-3.561958,3.561958,12.687545,30.26923,26.707272,28.23077,24.807808,24.384615,22.531486
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,28.284615,23.044329,-5.240286,5.240286,27.460597,28.284615,23.044329,26.238462,21.299948,23.146154,19.580895
Northwest_summer_2021-11-21,2021-11-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,28.284615,23.959185,-4.32543,4.32543,18.709345,28.284615,23.959185,24.038462,22.408263,21.799999,20.566107
Northwest_summer_2021-11-28,2021-11-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,28.284615,23.896708,-4.387907,4.387907,19.253728,28.284615,23.896708,23.146154,22.133894,19.684616,20.233533
Northwest_summer_2021-12-01,2021-12-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,23.161539,24.342627,1.181088,1.181088,1.394969,23.161539,24.342627,21.430769,22.467517,18.684616,20.413731
Northwest_summer_2021-12-07,2021-12-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,23.161539,22.844828,-0.316711,0.316711,0.100306,23.161539,22.844828,19.376923,21.241753,17.892307,19.335702
Northwest_summer_2021-12-14,2021-12-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,21.653847,23.4514,1.797553,1.797553,3.231197,21.653847,23.4514,19.376923,21.709182,17.753845,19.624912
Northwest_summer_2021-12-21,2021-12-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,21.13077,19.868848,-1.261922,1.261922,1.592447,21.13077,19.868848,19.169231,18.755116,17.438461,17.384408
Northwest_summer_2021-12-28,2021-12-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,21.13077,20.128672,-1.002098,1.002098,1.0042,21.13077,20.128672,19.169231,18.955622,17.423077,17.515381
Northwest_summer_2022-01-01,2022-01-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,21.13077,20.654238,-0.476532,0.476532,0.227083,21.13077,20.654238,18.86923,19.330611,15.638461,17.614942
Northwest_summer_2022-01-07,2022-01-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,21.13077,21.616243,0.485473,0.485473,0.235684,21.13077,21.616243,18.86923,20.049891,14.930769,18.076677
Northwest_summer_2022-01-14,2022-01-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,19.569231,20.417935,0.848704,0.848704,0.720298,19.569231,20.417935,16.830769,19.141992,14.838462,17.43919
Northwest_summer_2022-01-21,2022-01-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,19.638462,21.638168,1.999706,1.999706,3.998824,19.638462,21.638168,18.169231,20.057816,16.776922,17.88731
Northwest_summer_2022-01-28,2022-01-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,20.361538,21.560746,1.199208,1.199208,1.4381,20.361538,21.560746,19.569231,19.899177,17.338461,17.741677
Northwest_summer_2022-02-01,2022-02-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,20.453846,22.00699,1.553144,1.553144,2.412256,20.453846,22.00699,19.569231,20.257838,17.961538,17.942579
Northwest_summer_2022-02-07,2022-02-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,21.884615,22.496172,0.611557,0.611557,0.374002,21.884615,22.496172,19.823076,20.559157,18.169231,18.055529
Northwest_summer_2022-02-14,2022-02-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,21.884615,23.629783,1.745168,1.745168,3.045611,21.884615,23.629783,18.846153,21.480244,17.892307,18.720042
Northwest_summer_2022-02-21,2022-02-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,21.884615,24.709978,2.825363,2.825363,7.982676,21.884615,24.709978,18.846153,22.282371,16.653847,19.235338
Northwest_summer_2022-02-28,2022-02-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,21.884615,26.715932,4.831317,4.831317,23.341624,21.884615,26.715932,18.569231,23.732136,16.284615,20.119861
Northwest_summer_2022-03-01,2022-03-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,21.884615,28.198047,6.313432,6.313432,39.859424,21.884615,28.198047,18.846153,24.814542,16.284615,20.824767
Northwest_summer_2022-03-07,2022-03-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,27.799999,25.972118,-1.827881,1.827881,3.341149,27.799999,25.972118,22.907692,23.025326,16.346153,19.49712
Northwest_summer_2022-03-14,2022-03-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.461538,26.758869,-3.702669,3.702669,13.709758,30.461538,26.758869,25.63077,23.726334,19.415384,20.290841
Northwest_summer_2022-03-21,2022-03-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.046154,27.337554,-4.7086,4.7086,22.170914,32.046154,27.337554,27.799999,24.102643,22.376923,20.519337
Northwest_summer_2022-03-28,2022-03-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.046154,28.15111,-3.895044,3.895044,15.171368,32.046154,28.15111,27.799999,24.753397,24.1,21.071571
Northwest_summer_2022-04-01,2022-04-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.238461,30.198282,-2.040179,2.040179,4.16233,32.238461,30.198282,29.069231,26.308951,24.184616,22.159596
Northwest_summer_2022-04-07,2022-04-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,33.130768,31.676121,-1.454647,1.454647,2.115998,33.130768,31.676121,25.976923,27.38589,23.691668,22.994185
Northwest_summer_2022-04-14,2022-04-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,33.130768,32.119538,-1.01123,1.01123,1.022586,33.130768,32.119538,26.830769,27.918417,23.784615,23.894929
Northwest_summer_2022-04-21,2022-04-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.238461,30.316611,-1.92185,1.92185,3.693507,32.238461,30.316611,27.36923,27.032562,24.523077,23.942913
Northwest_summer_2022-04-28,2022-04-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,33.930771,31.344575,-2.586196,2.586196,6.68841,33.930771,31.344575,28.984615,28.082008,25.576923,25.203533
Northwest_summer_2022-05-01,2022-05-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,33.930771,32.124664,-1.806107,1.806107,3.262022,33.930771,32.124664,29.115385,30.09077,25.592308,28.158768
Northwest_summer_2022-05-07,2022-05-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.615385,31.287195,0.67181,0.67181,0.451329,30.615385,31.287195,28.984615,28.276172,26.830769,25.53381
Northwest_summer_2022-05-14,2022-05-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.661539,32.501603,0.840064,0.840064,0.705708,31.661539,32.501603,29.261538,29.003126,28.169231,25.842753
Northwest_summer_2022-05-21,2022-05-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.215385,33.124732,1.909347,1.909347,3.645606,31.215385,33.124732,29.23077,29.472353,28.376923,26.07643
Northwest_summer_2022-05-28,2022-05-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.207693,32.192904,0.985211,0.985211,0.970641,31.207693,32.192904,29.261538,30.074113,28.576923,27.961879
Northwest_summer_2022-06-01,2022-06-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.207693,32.169456,0.961763,0.961763,0.924988,31.207693,32.169456,29.484615,30.623659,28.815384,29.063354
Northwest_summer_2022-06-07,2022-06-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.207693,31.682514,0.474821,0.474821,0.225455,31.207693,31.682514,29.907692,30.714586,29.438461,29.5754
Northwest_summer_2022-06-14,2022-06-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.5,31.564842,1.064842,1.064842,1.133888,30.5,31.564842,30.0,30.746922,29.584616,29.78548
Northwest_summer_2022-06-21,2022-06-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.207693,31.084732,-0.122961,0.122961,0.015119,31.207693,31.084732,30.469231,30.39375,29.9,29.52506
Northwest_summer_2022-06-28,2022-06-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.799999,31.870643,0.070644,0.070644,0.004991,31.799999,31.870643,31.038462,31.214295,30.069231,30.416794
Northwest_summer_2022-07-01,2022-07-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.061539,32.147782,0.086243,0.086243,0.007438,32.061539,32.147782,31.430769,31.374284,30.5,30.519954
Northwest_summer_2022-07-07,2022-07-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.061539,31.899873,-0.161666,0.161666,0.026136,32.061539,31.899873,31.546154,31.386218,31.038462,30.688017
Northwest_summer_2022-07-14,2022-07-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.061539,32.643573,0.582034,0.582034,0.338764,32.061539,32.643573,31.546154,32.103612,31.138462,31.39948
Northwest_summer_2022-07-21,2022-07-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.799999,32.535362,0.735363,0.735363,0.540759,31.799999,32.535362,31.515385,32.06609,31.123077,31.413439
Northwest_summer_2022-07-28,2022-07-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.061539,32.181051,0.119512,0.119512,0.014283,32.061539,32.181051,31.515385,31.695993,31.13077,31.04612
Northwest_summer_2022-08-01,2022-08-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.576923,32.376005,-0.200918,0.200918,0.040368,32.576923,32.376005,31.530769,31.934872,31.13077,31.325503
Northwest_summer_2022-08-07,2022-08-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.576923,32.52984,-0.047083,0.047083,0.002217,32.576923,32.52984,31.292307,32.09252,31.1,31.501331
Northwest_summer_2022-08-14,2022-08-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.576923,32.3902,-0.186723,0.186723,0.034865,32.576923,32.3902,31.63077,31.910285,31.046154,31.29832
Northwest_summer_2022-08-21,2022-08-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.576923,32.287823,-0.2891,0.2891,0.083579,32.576923,32.287823,31.63077,31.819682,30.892307,31.230303
Northwest_summer_2022-08-28,2022-08-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.246155,32.404552,0.158397,0.158397,0.02509,32.246155,32.404552,31.276922,31.866684,30.661539,31.215863
Northwest_summer_2022-09-01,2022-09-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.292307,32.405377,1.11307,1.11307,1.238925,31.292307,32.405377,30.930769,31.798512,30.492308,31.089706
Northwest_summer_2022-09-07,2022-09-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.615385,32.304627,0.689242,0.689242,0.475055,31.615385,32.304627,30.892307,31.56191,30.176924,30.800047
Northwest_summer_2022-09-14,2022-09-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.215385,31.990735,0.77535,0.77535,0.601168,31.215385,31.990735,30.215385,31.159902,29.684616,30.372828
Northwest_summer_2022-09-21,2022-09-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.36923,31.958915,0.589685,0.589685,0.347728,31.36923,31.958915,30.323076,30.733106,29.138462,29.718697
Northwest_summer_2022-09-28,2022-09-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,31.36923,31.925772,0.556542,0.556542,0.309739,31.36923,31.925772,29.907692,30.346001,27.815384,28.933098
Northwest_summer_2022-10-01,2022-10-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,30.215385,32.930023,2.714638,2.714638,7.369259,30.215385,32.930023,29.407692,30.911691,27.815384,29.12307
Northwest_summer_2022-10-07,2022-10-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,29.407692,31.756067,2.348375,2.348375,5.514865,29.407692,31.756067,28.384615,30.120624,27.338461,28.758909
Northwest_summer_2022-10-14,2022-10-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,29.407692,31.519992,2.1123,2.1123,4.461811,29.407692,31.519992,28.384615,28.920794,27.176924,27.102971
