sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.416668,31.951818,-0.46485,0.46485,0.216086,32.416668,31.951818,31.691668,30.882869,30.85,29.774219
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.416668,31.474149,-0.942519,0.942519,0.888342,32.416668,31.474149,32.283333,30.825082,31.308332,30.069975
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.416668,32.380311,-0.036357,0.036357,0.001322,32.416668,32.380311,32.283333,31.827581,31.483334,31.160622
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.416668,32.585226,0.168558,0.168558,0.028412,32.416668,32.585226,32.258335,31.985621,31.483334,31.319414
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,34.166668,32.240388,-1.92628,1.92628,3.710555,34.166668,32.240388,32.466667,31.781431,31.725,31.183199
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,34.299999,32.47633,-1.823669,1.823669,3.325769,34.299999,32.47633,33.133335,32.058428,32.272728,31.514451
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,34.299999,32.359933,-1.940066,1.940066,3.763856,34.299999,32.359933,33.216667,31.964764,32.466667,31.480369
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,34.299999,32.413915,-1.886084,1.886084,3.557313,34.299999,32.413915,33.216667,32.028384,32.466667,31.545646
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,34.299999,32.277255,-2.022744,2.022744,4.091493,34.299999,32.277255,33.366665,31.833381,32.333332,31.312592
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,33.216667,32.566463,-0.650204,0.650204,0.422765,33.216667,32.566463,32.741665,31.6065,32.125,30.800291
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.741665,32.35609,-0.385575,0.385575,0.148668,32.741665,32.35609,32.158333,31.884903,31.658333,31.310393
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.266666,32.087342,-0.179324,0.179324,0.032157,32.266666,32.087342,32.033333,31.576547,31.416666,30.957331
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,ConvNeXtTiny-TFT-NN,test,32.266666,32.239051,-0.027615,0.027615,0.000763,32.266666,32.239051,31.758333,31.645251,30.941668,31.017563
