sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,32.483334,36.842870,4.359536,4.359536,19.005558
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,32.483334,35.304839,2.821506,2.821506,7.960894
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,32.483334,33.800344,1.317011,1.317011,1.734517
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,32.533333,34.055540,1.522207,1.522207,2.317114
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,34.583332,33.662993,-0.920339,0.920339,0.847023
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,35.116665,33.309139,-1.807526,1.807526,3.267151
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,35.116665,33.167537,-1.949128,1.949128,3.799101
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,35.116665,33.201879,-1.914786,1.914786,3.666405
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,35.116665,33.567579,-1.549086,1.549086,2.399667
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,34.299999,34.100908,-0.199091,0.199091,0.039637
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.366665,33.542392,0.175727,0.175727,0.030880
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.366665,33.513420,0.146755,0.146755,0.021537
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.808334,33.504729,-0.303606,0.303606,0.092176
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.808334,33.494514,-0.313821,0.313821,0.098483
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.808334,34.067715,0.259380,0.259380,0.067278
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.808334,35.453531,1.645197,1.645197,2.706674
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.808334,35.671004,1.862670,1.862670,3.469539
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.650000,34.578294,3.928294,3.928294,15.431494
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.758333,34.806035,4.047702,4.047702,16.383891
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.758333,34.366543,3.608210,3.608210,13.019178
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.984615,32.407029,1.422413,1.422413,2.023260
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.984615,31.452596,0.467980,0.467980,0.219006
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.984615,30.663539,-0.321076,0.321076,0.103090
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.984615,28.952614,-2.032001,2.032001,4.129028
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.984615,29.383828,-1.600787,1.600787,2.562519
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,29.815384,24.643760,-5.171624,5.171624,26.745690
