sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,ConvNeXtTiny-TFT,test,31.652779,30.928025,-0.724754,0.724754,0.756199,32.416668,32.289438,31.691668,30.948545,30.850000,29.546091
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.002778,30.895237,-1.107541,1.107541,1.668343,32.416668,32.228320,32.283333,30.886076,31.308332,29.571316
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.061111,31.988033,-0.073079,0.243434,0.059375,32.416668,32.672201,32.283333,32.038066,31.483334,31.253831
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.052779,32.194230,0.141451,0.181625,0.078889,32.416668,32.901282,32.258335,32.227340,31.483334,31.454067
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.786112,31.771807,-1.014304,1.014304,1.307321,34.166668,32.406036,32.466667,31.822844,31.725000,31.086543
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,ConvNeXtTiny-TFT,test,33.235354,31.907102,-1.328252,1.328252,1.978255,34.299999,32.342255,33.133335,31.965534,32.272728,31.413517
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,ConvNeXtTiny-TFT,test,33.327778,32.015777,-1.312001,1.312001,1.910619,34.299999,32.391221,33.216667,32.073428,32.466667,31.582682
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,ConvNeXtTiny-TFT,test,33.327778,31.929076,-1.398702,1.398702,2.159469,34.299999,32.284882,33.216667,31.985900,32.466667,31.516446
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,ConvNeXtTiny-TFT,test,33.333332,31.953201,-1.380131,1.380131,2.030589,34.299999,32.501955,33.366665,31.955176,32.333332,31.402472
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.694444,31.851224,-0.843220,0.843220,0.799730,33.216667,32.779016,32.741665,31.794145,32.125000,30.980511
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.186110,31.986277,-0.199834,0.199834,0.040410,32.741665,32.529036,32.158333,31.989234,31.658333,31.440559
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,ConvNeXtTiny-TFT,test,31.905555,31.714981,-0.190574,0.224626,0.065690,32.266666,32.317745,32.033333,31.738070,31.416666,31.089129
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,ConvNeXtTiny-TFT,test,31.655556,31.754431,0.098876,0.125683,0.033698,32.266666,32.226456,31.758333,31.780556,30.941668,31.256283
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,ConvNeXtTiny-TFT,test,31.366666,31.506829,0.140163,0.140163,0.029716,32.033333,32.071590,31.416666,31.522243,30.650000,30.926654
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,soft,ConvNeXtTiny-TFT,test,30.794444,31.121521,0.327076,0.327076,0.127895,31.900000,32.029408,30.700001,31.080418,29.783333,30.254735
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,soft,ConvNeXtTiny-TFT,test,30.413890,30.503589,0.089700,0.166350,0.053282,31.325001,31.707919,30.466667,30.467823,29.450001,29.335026
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,soft,ConvNeXtTiny-TFT,test,29.694445,30.674221,0.979776,0.979776,1.085141,30.650000,32.081770,29.725000,30.664644,28.708334,29.276248
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,soft,ConvNeXtTiny-TFT,test,28.905556,29.499901,0.594345,0.672131,0.703647,29.633333,30.965858,28.858334,29.425523,28.225000,28.108321
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,soft,ConvNeXtTiny-TFT,test,29.091667,29.865702,0.774035,0.774035,1.013292,30.000000,31.601248,29.066668,29.755778,28.208334,28.240081
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,soft,ConvNeXtTiny-TFT,test,28.783333,28.898157,0.114823,0.475933,0.311541,30.000000,30.886134,29.066668,28.759171,27.283333,27.049165
