sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,SeasonalNaive,test,32.483334,30.684615,-1.798719,1.798719,3.23539
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,SeasonalNaive,test,32.483334,30.684615,-1.798719,1.798719,3.23539
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,SeasonalNaive,test,32.483334,31.507692,-0.975642,0.975642,0.951877
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,SeasonalNaive,test,32.533333,32.4,-0.133333,0.133333,0.017778
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,SeasonalNaive,test,34.583332,32.4,-2.183332,2.183332,4.766939
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,SeasonalNaive,test,35.116665,32.4,-2.716665,2.716665,7.380269
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,SeasonalNaive,test,35.116665,32.4,-2.716665,2.716665,7.380269
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,SeasonalNaive,test,35.116665,32.4,-2.716665,2.716665,7.380269
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,SeasonalNaive,test,35.116665,34.223077,-0.893588,0.893588,0.7985
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,SeasonalNaive,test,34.299999,35.053846,0.753847,0.753847,0.568285
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,SeasonalNaive,test,33.366665,35.053846,1.687181,1.687181,2.84658
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,SeasonalNaive,test,33.366665,35.053846,1.687181,1.687181,2.84658
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,SeasonalNaive,test,33.808334,35.053846,1.245512,1.245512,1.5513
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,SeasonalNaive,test,33.808334,35.053846,1.245512,1.245512,1.5513
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,SeasonalNaive,test,33.808334,33.069231,-0.739103,0.739103,0.546273
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,SeasonalNaive,test,33.808334,38.907692,5.099358,5.099358,26.003452
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,SeasonalNaive,test,33.808334,38.907692,5.099358,5.099358,26.003452
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,anchor,SeasonalNaive,test,30.65,38.907692,8.257692,8.257692,68.189477
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,anchor,SeasonalNaive,test,30.758333,38.907692,8.149359,8.149359,66.412052
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,anchor,SeasonalNaive,test,30.758333,38.907692,8.149359,8.149359,66.412052
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,anchor,SeasonalNaive,test,30.984615,35.015385,4.03077,4.03077,16.247107
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,anchor,SeasonalNaive,test,30.984615,35.015385,4.03077,4.03077,16.247107
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,anchor,SeasonalNaive,test,30.984615,28.161538,-2.823077,2.823077,7.969764
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,anchor,SeasonalNaive,test,30.984615,27.576923,-3.407692,3.407692,11.612365
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,anchor,SeasonalNaive,test,30.984615,27.576923,-3.407692,3.407692,11.612365
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,anchor,SeasonalNaive,test,29.815384,27.576923,-2.238461,2.238461,5.010708
Northwest_summer_2021-11-21,2021-11-21,Northwest,summer,anchor,SeasonalNaive,test,29.815384,23.638462,-6.176922,6.176922,38.154365
Northwest_summer_2021-11-28,2021-11-28,Northwest,summer,anchor,SeasonalNaive,test,29.815384,23.469231,-6.346153,6.346153,40.273658
Northwest_summer_2021-12-01,2021-12-01,Northwest,summer,anchor,SeasonalNaive,test,25.684616,23.469231,-2.215385,2.215385,4.907931
Northwest_summer_2021-12-07,2021-12-07,Northwest,summer,anchor,SeasonalNaive,test,25.684616,23.469231,-2.215385,2.215385,4.907931
Northwest_summer_2021-12-14,2021-12-14,Northwest,summer,anchor,SeasonalNaive,test,23.161539,25.046154,1.884615,1.884615,3.551774
Northwest_summer_2021-12-21,2021-12-21,Northwest,summer,anchor,SeasonalNaive,test,22.092308,25.046154,2.953846,2.953846,8.725206
Northwest_summer_2021-12-28,2021-12-28,Northwest,summer,anchor,SeasonalNaive,test,22.092308,25.046154,2.953846,2.953846,8.725206
Northwest_summer_2022-01-01,2022-01-01,Northwest,summer,anchor,SeasonalNaive,test,22.092308,25.046154,2.953846,2.953846,8.725206
Northwest_summer_2022-01-07,2022-01-07,Northwest,summer,anchor,SeasonalNaive,test,22.092308,25.046154,2.953846,2.953846,8.725206
Northwest_summer_2022-01-14,2022-01-14,Northwest,summer,anchor,SeasonalNaive,test,19.86923,25.146154,5.276924,5.276924,27.845927
Northwest_summer_2022-01-21,2022-01-21,Northwest,summer,anchor,SeasonalNaive,test,20.361538,25.146154,4.784616,4.784616,22.89255
Northwest_summer_2022-01-28,2022-01-28,Northwest,summer,anchor,SeasonalNaive,test,25.907692,25.146154,-0.761538,0.761538,0.57994
Northwest_summer_2022-02-01,2022-02-01,Northwest,summer,anchor,SeasonalNaive,test,25.907692,25.146154,-0.761538,0.761538,0.57994
Northwest_summer_2022-02-07,2022-02-07,Northwest,summer,anchor,SeasonalNaive,test,25.907692,25.146154,-0.761538,0.761538,0.57994
Northwest_summer_2022-02-14,2022-02-14,Northwest,summer,anchor,SeasonalNaive,test,25.907692,29.030769,3.123077,3.123077,9.75361
Northwest_summer_2022-02-21,2022-02-21,Northwest,summer,anchor,SeasonalNaive,test,25.907692,29.030769,3.123077,3.123077,9.75361
