sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,SeasonalNaive,test,32.416668,29.992308,-2.42436,2.42436,5.877521,32.416668,29.992308,31.691668,29.830769,30.85,29.407692
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,SeasonalNaive,test,32.416668,30.361538,-2.05513,2.05513,4.223559,32.416668,30.361538,32.283333,29.992308,31.308332,29.707692
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,SeasonalNaive,test,32.416668,31.176923,-1.239745,1.239745,1.536968,32.416668,31.176923,32.283333,30.623077,31.483334,29.892308
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,SeasonalNaive,test,32.416668,31.9,-0.516668,0.516668,0.266946,32.416668,31.9,32.258335,31.007692,31.483334,30.107692
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,SeasonalNaive,test,34.166668,31.9,-2.266668,2.266668,5.137784,34.166668,31.9,32.466667,31.4,31.725,30.623077
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,SeasonalNaive,test,34.299999,31.9,-2.399999,2.399999,5.759995,34.299999,31.9,33.133335,31.507692,32.272728,30.930769
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,SeasonalNaive,test,34.299999,32.138462,-2.161537,2.161537,4.672242,34.299999,32.138462,33.216667,31.615385,32.466667,31.215385
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,SeasonalNaive,test,34.299999,32.176923,-2.123076,2.123076,4.507452,34.299999,32.176923,33.216667,31.753846,32.466667,31.292308
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,SeasonalNaive,test,34.299999,32.176923,-2.123076,2.123076,4.507452,34.299999,32.176923,33.366665,31.615385,32.333332,31.215385
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,SeasonalNaive,test,33.216667,34.223077,1.00641,1.00641,1.012861,33.216667,34.223077,32.741665,32.176923,32.125,31.330769
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,SeasonalNaive,test,32.741665,34.223077,1.481412,1.481412,2.194582,32.741665,34.223077,32.158333,32.784615,31.658333,32.1
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,SeasonalNaive,test,32.266666,34.223077,1.956411,1.956411,3.827544,32.266666,34.223077,32.033333,33.030769,31.416666,32.176923
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,SeasonalNaive,test,32.266666,34.223077,1.956411,1.956411,3.827544,32.266666,34.223077,31.758333,33.030769,30.941668,32.161538
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,SeasonalNaive,test,32.033333,34.130769,2.097436,2.097436,4.399238,32.033333,34.130769,31.416666,32.530769,30.65,32.1
