sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,Tab-LSTM,test,32.483334,35.061560,2.578227,2.578227,6.647252
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,Tab-LSTM,test,32.483334,34.586237,2.102904,2.102904,4.422204
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,Tab-LSTM,test,32.483334,34.713414,2.230080,2.230080,4.973259
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,Tab-LSTM,test,32.533333,34.593958,2.060625,2.060625,4.246175
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,Tab-LSTM,test,34.583332,33.867687,-0.715645,0.715645,0.512148
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,Tab-LSTM,test,35.116665,33.451784,-1.664881,1.664881,2.771828
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,Tab-LSTM,test,35.116665,33.371949,-1.744716,1.744716,3.044034
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,Tab-LSTM,test,35.116665,32.971840,-2.144825,2.144825,4.600273
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,Tab-LSTM,test,35.116665,32.898793,-2.217871,2.217871,4.918954
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,Tab-LSTM,test,34.299999,33.744864,-0.555135,0.555135,0.308175
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,Tab-LSTM,test,33.366665,32.956568,-0.410097,0.410097,0.168179
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,Tab-LSTM,test,33.366665,33.008745,-0.357920,0.357920,0.128107
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,Tab-LSTM,test,33.808334,33.203624,-0.604710,0.604710,0.365675
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,Tab-LSTM,test,33.808334,33.149861,-0.658474,0.658474,0.433588
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,Tab-LSTM,test,33.808334,33.417296,-0.391039,0.391039,0.152911
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,Tab-LSTM,test,33.808334,33.779030,-0.029304,0.029304,0.000859
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,Tab-LSTM,test,33.808334,34.234804,0.426470,0.426470,0.181877
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,anchor,Tab-LSTM,test,30.650000,33.821583,3.171583,3.171583,10.058941
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,anchor,Tab-LSTM,test,30.758333,33.688764,2.930431,2.930431,8.587426
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,anchor,Tab-LSTM,test,30.758333,33.638357,2.880023,2.880023,8.294535
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,anchor,Tab-LSTM,test,30.984615,33.483389,2.498773,2.498773,6.243869
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,anchor,Tab-LSTM,test,30.984615,33.094156,2.109541,2.109541,4.450163
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,anchor,Tab-LSTM,test,30.984615,30.726833,-0.257782,0.257782,0.066452
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,anchor,Tab-LSTM,test,30.984615,29.762373,-1.222242,1.222242,1.493876
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,anchor,Tab-LSTM,test,30.984615,29.542494,-1.442122,1.442122,2.079714
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,anchor,Tab-LSTM,test,29.815384,28.252712,-1.562672,1.562672,2.441945
Northwest_summer_2021-11-21,2021-11-21,Northwest,summer,anchor,Tab-LSTM,test,29.815384,25.399371,-4.416013,4.416013,19.501166
Northwest_summer_2021-11-28,2021-11-28,Northwest,summer,anchor,Tab-LSTM,test,29.815384,26.038556,-3.776828,3.776828,14.264429
Northwest_summer_2021-12-01,2021-12-01,Northwest,summer,anchor,Tab-LSTM,test,25.684616,26.703953,1.019337,1.019337,1.039048
Northwest_summer_2021-12-07,2021-12-07,Northwest,summer,anchor,Tab-LSTM,test,25.684616,22.916365,-2.768251,2.768251,7.663213
Northwest_summer_2021-12-14,2021-12-14,Northwest,summer,anchor,Tab-LSTM,test,23.161539,23.225850,0.064311,0.064311,0.004136
Northwest_summer_2021-12-21,2021-12-21,Northwest,summer,anchor,Tab-LSTM,test,22.092308,20.525767,-1.566541,1.566541,2.454051
Northwest_summer_2021-12-28,2021-12-28,Northwest,summer,anchor,Tab-LSTM,test,22.092308,21.990606,-0.101702,0.101702,0.010343
Northwest_summer_2022-01-01,2022-01-01,Northwest,summer,anchor,Tab-LSTM,test,22.092308,21.972288,-0.120020,0.120020,0.014405
Northwest_summer_2022-01-07,2022-01-07,Northwest,summer,anchor,Tab-LSTM,test,22.092308,22.778914,0.686606,0.686606,0.471428
Northwest_summer_2022-01-14,2022-01-14,Northwest,summer,anchor,Tab-LSTM,test,19.869230,24.163426,4.294196,4.294196,18.440115
Northwest_summer_2022-01-21,2022-01-21,Northwest,summer,anchor,Tab-LSTM,test,20.361538,24.462699,4.101161,4.101161,16.819525
Northwest_summer_2022-01-28,2022-01-28,Northwest,summer,anchor,Tab-LSTM,test,25.907692,24.551480,-1.356212,1.356212,1.839311
Northwest_summer_2022-02-01,2022-02-01,Northwest,summer,anchor,Tab-LSTM,test,25.907692,24.559392,-1.348300,1.348300,1.817912
Northwest_summer_2022-02-07,2022-02-07,Northwest,summer,anchor,Tab-LSTM,test,25.907692,24.828269,-1.079423,1.079423,1.165154
Northwest_summer_2022-02-14,2022-02-14,Northwest,summer,anchor,Tab-LSTM,test,25.907692,27.016856,1.109164,1.109164,1.230245
Northwest_summer_2022-02-21,2022-02-21,Northwest,summer,anchor,Tab-LSTM,test,25.907692,27.231500,1.323808,1.323808,1.752467
Northwest_summer_2022-02-28,2022-02-28,Northwest,summer,anchor,Tab-LSTM,test,25.630770,28.797494,3.166724,3.166724,10.028144
Northwest_summer_2022-03-01,2022-03-01,Northwest,summer,anchor,Tab-LSTM,test,25.630770,29.542082,3.911312,3.911312,15.298364
Northwest_summer_2022-03-07,2022-03-07,Northwest,summer,anchor,Tab-LSTM,test,32.046154,31.682498,-0.363656,0.363656,0.132245
Northwest_summer_2022-03-14,2022-03-14,Northwest,summer,anchor,Tab-LSTM,test,32.046154,30.479254,-1.566900,1.566900,2.455176
Northwest_summer_2022-03-21,2022-03-21,Northwest,summer,anchor,Tab-LSTM,test,34.807693,30.045535,-4.762158,4.762158,22.678151
Northwest_summer_2022-03-28,2022-03-28,Northwest,summer,anchor,Tab-LSTM,test,34.807693,30.613408,-4.194285,4.194285,17.592027
Northwest_summer_2022-04-01,2022-04-01,Northwest,summer,anchor,Tab-LSTM,test,34.807693,34.704995,-0.102698,0.102698,0.010547
Northwest_summer_2022-04-07,2022-04-07,Northwest,summer,anchor,Tab-LSTM,test,35.338463,35.975429,0.636966,0.636966,0.405725
