sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,Tab-LSTM,test,32.416668,31.915291,-0.501377,0.501377,0.251379,32.416668,31.915291,31.691668,30.972658,30.85,29.916998
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,Tab-LSTM,test,32.416668,31.489094,-0.927574,0.927574,0.860394,32.416668,31.489094,32.283333,30.35828,31.308332,29.221464
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,Tab-LSTM,test,32.416668,32.178491,-0.238177,0.238177,0.056728,32.416668,32.178491,32.283333,31.465223,31.483334,30.665439
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,Tab-LSTM,test,32.416668,32.346675,-0.069993,0.069993,0.004899,32.416668,32.346675,32.258335,31.65938,31.483334,30.901134
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,Tab-LSTM,test,34.166668,32.176329,-1.990339,1.990339,3.961449,34.166668,32.176329,32.466667,31.457016,31.725,30.694743
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,Tab-LSTM,test,34.299999,32.387164,-1.912835,1.912835,3.658938,34.299999,32.387164,33.133335,31.782814,32.272728,31.121347
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,Tab-LSTM,test,34.299999,32.413792,-1.886207,1.886207,3.557777,34.299999,32.413792,33.216667,31.788369,32.466667,31.116567
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,Tab-LSTM,test,34.299999,32.275122,-2.024877,2.024877,4.100127,34.299999,32.275122,33.216667,31.685687,32.466667,31.018902
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,Tab-LSTM,test,34.299999,32.442026,-1.857973,1.857973,3.452064,34.299999,32.442026,33.366665,31.873155,32.333332,31.242605
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,Tab-LSTM,test,33.216667,32.354944,-0.861723,0.861723,0.742567,33.216667,32.354944,32.741665,31.453546,32.125,30.487147
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,Tab-LSTM,test,32.741665,32.440017,-0.301648,0.301648,0.090992,32.741665,32.440017,32.158333,31.859947,31.658333,31.211234
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,Tab-LSTM,test,32.266666,32.278844,0.012178,0.012178,0.000148,32.266666,32.278844,32.033333,31.624727,31.416666,30.918005
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,Tab-LSTM,test,32.266666,32.138819,-0.127847,0.127847,0.016345,32.266666,32.138819,31.758333,31.468092,30.941668,30.717747
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,Tab-LSTM,test,32.033333,32.034862,0.001529,0.001529,2e-06,32.033333,32.034862,31.416666,31.322286,30.65,30.54478
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,soft,Tab-LSTM,test,31.9,31.73599,-0.16401,0.16401,0.026899,31.9,31.73599,30.700001,30.79994,29.783333,29.845294
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,soft,Tab-LSTM,test,31.325001,31.759302,0.434301,0.434301,0.188617,31.325001,31.759302,30.466667,30.725064,29.450001,29.6448
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,soft,Tab-LSTM,test,30.65,31.534041,0.884041,0.884041,0.781528,30.65,31.534041,29.725,30.338311,28.708334,29.172907
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,soft,Tab-LSTM,test,29.633333,30.761052,1.127719,1.127719,1.27175,29.633333,30.761052,28.858334,28.826298,28.225,27.147691
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,soft,Tab-LSTM,test,30.0,30.790323,0.790323,0.790323,0.62461,30.0,30.790323,29.066668,29.022767,28.208334,27.498569
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,soft,Tab-LSTM,test,30.0,30.286676,0.286676,0.286676,0.082183,30.0,30.286676,29.066668,28.123354,27.283333,26.247353
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,soft,Tab-LSTM,test,30.758333,30.723282,-0.035051,0.035051,0.001229,30.758333,30.723282,29.725,28.828546,27.058332,27.162041
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,soft,Tab-LSTM,test,30.758333,29.81993,-0.938403,0.938403,0.8806,30.758333,29.81993,29.030769,27.75764,26.946154,25.801439
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,soft,Tab-LSTM,test,30.758333,28.203465,-2.554868,2.554868,6.52735,30.758333,28.203465,29.030769,26.238106,26.841667,24.211108
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,soft,Tab-LSTM,test,30.384615,28.034176,-2.350439,2.350439,5.524563,30.384615,28.034176,28.384615,25.8293,26.723078,23.761202
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,soft,Tab-LSTM,test,30.26923,27.597923,-2.671307,2.671307,7.135881,30.26923,27.597923,28.23077,25.475892,24.384615,23.52582
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,soft,Tab-LSTM,test,28.284615,27.210635,-1.07398,1.07398,1.153433,28.284615,27.210635,26.238462,25.137264,23.146154,23.14013
Northwest_summer_2021-11-21,2021-11-21,Northwest,summer,soft,Tab-LSTM,test,28.284615,24.233853,-4.050762,4.050762,16.408673,28.284615,24.233853,24.038462,22.909184,21.799999,21.059009
Northwest_summer_2021-11-28,2021-11-28,Northwest,summer,soft,Tab-LSTM,test,28.284615,24.940415,-3.3442,3.3442,11.183674,28.284615,24.940415,23.146154,23.028286,19.684616,20.636532
Northwest_summer_2021-12-01,2021-12-01,Northwest,summer,soft,Tab-LSTM,test,23.161539,25.478396,2.316857,2.316857,5.367826,23.161539,25.478396,21.430769,22.926134,18.684616,20.223981
Northwest_summer_2021-12-07,2021-12-07,Northwest,summer,soft,Tab-LSTM,test,23.161539,22.800953,-0.360586,0.360586,0.130022,23.161539,22.800953,19.376923,21.022948,17.892307,19.107455
Northwest_summer_2021-12-14,2021-12-14,Northwest,summer,soft,Tab-LSTM,test,21.653847,22.35042,0.696573,0.696573,0.485214,21.653847,22.35042,19.376923,20.35836,17.753845,18.592367
