sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,Tab-TFT,test,32.483334,34.124542,1.641208,1.641208,2.693564
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,Tab-TFT,test,32.483334,33.837834,1.3545,1.3545,1.83467
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,Tab-TFT,test,32.483334,33.568991,1.085657,1.085657,1.178651
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,Tab-TFT,test,32.533333,33.531641,0.998308,0.998308,0.996619
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,Tab-TFT,test,34.583332,33.357069,-1.226263,1.226263,1.503721
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,Tab-TFT,test,35.116665,33.286928,-1.829737,1.829737,3.347937
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,Tab-TFT,test,35.116665,33.167992,-1.948673,1.948673,3.797326
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,Tab-TFT,test,35.116665,33.252732,-1.863933,1.863933,3.474246
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,Tab-TFT,test,35.116665,33.243637,-1.873028,1.873028,3.508234
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,Tab-TFT,test,34.299999,33.530198,-0.769801,0.769801,0.592594
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,Tab-TFT,test,33.366665,33.521016,0.154351,0.154351,0.023824
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,Tab-TFT,test,33.366665,33.561542,0.194877,0.194877,0.037977
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,Tab-TFT,test,33.808334,33.958948,0.150614,0.150614,0.022685
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,Tab-TFT,test,33.808334,33.945647,0.137313,0.137313,0.018855
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,Tab-TFT,test,33.808334,34.306192,0.497858,0.497858,0.247863
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,Tab-TFT,test,33.808334,34.322979,0.514645,0.514645,0.264859
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,Tab-TFT,test,33.808334,34.659443,0.851109,0.851109,0.724387
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,anchor,Tab-TFT,test,30.65,34.642849,3.992849,3.992849,15.942843
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,anchor,Tab-TFT,test,30.758333,34.532714,3.774381,3.774381,14.245952
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,anchor,Tab-TFT,test,30.758333,34.630945,3.872612,3.872612,14.997124
