sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,Tab-TFT,test,32.416668,32.19573,-0.220938,0.220938,0.048814,32.416668,32.19573,31.691668,31.293732,30.85,30.36779
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,Tab-TFT,test,32.416668,32.220733,-0.195935,0.195935,0.038391,32.416668,32.220733,32.283333,31.495188,31.308332,30.705532
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,Tab-TFT,test,32.416668,32.3003,-0.116368,0.116368,0.013542,32.416668,32.3003,32.283333,31.739624,31.483334,31.077242
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,Tab-TFT,test,32.416668,32.364205,-0.052463,0.052463,0.002752,32.416668,32.364205,32.258335,31.837235,31.483334,31.203259
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,Tab-TFT,test,34.166668,32.279929,-1.886739,1.886739,3.559784,34.166668,32.279929,32.466667,31.811782,31.725,31.224047
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,Tab-TFT,test,34.299999,32.360938,-1.939061,1.939061,3.759958,34.299999,32.360938,33.133335,31.951501,32.272728,31.416214
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,Tab-TFT,test,34.299999,32.320168,-1.979831,1.979831,3.919731,34.299999,32.320168,33.216667,31.932417,32.466667,31.415245
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,Tab-TFT,test,34.299999,32.353727,-1.946272,1.946272,3.787975,34.299999,32.353727,33.216667,31.93402,32.466667,31.392266
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,Tab-TFT,test,34.299999,32.371474,-1.928525,1.928525,3.719209,34.299999,32.371474,33.366665,31.952749,32.333332,31.406561
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,Tab-TFT,test,33.216667,32.392169,-0.824498,0.824498,0.679797,33.216667,32.392169,32.741665,31.773622,32.125,31.072892
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,Tab-TFT,test,32.741665,32.367214,-0.374451,0.374451,0.140214,32.741665,32.367214,32.158333,31.77495,31.658333,31.09493
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,Tab-TFT,test,32.266666,32.275387,0.008721,0.008721,7.6e-05,32.266666,32.275387,32.033333,31.596634,31.416666,30.84696
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,Tab-TFT,test,32.266666,32.28346,0.016794,0.016794,0.000282,32.266666,32.28346,31.758333,31.406118,30.941668,30.511909
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,Tab-TFT,test,32.033333,32.132067,0.098734,0.098734,0.009748,32.033333,32.132067,31.416666,31.185959,30.65,30.238641
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,soft,Tab-TFT,test,31.9,32.123707,0.223707,0.223707,0.050045,31.9,32.123707,30.700001,30.971358,29.783333,29.861092
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,soft,Tab-TFT,test,31.325001,32.040398,0.715397,0.715397,0.511793,31.325001,32.040398,30.466667,30.80412,29.450001,29.608852
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,soft,Tab-TFT,test,30.65,32.081477,1.431477,1.431477,2.049126,30.65,32.081477,29.725,30.608962,28.708334,29.234278
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,soft,Tab-TFT,test,29.633333,31.591061,1.957728,1.957728,3.832699,29.633333,31.591061,28.858334,29.714998,28.225,28.001173
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,soft,Tab-TFT,test,30.0,31.673751,1.673751,1.673751,2.801442,30.0,31.673751,29.066668,29.95186,28.208334,28.382934
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,soft,Tab-TFT,test,30.0,31.445528,1.445528,1.445528,2.089551,30.0,31.445528,29.066668,29.345729,27.283333,27.426551
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,soft,Tab-TFT,test,30.758333,30.914499,0.156166,0.156166,0.024388,30.758333,30.914499,29.725,28.822458,27.058332,26.941928
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,soft,Tab-TFT,test,30.758333,29.108895,-1.649438,1.649438,2.720646,30.758333,29.108895,29.030769,27.223595,26.946154,25.382781
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,soft,Tab-TFT,test,30.758333,28.639695,-2.118638,2.118638,4.488627,30.758333,28.639695,29.030769,26.723777,26.841667,24.752495
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,soft,Tab-TFT,test,30.384615,28.106616,-2.277999,2.277999,5.189279,30.384615,28.106616,28.384615,26.173858,26.723078,24.265135
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,soft,Tab-TFT,test,30.26923,28.000116,-2.269114,2.269114,5.148878,30.26923,28.000116,28.23077,25.965525,24.384615,23.834581
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,soft,Tab-TFT,test,28.284615,25.041953,-3.242662,3.242662,10.514857,28.284615,25.041953,26.238462,23.033568,23.146154,21.036393
Northwest_summer_2021-11-21,2021-11-21,Northwest,summer,soft,Tab-TFT,test,28.284615,21.93359,-6.351025,6.351025,40.335519,28.284615,21.93359,24.038462,20.535807,21.799999,18.98386
Northwest_summer_2021-11-28,2021-11-28,Northwest,summer,soft,Tab-TFT,test,28.284615,24.257976,-4.026639,4.026639,16.213822,28.284615,24.257976,23.146154,22.466567,19.684616,20.392856
Northwest_summer_2021-12-01,2021-12-01,Northwest,summer,soft,Tab-TFT,test,23.161539,24.559515,1.397976,1.397976,1.954337,23.161539,24.559515,21.430769,22.521301,18.684616,20.476661
Northwest_summer_2021-12-07,2021-12-07,Northwest,summer,soft,Tab-TFT,test,23.161539,20.643449,-2.51809,2.51809,6.340777,23.161539,20.643449,19.376923,19.349969,17.892307,17.889349
Northwest_summer_2021-12-14,2021-12-14,Northwest,summer,soft,Tab-TFT,test,21.653847,21.121463,-0.532384,0.532384,0.283433,21.653847,21.121463,19.376923,19.460865,17.753845,17.805561
Northwest_summer_2021-12-21,2021-12-21,Northwest,summer,soft,Tab-TFT,test,21.13077,19.508871,-1.621899,1.621899,2.630556,21.13077,19.508871,19.169231,18.312208,17.438461,16.99125
Northwest_summer_2021-12-28,2021-12-28,Northwest,summer,soft,Tab-TFT,test,21.13077,20.127829,-1.002941,1.002941,1.005891,21.13077,20.127829,19.169231,18.773922,17.423077,17.257815
Northwest_summer_2022-01-01,2022-01-01,Northwest,summer,soft,Tab-TFT,test,21.13077,19.962941,-1.167829,1.167829,1.363825,21.13077,19.962941,18.86923,18.574196,15.638461,17.05795
Northwest_summer_2022-01-07,2022-01-07,Northwest,summer,soft,Tab-TFT,test,21.13077,20.419304,-0.711466,0.711466,0.506184,21.13077,20.419304,18.86923,19.001041,14.930769,17.362327
Northwest_summer_2022-01-14,2022-01-14,Northwest,summer,soft,Tab-TFT,test,19.569231,20.502772,0.933541,0.933541,0.871499,19.569231,20.502772,16.830769,18.959528,14.838462,17.2449
Northwest_summer_2022-01-21,2022-01-21,Northwest,summer,soft,Tab-TFT,test,19.638462,20.990995,1.352533,1.352533,1.829346,19.638462,20.990995,18.169231,19.289802,16.776922,17.394097
Northwest_summer_2022-01-28,2022-01-28,Northwest,summer,soft,Tab-TFT,test,20.361538,21.377917,1.016379,1.016379,1.033026,20.361538,21.377917,19.569231,19.546525,17.338461,17.51766
Northwest_summer_2022-02-01,2022-02-01,Northwest,summer,soft,Tab-TFT,test,20.453846,21.738529,1.284683,1.284683,1.65041,20.453846,21.738529,19.569231,19.832495,17.961538,17.707357
Northwest_summer_2022-02-07,2022-02-07,Northwest,summer,soft,Tab-TFT,test,21.884615,22.282451,0.397836,0.397836,0.158273,21.884615,22.282451,19.823076,20.221914,18.169231,17.937027
Northwest_summer_2022-02-14,2022-02-14,Northwest,summer,soft,Tab-TFT,test,21.884615,23.883974,1.999359,1.999359,3.997436,21.884615,23.883974,18.846153,21.534131,17.892307,18.839442
Northwest_summer_2022-02-21,2022-02-21,Northwest,summer,soft,Tab-TFT,test,21.884615,24.223952,2.339337,2.339337,5.472498,21.884615,24.223952,18.846153,21.781858,16.653847,19.020014
Northwest_summer_2022-02-28,2022-02-28,Northwest,summer,soft,Tab-TFT,test,21.884615,25.085647,3.201032,3.201032,10.246606,21.884615,25.085647,18.569231,22.433416,16.284615,19.474749
Northwest_summer_2022-03-01,2022-03-01,Northwest,summer,soft,Tab-TFT,test,21.884615,25.606479,3.721864,3.721864,13.852272,21.884615,25.606479,18.846153,22.896462,16.284615,19.809884
Northwest_summer_2022-03-07,2022-03-07,Northwest,summer,soft,Tab-TFT,test,27.799999,25.80143,-1.998569,1.998569,3.994278,27.799999,25.80143,22.907692,22.935975,16.346153,19.718909
Northwest_summer_2022-03-14,2022-03-14,Northwest,summer,soft,Tab-TFT,test,30.461538,26.706707,-3.754831,3.754831,14.098756,30.461538,26.706707,25.63077,23.681505,19.415384,20.362163
Northwest_summer_2022-03-21,2022-03-21,Northwest,summer,soft,Tab-TFT,test,32.046154,27.574536,-4.471618,4.471618,19.995368,32.046154,27.574536,27.799999,24.390904,22.376923,20.916971
Northwest_summer_2022-03-28,2022-03-28,Northwest,summer,soft,Tab-TFT,test,32.046154,28.658293,-3.387861,3.387861,11.477602,32.046154,28.658293,27.799999,25.305254,24.1,21.719224
Northwest_summer_2022-04-01,2022-04-01,Northwest,summer,soft,Tab-TFT,test,32.238461,30.153182,-2.085279,2.085279,4.348389,32.238461,30.153182,29.069231,26.554311,24.184616,22.67018
Northwest_summer_2022-04-07,2022-04-07,Northwest,summer,soft,Tab-TFT,test,33.130768,32.110508,-1.02026,1.02026,1.04093,33.130768,32.110508,25.976923,28.059621,23.691668,23.849821
Northwest_summer_2022-04-14,2022-04-14,Northwest,summer,soft,Tab-TFT,test,33.130768,30.913363,-2.217405,2.217405,4.916885,33.130768,30.913363,26.830769,27.230268,23.784615,23.480013
Northwest_summer_2022-04-21,2022-04-21,Northwest,summer,soft,Tab-TFT,test,32.238461,31.653242,-0.585219,0.585219,0.342481,32.238461,31.653242,27.36923,27.899186,24.523077,24.192542
Northwest_summer_2022-04-28,2022-04-28,Northwest,summer,soft,Tab-TFT,test,33.930771,31.545667,-2.385104,2.385104,5.688721,33.930771,31.545667,28.984615,28.32445,25.576923,25.125935
Northwest_summer_2022-05-01,2022-05-01,Northwest,summer,soft,Tab-TFT,test,33.930771,32.114579,-1.816192,1.816192,3.298553,33.930771,32.114579,29.115385,29.719187,25.592308,27.416036
Northwest_summer_2022-05-07,2022-05-07,Northwest,summer,soft,Tab-TFT,test,30.615385,32.657544,2.042159,2.042159,4.170413,30.615385,32.657544,28.984615,28.872594,26.830769,25.382567
Northwest_summer_2022-05-14,2022-05-14,Northwest,summer,soft,Tab-TFT,test,31.661539,32.730648,1.069109,1.069109,1.142994,31.661539,32.730648,29.261538,29.789645,28.169231,26.970344
Northwest_summer_2022-05-21,2022-05-21,Northwest,summer,soft,Tab-TFT,test,31.215385,32.387696,1.172311,1.172311,1.374313,31.215385,32.387696,29.23077,30.114232,28.376923,27.93987
Northwest_summer_2022-05-28,2022-05-28,Northwest,summer,soft,Tab-TFT,test,31.207693,32.208197,1.000504,1.000504,1.001008,31.207693,32.208197,29.261538,30.374686,28.576923,28.654554
Northwest_summer_2022-06-01,2022-06-01,Northwest,summer,soft,Tab-TFT,test,31.207693,32.194603,0.98691,0.98691,0.973991,31.207693,32.194603,29.484615,30.793685,28.815384,29.467664
Northwest_summer_2022-06-07,2022-06-07,Northwest,summer,soft,Tab-TFT,test,31.207693,31.983184,0.775491,0.775491,0.601386,31.207693,31.983184,29.907692,30.795801,29.438461,29.628076
Northwest_summer_2022-06-14,2022-06-14,Northwest,summer,soft,Tab-TFT,test,30.5,32.044092,1.544092,1.544092,2.38422,30.5,32.044092,30.0,31.041695,29.584616,30.050912
Northwest_summer_2022-06-21,2022-06-21,Northwest,summer,soft,Tab-TFT,test,31.207693,32.077641,0.869948,0.869948,0.75681,31.207693,32.077641,30.469231,31.236578,29.9,30.375979
Northwest_summer_2022-06-28,2022-06-28,Northwest,summer,soft,Tab-TFT,test,31.799999,32.36727,0.567271,0.567271,0.321796,31.799999,32.36727,31.038462,31.604705,30.069231,30.809448
Northwest_summer_2022-07-01,2022-07-01,Northwest,summer,soft,Tab-TFT,test,32.061539,32.35884,0.297301,0.297301,0.088388,32.061539,32.35884,31.430769,31.629169,30.5,30.861365
Northwest_summer_2022-07-07,2022-07-07,Northwest,summer,soft,Tab-TFT,test,32.061539,32.23513,0.173591,0.173591,0.030134,32.061539,32.23513,31.546154,31.734931,31.038462,31.149894
Northwest_summer_2022-07-14,2022-07-14,Northwest,summer,soft,Tab-TFT,test,32.061539,32.306763,0.245224,0.245224,0.060135,32.061539,32.306763,31.546154,31.836771,31.138462,31.280781
Northwest_summer_2022-07-21,2022-07-21,Northwest,summer,soft,Tab-TFT,test,31.799999,32.3939,0.593901,0.593901,0.352718,31.799999,32.3939,31.515385,31.965997,31.123077,31.437967
Northwest_summer_2022-07-28,2022-07-28,Northwest,summer,soft,Tab-TFT,test,32.061539,32.46302,0.401481,0.401481,0.161187,32.061539,32.46302,31.515385,32.041588,31.13077,31.516517
Northwest_summer_2022-08-01,2022-08-01,Northwest,summer,soft,Tab-TFT,test,32.576923,32.372314,-0.204609,0.204609,0.041865,32.576923,32.372314,31.530769,31.981927,31.13077,31.483177
