sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,Climatology,test,18.25,18.953832,0.703832,0.703832,0.495379
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,Climatology,test,18.25,20.289046,2.039046,2.039046,4.157709
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,Climatology,test,20.583334,21.220109,0.636775,0.636775,0.405482
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,Climatology,test,20.583334,21.220109,0.636775,0.636775,0.405482
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,Climatology,test,20.583334,21.403401,0.820067,0.820067,0.67251
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,Climatology,test,21.258333,21.85202,0.593687,0.593687,0.352464
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,Climatology,test,21.483334,22.204499,0.721165,0.721165,0.520079
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,Climatology,test,21.383333,22.455896,1.072563,1.072563,1.150391
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,Climatology,test,21.383333,22.455896,1.072563,1.072563,1.150391
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,Climatology,test,21.383333,22.248817,0.865484,0.865484,0.749063
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,Climatology,test,20.858334,21.553734,0.6954,0.6954,0.483581
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,Climatology,test,20.066668,21.258766,1.192098,1.192098,1.421098
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,Climatology,test,17.933332,20.229566,2.296234,2.296234,5.272691
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,Climatology,test,17.933332,20.229566,2.296234,2.296234,5.272691
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,Climatology,test,17.933332,19.409024,1.475692,1.475692,2.177667
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,Climatology,test,17.308332,18.56765,1.259318,1.259318,1.585882
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,Climatology,test,17.308332,18.391977,1.083645,1.083645,1.174286
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,Climatology,test,16.308332,17.05853,0.750198,0.750198,0.562797
Center_winter_2021-10-01,2021-10-01,Center,winter,anchor,Climatology,test,15.908334,16.525121,0.616787,0.616787,0.380426
Center_winter_2021-10-07,2021-10-07,Center,winter,anchor,Climatology,test,15.272727,15.85919,0.586463,0.586463,0.343939
Center_winter_2021-10-14,2021-10-14,Center,winter,anchor,Climatology,test,12.1,14.283186,2.183186,2.183186,4.766301
Center_winter_2021-10-21,2021-10-21,Center,winter,anchor,Climatology,test,12.1,13.8437,1.7437,1.7437,3.04049
Center_winter_2021-10-28,2021-10-28,Center,winter,anchor,Climatology,test,12.1,12.744647,0.644647,0.644647,0.41557
Center_winter_2021-11-01,2021-11-01,Center,winter,anchor,Climatology,test,12.1,12.169802,0.069802,0.069802,0.004872
Center_winter_2021-11-07,2021-11-07,Center,winter,anchor,Climatology,test,10.908334,11.855597,0.947263,0.947263,0.897307
Center_winter_2021-11-14,2021-11-14,Center,winter,anchor,Climatology,test,10.808333,10.784986,-0.023347,0.023347,0.000545
Center_winter_2021-11-21,2021-11-21,Center,winter,anchor,Climatology,test,9.516666,10.206545,0.689879,0.689879,0.475933
Center_winter_2021-11-28,2021-11-28,Center,winter,anchor,Climatology,test,6.575,9.088418,2.513418,2.513418,6.31727
Center_winter_2021-12-01,2021-12-01,Center,winter,anchor,Climatology,test,6.575,9.088418,2.513418,2.513418,6.31727
Center_winter_2021-12-07,2021-12-07,Center,winter,anchor,Climatology,test,6.575,9.088418,2.513418,2.513418,6.31727
Center_winter_2021-12-14,2021-12-14,Center,winter,anchor,Climatology,test,6.575,7.692124,1.117124,1.117124,1.247966
Center_winter_2021-12-21,2021-12-21,Center,winter,anchor,Climatology,test,2.925,7.692124,4.767124,4.767124,22.725471
Center_winter_2021-12-28,2021-12-28,Center,winter,anchor,Climatology,test,2.925,7.692124,4.767124,4.767124,22.725471
Center_winter_2022-01-01,2022-01-01,Center,winter,anchor,Climatology,test,2.925,7.692124,4.767124,4.767124,22.725471
Center_winter_2022-01-07,2022-01-07,Center,winter,anchor,Climatology,test,2.925,7.692124,4.767124,4.767124,22.725471
Center_winter_2022-01-14,2022-01-14,Center,winter,anchor,Climatology,test,2.925,7.823547,4.898547,4.898547,23.995763
Center_winter_2022-01-21,2022-01-21,Center,winter,anchor,Climatology,test,4.191667,7.874413,3.682746,3.682746,13.562618
Center_winter_2022-01-28,2022-01-28,Center,winter,anchor,Climatology,test,5.533333,7.874413,2.34108,2.34108,5.480656
Center_winter_2022-02-01,2022-02-01,Center,winter,anchor,Climatology,test,5.866667,7.874413,2.007746,2.007746,4.031044
Center_winter_2022-02-07,2022-02-07,Center,winter,anchor,Climatology,test,5.866667,8.753869,2.887202,2.887202,8.335935
Center_winter_2022-02-14,2022-02-14,Center,winter,anchor,Climatology,test,4.725,9.172092,4.447092,4.447092,19.776627
Center_winter_2022-02-21,2022-02-21,Center,winter,anchor,Climatology,test,3.625,9.172092,5.547092,5.547092,30.77023
Center_winter_2022-02-28,2022-02-28,Center,winter,anchor,Climatology,test,3.625,9.632818,6.007818,6.007818,36.093877
Center_winter_2022-03-01,2022-03-01,Center,winter,anchor,Climatology,test,3.625,9.632818,6.007818,6.007818,36.093877
Center_winter_2022-03-07,2022-03-07,Center,winter,anchor,Climatology,test,3.625,9.632818,6.007818,6.007818,36.093877
Center_winter_2022-03-14,2022-03-14,Center,winter,anchor,Climatology,test,3.625,9.632818,6.007818,6.007818,36.093877
Center_winter_2022-03-21,2022-03-21,Center,winter,anchor,Climatology,test,4.666667,10.459864,5.793197,5.793197,33.561131
Center_winter_2022-03-28,2022-03-28,Center,winter,anchor,Climatology,test,7.816667,10.459864,2.643197,2.643197,6.98649
Center_winter_2022-04-01,2022-04-01,Center,winter,anchor,Climatology,test,8.166667,11.46475,3.298083,3.298083,10.877351
Center_winter_2022-04-07,2022-04-07,Center,winter,anchor,Climatology,test,8.166667,12.708184,4.541517,4.541517,20.625377
Center_winter_2022-04-14,2022-04-14,Center,winter,anchor,Climatology,test,8.166667,12.708184,4.541517,4.541517,20.625377
Center_winter_2022-04-21,2022-04-21,Center,winter,anchor,Climatology,test,10.525,13.611245,3.086245,3.086245,9.524908
Center_winter_2022-04-28,2022-04-28,Center,winter,anchor,Climatology,test,11.375,14.041095,2.666095,2.666095,7.108063
Center_winter_2022-05-01,2022-05-01,Center,winter,anchor,Climatology,test,11.575,14.041095,2.466095,2.466095,6.081625
Center_winter_2022-05-07,2022-05-07,Center,winter,anchor,Climatology,test,11.575,15.152172,3.577172,3.577172,12.79616
Center_winter_2022-05-14,2022-05-14,Center,winter,anchor,Climatology,test,14.041667,15.811441,1.769774,1.769774,3.1321
Center_winter_2022-05-21,2022-05-21,Center,winter,anchor,Climatology,test,15.025,16.729561,1.704561,1.704561,2.905528
Center_winter_2022-05-28,2022-05-28,Center,winter,anchor,Climatology,test,16.441668,17.291901,0.850233,0.850233,0.722896
Center_winter_2022-06-01,2022-06-01,Center,winter,anchor,Climatology,test,16.441668,17.291901,0.850233,0.850233,0.722896
Center_winter_2022-06-07,2022-06-07,Center,winter,anchor,Climatology,test,18.125,18.72065,0.59565,0.59565,0.354799
Center_winter_2022-06-14,2022-06-14,Center,winter,anchor,Climatology,test,18.75,18.953832,0.203832,0.203832,0.041547
Center_winter_2022-06-21,2022-06-21,Center,winter,anchor,Climatology,test,18.75,20.289046,1.539046,1.539046,2.368663
Center_winter_2022-06-28,2022-06-28,Center,winter,anchor,Climatology,test,18.75,21.220109,2.470109,2.470109,6.101438
Center_winter_2022-07-01,2022-07-01,Center,winter,anchor,Climatology,test,18.799999,21.220109,2.42011,2.42011,5.856932
Center_winter_2022-07-07,2022-07-07,Center,winter,anchor,Climatology,test,18.799999,21.403401,2.603402,2.603402,6.777702
Center_winter_2022-07-14,2022-07-14,Center,winter,anchor,Climatology,test,20.054546,21.85202,1.797474,1.797474,3.230913
Center_winter_2022-07-21,2022-07-21,Center,winter,anchor,Climatology,test,20.054546,22.204499,2.149953,2.149953,4.622298
Center_winter_2022-07-28,2022-07-28,Center,winter,anchor,Climatology,test,21.083334,22.455896,1.372562,1.372562,1.883926
Center_winter_2022-08-01,2022-08-01,Center,winter,anchor,Climatology,test,21.083334,22.455896,1.372562,1.372562,1.883926
Center_winter_2022-08-07,2022-08-07,Center,winter,anchor,Climatology,test,21.083334,22.248817,1.165483,1.165483,1.358351
Center_winter_2022-08-14,2022-08-14,Center,winter,anchor,Climatology,test,20.133333,21.553734,1.420401,1.420401,2.017539
Center_winter_2022-08-21,2022-08-21,Center,winter,anchor,Climatology,test,20.133333,21.258766,1.125433,1.125433,1.266599
Center_winter_2022-08-28,2022-08-28,Center,winter,anchor,Climatology,test,19.5,20.229566,0.729566,0.729566,0.532267
Center_winter_2022-09-01,2022-09-01,Center,winter,anchor,Climatology,test,19.4,20.229566,0.829566,0.829566,0.68818
Center_winter_2022-09-07,2022-09-07,Center,winter,anchor,Climatology,test,19.4,19.409024,0.009024,0.009024,8.1e-05
Center_winter_2022-09-14,2022-09-14,Center,winter,anchor,Climatology,test,17.424999,18.56765,1.142651,1.142651,1.305651
Center_winter_2022-09-21,2022-09-21,Center,winter,anchor,Climatology,test,17.424999,18.391977,0.966978,0.966978,0.935046
Center_winter_2022-09-28,2022-09-28,Center,winter,anchor,Climatology,test,16.799999,17.05853,0.258531,0.258531,0.066838
Center_winter_2022-10-01,2022-10-01,Center,winter,anchor,Climatology,test,16.799999,16.525121,-0.274878,0.274878,0.075558
Center_winter_2022-10-07,2022-10-07,Center,winter,anchor,Climatology,test,14.741667,15.85919,1.117523,1.117523,1.248858
Center_winter_2022-10-14,2022-10-14,Center,winter,anchor,Climatology,test,13.5,14.283186,0.783186,0.783186,0.61338
Center_winter_2022-10-21,2022-10-21,Center,winter,anchor,Climatology,test,12.625,13.8437,1.2187,1.2187,1.48523
Center_winter_2022-10-28,2022-10-28,Center,winter,anchor,Climatology,test,12.625,12.744647,0.119647,0.119647,0.014315
Center_winter_2022-11-01,2022-11-01,Center,winter,anchor,Climatology,test,12.591666,12.169802,-0.421864,0.421864,0.177969
Center_winter_2022-11-07,2022-11-07,Center,winter,anchor,Climatology,test,11.016666,11.855597,0.838931,0.838931,0.703805
Center_winter_2022-11-14,2022-11-14,Center,winter,anchor,Climatology,test,10.625,10.784986,0.159986,0.159986,0.025596
Center_winter_2022-11-21,2022-11-21,Center,winter,anchor,Climatology,test,10.625,10.206545,-0.418455,0.418455,0.175105
