sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,Climatology,test,18.391666,19.445498,1.053832,1.053832,1.110562,18.391666,19.445498,18.983334,20.289046,20.966667,21.220109
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,Climatology,test,19.783333,20.516996,0.733663,0.733663,0.538261,19.783333,20.516996,20.583334,21.134181,21.674999,21.505981
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,Climatology,test,21.108334,21.315208,0.206874,0.206874,0.042797,21.108334,21.315208,21.65,21.505239,22.825001,21.77902
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,Climatology,test,21.258333,21.403401,0.145068,0.145068,0.021045,21.258333,21.403401,22.075001,21.50958,23.025,22.183774
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,Climatology,test,21.258333,21.530653,0.27232,0.27232,0.074158,21.258333,21.530653,21.633333,21.85202,22.85,22.562907
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,Climatology,test,21.6,22.198869,0.598869,0.598869,0.358644,21.6,22.198869,22.791666,22.455896,23.216667,22.857864
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,Climatology,test,21.633333,22.562907,0.929574,0.929574,0.864108,21.633333,22.562907,22.941668,22.802118,23.366667,22.922196
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,Climatology,test,21.6,22.708679,1.108679,1.108679,1.229169,21.6,22.708679,22.299999,22.832182,23.241667,22.983957
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,Climatology,test,21.6,22.537928,0.937928,0.937928,0.879709,21.6,22.537928,22.299999,22.767123,23.275,22.981336
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,Climatology,test,21.816668,22.53541,0.718742,0.718742,0.51659,21.816668,22.53541,22.741667,22.703677,23.366667,22.903881
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,Climatology,test,21.383333,22.050907,0.667574,0.667574,0.445655,21.383333,22.050907,22.141666,22.393465,22.858334,22.728082
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,Climatology,test,20.233334,21.474209,1.240875,1.240875,1.539771,20.233334,21.474209,21.383333,21.772062,22.591667,22.436472
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,Climatology,test,20.066668,20.702767,0.636099,0.636099,0.404622,20.066668,20.702767,20.758333,21.319164,21.9,21.844099
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,Climatology,test,19.333334,20.47158,1.138246,1.138246,1.295604,19.333334,20.47158,20.233334,20.797271,21.475,21.553734
Center_winter_2021-09-07,2021-09-07,Center,winter,soft,Climatology,test,18.825001,20.229566,1.404565,1.404565,1.972803,18.825001,20.229566,19.700001,20.562195,20.758333,21.186325
Center_winter_2021-09-14,2021-09-14,Center,winter,soft,Climatology,test,17.933332,18.938386,1.005054,1.005054,1.010134,17.933332,18.938386,18.825001,19.409024,20.158333,20.588856
Center_winter_2021-09-21,2021-09-21,Center,winter,soft,Climatology,test,17.775,18.56765,0.79265,0.79265,0.628294,17.775,18.56765,18.016666,18.891637,19.333334,19.523106
