sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,18.250000,18.014383,-0.235617,0.235617,0.055515
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,18.250000,17.833085,-0.416915,0.416915,0.173818
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,20.583334,20.510338,-0.072996,0.072996,0.005328
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,20.583334,20.836755,0.253421,0.253421,0.064222
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,20.583334,19.950895,-0.632439,0.632439,0.399979
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,21.258333,20.393572,-0.864761,0.864761,0.747812
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,21.483334,20.673602,-0.809732,0.809732,0.655666
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,21.383333,20.785621,-0.597712,0.597712,0.357260
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,21.383333,20.822222,-0.561111,0.561111,0.314846
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,21.383333,20.490255,-0.893078,0.893078,0.797588
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,20.858334,20.827753,-0.030580,0.030580,0.000935
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,20.066668,19.572654,-0.494013,0.494013,0.244049
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,17.933332,20.424655,2.491322,2.491322,6.206687
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,17.933332,19.324307,1.390974,1.390974,1.934810
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,17.933332,18.158746,0.225414,0.225414,0.050811
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,17.308332,17.279752,-0.028580,0.028580,0.000817
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,17.308332,17.210205,-0.098128,0.098128,0.009629
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,16.308332,13.187224,-3.121109,3.121109,9.741320
Center_winter_2021-10-01,2021-10-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,15.908334,14.050732,-1.857602,1.857602,3.450684
Center_winter_2021-10-07,2021-10-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,15.272727,13.103602,-2.169125,2.169125,4.705105
Center_winter_2021-10-14,2021-10-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,12.100000,13.031376,0.931376,0.931376,0.867461
Center_winter_2021-10-21,2021-10-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,12.100000,12.045065,-0.054935,0.054935,0.003018
Center_winter_2021-10-28,2021-10-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,12.100000,12.228879,0.128878,0.128878,0.016610
Center_winter_2021-11-01,2021-11-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,12.100000,7.841959,-4.258042,4.258042,18.130919
Center_winter_2021-11-07,2021-11-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,10.908334,9.033794,-1.874540,1.874540,3.513901
Center_winter_2021-11-14,2021-11-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,10.808333,8.186711,-2.621622,2.621622,6.872902
Center_winter_2021-11-21,2021-11-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,9.516666,8.365067,-1.151599,1.151599,1.326181
Center_winter_2021-11-28,2021-11-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,6.575000,5.739135,-0.835864,0.835864,0.698669
Center_winter_2021-12-01,2021-12-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,6.575000,6.038598,-0.536402,0.536402,0.287727
Center_winter_2021-12-07,2021-12-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,6.575000,6.227852,-0.347148,0.347148,0.120511
Center_winter_2021-12-14,2021-12-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,6.575000,6.478010,-0.096990,0.096990,0.009407
Center_winter_2021-12-21,2021-12-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,2.925000,5.364369,2.439369,2.439369,5.950520
Center_winter_2021-12-28,2021-12-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,2.925000,5.116654,2.191655,2.191655,4.803350
Center_winter_2022-01-01,2022-01-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,2.925000,5.733461,2.808461,2.808461,7.887454
Center_winter_2022-01-07,2022-01-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,2.925000,6.195588,3.270588,3.270588,10.696744
Center_winter_2022-01-14,2022-01-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,2.925000,5.099663,2.174663,2.174663,4.729158
Center_winter_2022-01-21,2022-01-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,4.191667,4.434900,0.243234,0.243234,0.059163
Center_winter_2022-01-28,2022-01-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,5.533333,4.361940,-1.171393,1.171393,1.372161
Center_winter_2022-02-01,2022-02-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,5.866667,4.231237,-1.635430,1.635430,2.674631
Center_winter_2022-02-07,2022-02-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,5.866667,4.433258,-1.433409,1.433409,2.054661
Center_winter_2022-02-14,2022-02-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,4.725000,4.351665,-0.373335,0.373335,0.139379
Center_winter_2022-02-21,2022-02-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,3.625000,5.476735,1.851735,1.851735,3.428924
Center_winter_2022-02-28,2022-02-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,3.625000,6.407268,2.782268,2.782268,7.741013
Center_winter_2022-03-01,2022-03-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,3.625000,6.753570,3.128570,3.128570,9.787949
Center_winter_2022-03-07,2022-03-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,3.625000,6.168736,2.543736,2.543736,6.470591
Center_winter_2022-03-14,2022-03-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,3.625000,5.256890,1.631890,1.631890,2.663067
Center_winter_2022-03-21,2022-03-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,4.666667,5.039332,0.372665,0.372665,0.138879
Center_winter_2022-03-28,2022-03-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,7.816667,6.875490,-0.941177,0.941177,0.885814
Center_winter_2022-04-01,2022-04-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,8.166667,8.200421,0.033754,0.033754,0.001139
Center_winter_2022-04-07,2022-04-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,8.166667,12.028828,3.862161,3.862161,14.916288
