sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,19.447222,19.907455,0.460232,0.526378,0.375100,18.391666,19.030675,18.983334,19.824240,20.966667,20.867449
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,20.680555,19.708660,-0.971895,0.971895,0.944746,19.783333,18.821373,20.583334,19.619714,21.674999,20.684894
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,21.861111,22.150004,0.288892,0.288892,0.106934,21.108334,21.506928,21.650000,22.045865,22.825001,22.897218
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.119445,22.445127,0.325683,0.325683,0.138756,21.258333,21.824001,22.075001,22.357084,23.025000,23.154298
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,21.913889,21.723700,-0.190189,0.193447,0.055822,21.258333,21.001175,21.633333,21.638221,22.850000,22.531704
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.536111,22.123452,-0.412660,0.412660,0.232306,21.600000,21.424041,22.791666,22.034808,23.216667,22.911506
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.647223,22.355870,-0.291352,0.330263,0.179296,21.633333,21.691699,22.941668,22.252101,23.366667,23.123811
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.380555,22.467616,0.087061,0.113148,0.019018,21.600000,21.822366,22.299999,22.377948,23.241667,23.202535
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.391666,22.471381,0.079714,0.131897,0.022448,21.600000,21.832333,22.299999,22.385084,23.275000,23.196725
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.641667,22.282804,-0.358863,0.358863,0.149127,21.816668,21.564497,22.741667,22.181204,23.366667,23.102712
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.127778,22.506247,0.378470,0.378470,0.149867,21.383333,21.858616,22.141666,22.417762,22.858334,23.242365
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,21.402778,21.442198,0.039420,0.239102,0.083055,20.233334,20.651117,21.383333,21.355564,22.591667,22.319912
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,20.908333,22.361491,1.453157,1.453157,2.125858,20.066668,21.582532,20.758333,22.315560,21.900000,23.186380
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,20.347223,21.181273,0.834050,0.834050,0.735609,19.333334,20.397080,20.233334,21.095312,21.475000,22.051426
