sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.25,18.283212,0.033212,0.033212,0.001103
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.25,18.463439,0.213439,0.213439,0.045556
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,20.583334,20.161294,-0.42204,0.42204,0.178118
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,20.583334,20.416326,-0.167008,0.167008,0.027892
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,20.583334,20.175095,-0.408239,0.408239,0.166659
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.258333,20.511331,-0.747002,0.747002,0.558012
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.483334,20.61777,-0.865564,0.865564,0.749201
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.383333,20.500154,-0.883179,0.883179,0.780005
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.383333,19.973444,-1.409889,1.409889,1.987787
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,21.383333,18.834456,-2.548877,2.548877,6.496774
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,20.858334,20.006263,-0.852071,0.852071,0.726025
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,20.066668,19.294836,-0.771832,0.771832,0.595725
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,17.933332,19.383979,1.450647,1.450647,2.104377
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,17.933332,18.916309,0.982977,0.982977,0.966244
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,17.933332,17.913366,-0.019966,0.019966,0.000399
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,17.308332,16.274691,-1.033641,1.033641,1.068414
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,17.308332,16.939305,-0.369027,0.369027,0.136181
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.308332,13.938092,-2.37024,2.37024,5.618038
Center_winter_2021-10-01,2021-10-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,15.908334,14.751058,-1.157276,1.157276,1.339288
Center_winter_2021-10-07,2021-10-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,15.272727,12.626494,-2.646233,2.646233,7.002549
Center_winter_2021-10-14,2021-10-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.1,12.394432,0.294432,0.294432,0.08669
Center_winter_2021-10-21,2021-10-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.1,11.187318,-0.912682,0.912682,0.832988
Center_winter_2021-10-28,2021-10-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.1,11.807788,-0.292212,0.292212,0.085388
Center_winter_2021-11-01,2021-11-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,12.1,7.965794,-4.134206,4.134206,17.091659
Center_winter_2021-11-07,2021-11-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,10.908334,9.288139,-1.620195,1.620195,2.625032
Center_winter_2021-11-14,2021-11-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,10.808333,6.150005,-4.658328,4.658328,21.70002
Center_winter_2021-11-21,2021-11-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,9.516666,6.537221,-2.979445,2.979445,8.877093
Center_winter_2021-11-28,2021-11-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,6.575,5.814412,-0.760588,0.760588,0.578494
Center_winter_2021-12-01,2021-12-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,6.575,4.423103,-2.151897,2.151897,4.630661
Center_winter_2021-12-07,2021-12-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,6.575,6.315186,-0.259814,0.259814,0.067503
Center_winter_2021-12-14,2021-12-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,6.575,6.707903,0.132903,0.132903,0.017663
Center_winter_2021-12-21,2021-12-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,2.925,5.138213,2.213213,2.213213,4.898312
Center_winter_2021-12-28,2021-12-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,2.925,4.564269,1.639269,1.639269,2.687203
Center_winter_2022-01-01,2022-01-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,2.925,5.737438,2.812438,2.812438,7.909808
Center_winter_2022-01-07,2022-01-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,2.925,5.948461,3.023461,3.023461,9.141316
Center_winter_2022-01-14,2022-01-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,2.925,4.378608,1.453608,1.453608,2.112976
Center_winter_2022-01-21,2022-01-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,4.191667,4.544599,0.352932,0.352932,0.124561
Center_winter_2022-01-28,2022-01-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,5.533333,4.621166,-0.912167,0.912167,0.832049
Center_winter_2022-02-01,2022-02-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,5.866667,4.505576,-1.361091,1.361091,1.852569
Center_winter_2022-02-07,2022-02-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,5.866667,4.815968,-1.050699,1.050699,1.103968
Center_winter_2022-02-14,2022-02-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,4.725,4.491633,-0.233367,0.233367,0.05446
Center_winter_2022-02-21,2022-02-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,3.625,6.288692,2.663692,2.663692,7.095255
Center_winter_2022-02-28,2022-02-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,3.625,6.772981,3.147981,3.147981,9.909784
Center_winter_2022-03-01,2022-03-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,3.625,6.904944,3.279944,3.279944,10.758033
Center_winter_2022-03-07,2022-03-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,3.625,6.597599,2.972599,2.972599,8.836345
Center_winter_2022-03-14,2022-03-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,3.625,5.890517,2.265517,2.265517,5.132567
Center_winter_2022-03-21,2022-03-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,4.666667,7.054483,2.387816,2.387816,5.701665
Center_winter_2022-03-28,2022-03-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,7.816667,8.229052,0.412385,0.412385,0.170061
Center_winter_2022-04-01,2022-04-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,8.166667,7.980101,-0.186566,0.186566,0.034807
Center_winter_2022-04-07,2022-04-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,8.166667,8.995691,0.829024,0.829024,0.687281
Center_winter_2022-04-14,2022-04-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,8.166667,9.736482,1.569815,1.569815,2.464319
Center_winter_2022-04-21,2022-04-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,10.525,10.225206,-0.299794,0.299794,0.089876
Center_winter_2022-04-28,2022-04-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,11.375,11.493796,0.118796,0.118796,0.014112
Center_winter_2022-05-01,2022-05-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,11.575,14.361259,2.786259,2.786259,7.763239
Center_winter_2022-05-07,2022-05-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,11.575,12.037166,0.462166,0.462166,0.213597
Center_winter_2022-05-14,2022-05-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,14.041667,12.84636,-1.195307,1.195307,1.428759
Center_winter_2022-05-21,2022-05-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,15.025,13.552375,-1.472625,1.472625,2.168624
Center_winter_2022-05-28,2022-05-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.441668,15.957424,-0.484244,0.484244,0.234492
Center_winter_2022-06-01,2022-06-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,16.441668,17.088278,0.64661,0.64661,0.418104
Center_winter_2022-06-07,2022-06-07,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.125,17.142394,-0.982606,0.982606,0.965515
Center_winter_2022-06-14,2022-06-14,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.75,18.038833,-0.711167,0.711167,0.505759
Center_winter_2022-06-21,2022-06-21,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.75,18.375654,-0.374346,0.374346,0.140135
Center_winter_2022-06-28,2022-06-28,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.75,19.192005,0.442005,0.442005,0.195368
Center_winter_2022-07-01,2022-07-01,Center,winter,anchor,ConvNeXtTiny-TFT-NN,test,18.799999,19.372732,0.572733,0.572733,0.328023
