sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,18.391666,19.562964,1.171298,1.171298,1.371939,18.391666,19.562964,18.983334,20.378338,20.966667,21.378255
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,19.783333,19.700566,-0.082767,0.082767,0.00685,19.783333,19.700566,20.583334,20.500533,21.674999,21.476661
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,21.108334,21.540637,0.432303,0.432303,0.186886,21.108334,21.540637,21.65,22.165954,22.825001,22.938215
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,21.258333,21.813712,0.555379,0.555379,0.308446,21.258333,21.813712,22.075001,22.424746,23.025,23.170724
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,21.258333,21.56559,0.307257,0.307257,0.094407,21.258333,21.56559,21.633333,22.189184,22.85,22.971347
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,21.6,21.933277,0.333277,0.333277,0.111074,21.6,21.933277,22.791666,22.548086,23.216667,23.272364
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,21.633333,22.009864,0.376531,0.376531,0.141776,21.633333,22.009864,22.941668,22.630992,23.366667,23.341484
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,21.6,21.866831,0.266831,0.266831,0.071199,21.6,21.866831,22.299999,22.504157,23.241667,23.228702
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,21.6,21.323128,-0.276872,0.276872,0.076658,21.6,21.323128,22.299999,22.02754,23.275,22.815281
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,21.816668,20.306738,-1.50993,1.50993,2.279889,21.816668,20.306738,22.741667,21.109284,23.366667,22.07038
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,21.383333,21.313447,-0.069886,0.069886,0.004884,21.383333,21.313447,22.141666,22.04275,22.858334,22.819763
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,20.233334,20.594763,0.361429,0.361429,0.130631,20.233334,20.594763,21.383333,21.363327,22.591667,22.240584
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,20.066668,20.70381,0.637142,0.637142,0.40595,20.066668,20.70381,20.758333,21.546068,21.9,22.388109
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,19.333334,20.25207,0.918736,0.918736,0.844076,19.333334,20.25207,20.233334,21.112107,21.475,22.017028
Center_winter_2021-09-07,2021-09-07,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,18.825001,19.30534,0.480339,0.480339,0.230726,18.825001,19.30534,19.700001,20.203513,20.758333,21.251929
Center_winter_2021-09-14,2021-09-14,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,17.933332,17.811018,-0.122314,0.122314,0.014961,17.933332,17.811018,18.825001,18.808386,20.158333,20.026806
Center_winter_2021-09-21,2021-09-21,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,17.775,18.362859,0.587859,0.587859,0.345578,17.775,18.362859,18.016666,19.281367,19.333334,20.446991
Center_winter_2021-09-28,2021-09-28,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,16.533333,15.530207,-1.003126,1.003126,1.006262,16.533333,15.530207,17.424999,16.609021,18.549999,18.026283
Center_winter_2021-10-01,2021-10-01,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,16.4,16.237723,-0.162277,0.162277,0.026334,16.4,16.237723,17.424999,17.256306,18.133333,18.618309
Center_winter_2021-10-07,2021-10-07,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,16.308332,13.867059,-2.441273,2.441273,5.959814,16.308332,13.867059,16.709091,14.911407,17.975,16.385328
Center_winter_2021-10-14,2021-10-14,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,14.85,13.914747,-0.935253,0.935253,0.874698,14.85,13.914747,15.772727,15.053185,16.975,16.52297
Center_winter_2021-10-21,2021-10-21,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,14.85,12.34986,-2.50014,2.50014,6.2507,14.85,12.34986,15.558333,13.43219,16.525,14.916637
Center_winter_2021-10-28,2021-10-28,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,12.858334,13.022559,0.164225,0.164225,0.02697,12.858334,13.022559,13.241667,14.08077,15.641666,15.531
Center_winter_2021-11-01,2021-11-01,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,12.525,9.270347,-3.254653,3.254653,10.592766,12.525,9.270347,13.216666,10.475692,15.272727,12.161605
Center_winter_2021-11-07,2021-11-07,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,11.8,10.342534,-1.457466,1.457466,2.124207,11.8,10.342534,12.858334,11.529321,13.833333,13.031772
Center_winter_2021-11-14,2021-11-14,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,11.641666,7.616102,-4.025564,4.025564,16.205166,11.641666,7.616102,11.983334,8.885919,13.216666,10.477702
Center_winter_2021-11-21,2021-11-21,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,10.391666,7.921872,-2.469794,2.469794,6.099882,10.391666,7.921872,11.35,9.133576,12.525,10.662807
Center_winter_2021-11-28,2021-11-28,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,8.175,7.323298,-0.851702,0.851702,0.725396,8.175,7.323298,10.391666,8.684353,11.641666,10.28087
Center_winter_2021-12-01,2021-12-01,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,8.175,5.864214,-2.310786,2.310786,5.339732,8.175,5.864214,9.516666,7.391462,11.233334,9.219718
Center_winter_2021-12-07,2021-12-07,Center,winter,soft,ConvNeXtTiny-TFT-NN,test,8.175,7.528976,-0.646024,0.646024,0.417347,8.175,7.528976,9.316667,8.660954,11.066667,10.120919
