sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,ConvNeXtTiny-TFT,test,18.250000,18.962621,0.712621,0.712621,0.507829
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,ConvNeXtTiny-TFT,test,18.250000,18.433256,0.183256,0.183256,0.033583
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,ConvNeXtTiny-TFT,test,20.583334,20.356018,-0.227316,0.227316,0.051673
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,ConvNeXtTiny-TFT,test,20.583334,20.498220,-0.085114,0.085114,0.007244
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,ConvNeXtTiny-TFT,test,20.583334,20.014211,-0.569123,0.569123,0.323901
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,ConvNeXtTiny-TFT,test,21.258333,20.401904,-0.856430,0.856430,0.733472
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,ConvNeXtTiny-TFT,test,21.483334,20.466581,-1.016753,1.016753,1.033787
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,ConvNeXtTiny-TFT,test,21.383333,20.395319,-0.988014,0.988014,0.976171
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,ConvNeXtTiny-TFT,test,21.383333,20.374551,-1.008782,1.008782,1.017641
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,ConvNeXtTiny-TFT,test,21.383333,20.083903,-1.299430,1.299430,1.688520
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,ConvNeXtTiny-TFT,test,20.858334,20.127435,-0.730898,0.730898,0.534212
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,ConvNeXtTiny-TFT,test,20.066668,19.398003,-0.668665,0.668665,0.447112
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,ConvNeXtTiny-TFT,test,17.933332,19.366325,1.432993,1.432993,2.053469
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,ConvNeXtTiny-TFT,test,17.933332,19.155972,1.222639,1.222639,1.494846
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,ConvNeXtTiny-TFT,test,17.933332,18.520837,0.587505,0.587505,0.345162
