sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,ConvNeXtTiny-TFT,test,19.447222,20.323882,0.876659,0.876659,0.954810,18.391666,19.508989,18.983334,20.225437,20.966667,21.237219
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,ConvNeXtTiny-TFT,test,20.680555,20.240548,-0.440007,0.440007,0.197181,19.783333,19.420456,20.583334,20.134774,21.674999,21.166414
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,ConvNeXtTiny-TFT,test,21.861111,22.194901,0.333790,0.333790,0.152858,21.108334,21.612863,21.650000,22.099167,22.825001,22.872673
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,ConvNeXtTiny-TFT,test,22.119445,22.406693,0.287248,0.287248,0.133093,21.258333,21.839565,22.075001,22.320383,23.025000,23.060130
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,ConvNeXtTiny-TFT,test,21.913889,22.035264,0.121375,0.192223,0.044092,21.258333,21.421607,21.633333,21.940458,22.850000,22.743729
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,ConvNeXtTiny-TFT,test,22.536111,22.490183,-0.045928,0.271251,0.089880,21.600000,21.937984,22.791666,22.408474,23.216667,23.124090
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,ConvNeXtTiny-TFT,test,22.647223,22.667753,0.020531,0.309964,0.124907,21.633333,22.129076,22.941668,22.592842,23.366667,23.281343
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,ConvNeXtTiny-TFT,test,22.380555,22.573531,0.192976,0.222805,0.073792,21.600000,22.023395,22.299999,22.500276,23.241667,23.196922
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,ConvNeXtTiny-TFT,test,22.391666,22.296174,-0.095492,0.169123,0.039479,21.600000,21.710446,22.299999,22.218725,23.275000,22.959351
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,ConvNeXtTiny-TFT,test,22.641667,22.116620,-0.525047,0.525047,0.294487,21.816668,21.469657,22.741667,22.060916,23.366667,22.819288
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,ConvNeXtTiny-TFT,test,22.127778,22.076742,-0.051035,0.093813,0.009530,21.383333,21.447499,22.141666,22.012187,22.858334,22.770540
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,ConvNeXtTiny-TFT,test,21.402778,21.480339,0.077561,0.297865,0.138623,20.233334,20.787029,21.383333,21.392777,22.591667,22.261212
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,ConvNeXtTiny-TFT,test,20.908333,21.576600,0.668267,0.668267,0.460966,20.066668,20.776310,20.758333,21.548371,21.900000,22.405120
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,ConvNeXtTiny-TFT,test,20.347223,21.122607,0.775385,0.775385,0.638518,19.333334,20.308338,20.233334,21.070337,21.475000,21.989147
Center_winter_2021-09-07,2021-09-07,Center,winter,soft,ConvNeXtTiny-TFT,test,19.761112,20.269580,0.508468,0.508468,0.260348,18.825001,19.392479,19.700001,20.188991,20.758333,21.227269
Center_winter_2021-09-14,2021-09-14,Center,winter,soft,ConvNeXtTiny-TFT,test,18.972222,18.843674,-0.128548,0.128548,0.019489,17.933332,17.826086,18.825001,18.749890,20.158333,19.955047
Center_winter_2021-09-21,2021-09-21,Center,winter,soft,ConvNeXtTiny-TFT,test,18.375000,19.405019,1.030019,1.030019,1.123357,17.775000,18.468285,18.016666,19.307715,19.333334,20.439056
Center_winter_2021-09-28,2021-09-28,Center,winter,soft,ConvNeXtTiny-TFT,test,17.502777,17.008021,-0.494756,0.494756,0.282662,16.533333,15.817296,17.424999,16.899131,18.549999,18.307635
Center_winter_2021-10-01,2021-10-01,Center,winter,soft,ConvNeXtTiny-TFT,test,17.319444,17.185182,-0.134262,0.325826,0.107427,16.400000,16.082969,17.424999,17.051897,18.133333,18.420679
Center_winter_2021-10-07,2021-10-07,Center,winter,soft,ConvNeXtTiny-TFT,test,16.997475,15.922924,-1.074551,1.074551,1.273337,16.308332,14.759929,16.709091,15.773418,17.975000,17.235425
Center_winter_2021-10-14,2021-10-14,Center,winter,soft,ConvNeXtTiny-TFT,test,15.865909,15.148947,-0.716962,0.716962,0.566870,14.850000,13.861137,15.772727,15.037423,16.975000,16.548282
Center_winter_2021-10-21,2021-10-21,Center,winter,soft,ConvNeXtTiny-TFT,test,15.644444,13.368049,-2.276395,2.276395,5.371029,14.850000,12.060001,15.558333,13.245929,16.525000,14.798218
Center_winter_2021-10-28,2021-10-28,Center,winter,soft,ConvNeXtTiny-TFT,test,13.913889,13.325560,-0.588329,0.588329,0.487346,12.858334,12.091935,13.241667,13.176009,15.641666,14.708736
Center_winter_2021-11-01,2021-11-01,Center,winter,soft,ConvNeXtTiny-TFT,test,13.671464,11.690790,-1.980674,1.980674,4.048081,12.525000,10.115716,13.216666,11.673311,15.272727,13.283342
Center_winter_2021-11-07,2021-11-07,Center,winter,soft,ConvNeXtTiny-TFT,test,12.830556,11.590820,-1.239735,1.239735,1.616591,11.800000,10.286466,12.858334,11.504008,13.833333,12.981986
Center_winter_2021-11-14,2021-11-14,Center,winter,soft,ConvNeXtTiny-TFT,test,12.280555,8.798477,-3.482078,3.482078,12.446314,11.641666,7.373648,11.983334,8.756772,13.216666,10.265012
Center_winter_2021-11-21,2021-11-21,Center,winter,soft,ConvNeXtTiny-TFT,test,11.422222,9.535124,-1.887098,1.887098,3.645132,10.391666,8.133449,11.350000,9.497821,12.525000,10.974103
Center_winter_2021-11-28,2021-11-28,Center,winter,soft,ConvNeXtTiny-TFT,test,10.069444,9.143224,-0.926220,0.926220,0.963643,8.175000,7.688604,10.391666,9.129107,11.641666,10.611962
Center_winter_2021-12-01,2021-12-01,Center,winter,soft,ConvNeXtTiny-TFT,test,9.641667,7.404702,-2.236965,2.236965,5.042099,8.175000,5.670222,9.516666,7.355817,11.233334,9.188066
Center_winter_2021-12-07,2021-12-07,Center,winter,soft,ConvNeXtTiny-TFT,test,9.519444,8.544635,-0.974810,0.974810,0.977498,8.175000,7.317041,9.316667,8.458435,11.066667,9.858429
Center_winter_2021-12-14,2021-12-14,Center,winter,soft,ConvNeXtTiny-TFT,test,8.716667,8.561903,-0.154764,0.154764,0.053598,7.750000,7.353124,8.550000,8.493797,9.850000,9.838788
Center_winter_2021-12-21,2021-12-21,Center,winter,soft,ConvNeXtTiny-TFT,test,7.875000,6.661582,-1.213418,1.213418,1.561262,6.341667,5.453189,8.158334,6.549791,9.125000,7.981766
Center_winter_2021-12-28,2021-12-28,Center,winter,soft,ConvNeXtTiny-TFT,test,6.316667,6.901613,0.584946,0.773913,0.861305,4.191667,5.672470,6.208333,6.765820,8.550000,8.266550
Center_winter_2022-01-01,2022-01-01,Center,winter,soft,ConvNeXtTiny-TFT,test,5.897222,8.172832,2.275609,2.275609,5.502728,4.191667,7.058145,5.616667,8.070816,7.883333,9.389534
Center_winter_2022-01-07,2022-01-07,Center,winter,soft,ConvNeXtTiny-TFT,test,5.788889,8.182966,2.394077,2.394077,5.946489,4.191667,7.126521,5.616667,8.061284,7.558333,9.361092
Center_winter_2022-01-14,2022-01-14,Center,winter,soft,ConvNeXtTiny-TFT,test,5.747222,6.971760,1.224538,1.224538,1.616237,4.191667,5.837599,5.616667,6.835288,7.433333,8.242393
Center_winter_2022-01-21,2022-01-21,Center,winter,soft,ConvNeXtTiny-TFT,test,6.377778,7.082993,0.705215,0.705215,0.507465,5.275000,5.838435,6.208333,6.995802,7.650000,8.414742
Center_winter_2022-01-28,2022-01-28,Center,winter,soft,ConvNeXtTiny-TFT,test,7.666667,6.832916,-0.833750,0.833750,0.756103,6.741667,5.613193,7.241667,6.717446,9.016666,8.168111
Center_winter_2022-02-01,2022-02-01,Center,winter,soft,ConvNeXtTiny-TFT,test,7.844444,7.266548,-0.577897,0.577897,0.337172,6.791667,6.137907,7.650000,7.132270,9.091666,8.529466
Center_winter_2022-02-07,2022-02-07,Center,winter,soft,ConvNeXtTiny-TFT,test,8.172222,7.463893,-0.708329,0.708329,0.523414,7.158333,6.402699,7.841667,7.332624,9.516666,8.656356
Center_winter_2022-02-14,2022-02-14,Center,winter,soft,ConvNeXtTiny-TFT,test,8.241667,7.387087,-0.854580,0.854580,0.768623,7.158333,6.151182,7.841667,7.263413,9.725000,8.746666
Center_winter_2022-02-21,2022-02-21,Center,winter,soft,ConvNeXtTiny-TFT,test,6.897222,8.570792,1.673570,1.673570,3.379156,4.725000,7.470706,7.383333,8.447537,8.583333,9.794133
Center_winter_2022-02-28,2022-02-28,Center,winter,soft,ConvNeXtTiny-TFT,test,6.266667,9.119842,2.853175,2.853175,8.232469,4.725000,7.988417,6.233333,8.988929,7.841667,10.382180
Center_winter_2022-03-01,2022-03-01,Center,winter,soft,ConvNeXtTiny-TFT,test,6.266667,9.176258,2.909591,2.909591,8.558724,4.725000,8.049755,6.233333,9.036502,7.841667,10.442516
Center_winter_2022-03-07,2022-03-07,Center,winter,soft,ConvNeXtTiny-TFT,test,6.277778,8.761825,2.484047,2.484047,6.219125,4.725000,7.504944,6.233333,8.654784,7.875000,10.125747
Center_winter_2022-03-14,2022-03-14,Center,winter,soft,ConvNeXtTiny-TFT,test,6.793939,8.673170,1.879231,1.879231,3.861261,4.783333,7.397167,7.316667,8.528765,8.281818,10.093578
Center_winter_2022-03-21,2022-03-21,Center,winter,soft,ConvNeXtTiny-TFT,test,8.172222,9.360738,1.188516,1.188516,1.765718,6.233333,8.017884,7.816667,9.220271,10.466666,10.844058
Center_winter_2022-03-28,2022-03-28,Center,winter,soft,ConvNeXtTiny-TFT,test,10.427273,10.384639,-0.042634,0.595333,0.437591,8.281818,9.110866,10.400000,10.210986,12.600000,11.832064
Center_winter_2022-04-01,2022-04-01,Center,winter,soft,ConvNeXtTiny-TFT,test,11.456566,10.708234,-0.748332,0.748332,0.888687,10.133333,9.308731,10.636364,10.625214,13.600000,12.190756
Center_winter_2022-04-07,2022-04-07,Center,winter,soft,ConvNeXtTiny-TFT,test,12.061111,12.557502,0.496390,0.949308,0.941205,10.133333,11.290963,11.375000,12.385918,14.675000,13.995624
Center_winter_2022-04-14,2022-04-14,Center,winter,soft,ConvNeXtTiny-TFT,test,11.966667,12.138145,0.171478,0.513172,0.272054,10.133333,10.761111,11.575000,11.974197,14.191667,13.679126
Center_winter_2022-04-21,2022-04-21,Center,winter,soft,ConvNeXtTiny-TFT,test,13.191667,12.804268,-0.387398,0.394727,0.279335,11.375000,11.385992,13.500000,12.639819,14.700000,14.386994
Center_winter_2022-04-28,2022-04-28,Center,winter,soft,ConvNeXtTiny-TFT,test,13.997222,14.258255,0.261033,0.261033,0.095280,12.591666,12.989826,14.041667,14.071010,15.358334,15.713929
Center_winter_2022-05-01,2022-05-01,Center,winter,soft,ConvNeXtTiny-TFT,test,14.300000,17.174054,2.874054,2.874054,8.277712,13.025000,16.074751,14.191667,17.033895,15.683333,18.413515
Center_winter_2022-05-07,2022-05-07,Center,winter,soft,ConvNeXtTiny-TFT,test,14.552778,14.398174,-0.154604,0.235222,0.118007,13.025000,13.134414,14.191667,14.203179,16.441668,15.856930
Center_winter_2022-05-14,2022-05-14,Center,winter,soft,ConvNeXtTiny-TFT,test,16.130555,15.693863,-0.436693,0.485848,0.321830,14.450000,14.523733,16.174999,15.519056,17.766666,17.038799
Center_winter_2022-05-21,2022-05-21,Center,winter,soft,ConvNeXtTiny-TFT,test,17.455556,16.593939,-0.861618,0.861618,0.761763,16.441668,15.463018,17.108334,16.442325,18.816668,17.876473
Center_winter_2022-05-28,2022-05-28,Center,winter,soft,ConvNeXtTiny-TFT,test,18.163890,18.739766,0.575877,0.575877,0.366281,16.941668,17.774589,18.225000,18.623195,19.325001,19.821515
Center_winter_2022-06-01,2022-06-01,Center,winter,soft,ConvNeXtTiny-TFT,test,18.661111,19.189907,0.528796,0.569690,0.622872,16.941668,18.269192,18.750000,19.070204,20.291666,20.230325
Center_winter_2022-06-07,2022-06-07,Center,winter,soft,ConvNeXtTiny-TFT,test,19.666667,19.394425,-0.272242,0.272242,0.079832,18.750000,18.481009,19.650000,19.283579,20.600000,20.418686
Center_winter_2022-06-14,2022-06-14,Center,winter,soft,ConvNeXtTiny-TFT,test,20.100000,20.233917,0.133917,0.243852,0.091470,19.325001,19.400157,20.299999,20.135096,20.674999,21.166497
Center_winter_2022-06-21,2022-06-21,Center,winter,soft,ConvNeXtTiny-TFT,test,20.502778,20.462315,-0.040464,0.321886,0.110133,19.966667,19.647506,20.591667,20.367304,20.950001,21.372134
Center_winter_2022-06-28,2022-06-28,Center,winter,soft,ConvNeXtTiny-TFT,test,20.452778,21.404157,0.951379,0.951379,0.935142,19.966667,20.716986,20.375000,21.305624,21.016666,22.189862
Center_winter_2022-07-01,2022-07-01,Center,winter,soft,ConvNeXtTiny-TFT,test,20.840404,21.353674,0.513270,0.513270,0.275015,20.054546,20.656821,20.674999,21.250594,21.791666,22.153608
Center_winter_2022-07-07,2022-07-07,Center,winter,soft,ConvNeXtTiny-TFT,test,21.152777,21.904064,0.751286,0.751286,0.668143,20.150000,21.271076,21.016666,21.813293,22.291666,22.627822
Center_winter_2022-07-14,2022-07-14,Center,winter,soft,ConvNeXtTiny-TFT,test,21.838889,22.545154,0.706265,0.706265,0.613679,20.850000,21.987989,22.150000,22.460088,22.516666,23.187385
