sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,SeasonalNaive,test,18.391666,18.45,0.058334,0.058334,0.003403,18.391666,18.45,18.983334,19.066667,20.966667,20.475
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,SeasonalNaive,test,19.783333,19.066667,-0.716666,0.716666,0.51361,19.783333,19.066667,20.583334,20.266667,21.674999,21.116667
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,SeasonalNaive,test,21.108334,20.391667,-0.716667,0.716667,0.513612,21.108334,20.391667,21.65,20.858333,22.825001,21.708333
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,SeasonalNaive,test,21.258333,20.391667,-0.866666,0.866666,0.75111,21.258333,20.391667,22.075001,20.958333,23.025,22.108333
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,SeasonalNaive,test,21.258333,20.858333,-0.4,0.4,0.16,21.258333,20.858333,21.633333,21.691667,22.85,22.341667
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,SeasonalNaive,test,21.6,21.216667,-0.383333,0.383333,0.146944,21.6,21.216667,22.791666,21.883333,23.216667,22.616667
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,SeasonalNaive,test,21.633333,21.225,-0.408333,0.408333,0.166736,21.633333,21.225,22.941668,21.883333,23.366667,23.166667
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,SeasonalNaive,test,21.6,21.025,-0.575,0.575,0.330625,21.6,21.025,22.299999,21.858333,23.241667,23.166667
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,SeasonalNaive,test,21.6,20.958333,-0.641667,0.641667,0.411737,21.6,20.958333,22.299999,21.775,23.275,22.658333
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,SeasonalNaive,test,21.816668,21.025,-0.791668,0.791668,0.626738,21.816668,21.025,22.741667,21.858333,23.366667,23.208333
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,SeasonalNaive,test,21.383333,21.025,-0.358333,0.358333,0.128403,21.383333,21.025,22.141666,21.858333,22.858334,23.375
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,SeasonalNaive,test,20.233334,21.775,1.541666,1.541666,2.376734,20.233334,21.775,21.383333,22.525,22.591667,23.391667
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,SeasonalNaive,test,20.066668,21.933333,1.866665,1.866665,3.484438,20.066668,21.933333,20.758333,22.525,21.9,23.391667
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,SeasonalNaive,test,19.333334,20.958333,1.624999,1.624999,2.640622,19.333334,20.958333,20.233334,22.391667,21.475,23.316667
Center_winter_2021-09-07,2021-09-07,Center,winter,soft,SeasonalNaive,test,18.825001,19.75,0.924999,0.924999,0.855623,18.825001,19.75,19.700001,20.841667,20.758333,22.516667
Center_winter_2021-09-14,2021-09-14,Center,winter,soft,SeasonalNaive,test,17.933332,19.008333,1.075001,1.075001,1.155627,17.933332,19.008333,18.825001,20.183333,20.158333,21.933333
