sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,Tab-LSTM,test,18.250000,17.761483,-0.488517,0.488517,0.238648
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,Tab-LSTM,test,18.250000,16.772669,-1.477331,1.477331,2.182506
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,Tab-LSTM,test,20.583334,18.646685,-1.936649,1.936649,3.750609
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,Tab-LSTM,test,20.583334,19.370370,-1.212964,1.212964,1.471282
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,Tab-LSTM,test,20.583334,19.146319,-1.437015,1.437015,2.065011
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,Tab-LSTM,test,21.258333,19.738966,-1.519367,1.519367,2.308476
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,Tab-LSTM,test,21.483334,19.899284,-1.584050,1.584050,2.509214
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,Tab-LSTM,test,21.383333,19.711463,-1.671870,1.671870,2.795149
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,Tab-LSTM,test,21.383333,20.082260,-1.301073,1.301073,1.692791
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,Tab-LSTM,test,21.383333,19.133216,-2.250117,2.250117,5.063029
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,Tab-LSTM,test,20.858334,20.131793,-0.726540,0.726540,0.527861
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,Tab-LSTM,test,20.066668,19.378825,-0.687843,0.687843,0.473128
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,Tab-LSTM,test,17.933332,18.801262,0.867929,0.867929,0.753301
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,Tab-LSTM,test,17.933332,18.732963,0.799631,0.799631,0.639409
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,Tab-LSTM,test,17.933332,17.561190,-0.372143,0.372143,0.138490
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,Tab-LSTM,test,17.308332,16.989556,-0.318776,0.318776,0.101618
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,Tab-LSTM,test,17.308332,15.800216,-1.508117,1.508117,2.274416
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,Tab-LSTM,test,16.308332,13.522555,-2.785777,2.785777,7.760554
Center_winter_2021-10-01,2021-10-01,Center,winter,anchor,Tab-LSTM,test,15.908334,13.501802,-2.406532,2.406532,5.791394
Center_winter_2021-10-07,2021-10-07,Center,winter,anchor,Tab-LSTM,test,15.272727,11.925047,-3.347680,3.347680,11.206963
Center_winter_2021-10-14,2021-10-14,Center,winter,anchor,Tab-LSTM,test,12.100000,11.924206,-0.175794,0.175794,0.030904
Center_winter_2021-10-21,2021-10-21,Center,winter,anchor,Tab-LSTM,test,12.100000,12.502696,0.402696,0.402696,0.162164
Center_winter_2021-10-28,2021-10-28,Center,winter,anchor,Tab-LSTM,test,12.100000,10.744056,-1.355945,1.355945,1.838586
Center_winter_2021-11-01,2021-11-01,Center,winter,anchor,Tab-LSTM,test,12.100000,8.681904,-3.418097,3.418097,11.683385
Center_winter_2021-11-07,2021-11-07,Center,winter,anchor,Tab-LSTM,test,10.908334,8.525011,-2.383323,2.383323,5.680226
Center_winter_2021-11-14,2021-11-14,Center,winter,anchor,Tab-LSTM,test,10.808333,9.443254,-1.365080,1.365080,1.863443
Center_winter_2021-11-21,2021-11-21,Center,winter,anchor,Tab-LSTM,test,9.516666,8.834104,-0.682562,0.682562,0.465891
Center_winter_2021-11-28,2021-11-28,Center,winter,anchor,Tab-LSTM,test,6.575000,7.521352,0.946352,0.946352,0.895582
Center_winter_2021-12-01,2021-12-01,Center,winter,anchor,Tab-LSTM,test,6.575000,6.821315,0.246315,0.246315,0.060671
Center_winter_2021-12-07,2021-12-07,Center,winter,anchor,Tab-LSTM,test,6.575000,6.775356,0.200356,0.200356,0.040142
Center_winter_2021-12-14,2021-12-14,Center,winter,anchor,Tab-LSTM,test,6.575000,6.729911,0.154912,0.154912,0.023998
Center_winter_2021-12-21,2021-12-21,Center,winter,anchor,Tab-LSTM,test,2.925000,5.359694,2.434694,2.434694,5.927735
Center_winter_2021-12-28,2021-12-28,Center,winter,anchor,Tab-LSTM,test,2.925000,5.675964,2.750964,2.750964,7.567804
Center_winter_2022-01-01,2022-01-01,Center,winter,anchor,Tab-LSTM,test,2.925000,5.650090,2.725090,2.725090,7.426118
Center_winter_2022-01-07,2022-01-07,Center,winter,anchor,Tab-LSTM,test,2.925000,5.963687,3.038687,3.038687,9.233616
Center_winter_2022-01-14,2022-01-14,Center,winter,anchor,Tab-LSTM,test,2.925000,5.779151,2.854151,2.854151,8.146176
